方向,评价方,被评价方,年份,月份,指标类型,好感度数值,恶感度数值,有效样本量,数据来源机构,调查波次
Algeria→中国,Algeria,中国,2015.0,,影响力正面%（1-2档）,38.4,39.6,1047,Afrobarometer,R6
Angola→中国,Angola,中国,2020.0,,影响力正面%（1-2档）,61.3,23.2,1651,Afrobarometer,R8
Angola→中国,Angola,中国,2022.0,,影响力正面%（1-2档）,63.2,26.2,835,Afrobarometer,R9
Argentina→中国,Argentina,中国,2008.0,,好感度%（四级题，1-2档）,34.2,30.5,518,Pew Research Center,Pew_2008_24国
Argentina→中国,Argentina,中国,2009.0,,好感度%（四级题，1-2档）,41.2,23.0,514,Pew Research Center,Pew_2009春_25国
Argentina→中国,Argentina,中国,2010.0,,好感度%（四级题，1-2档）,44.7,28.1,585,Pew Research Center,Pew_2010_22国
Argentina→中国,Argentina,中国,2013.0,,好感度%（四级题，1-2档）,55.7,21.9,635,Pew Research Center,Pew_2013_39国
Argentina→中国,Argentina,中国,2014.0,,好感度%（四级题，1-2档）,40.5,30.5,710,Pew Research Center,Pew_2014_44国
Argentina→中国,Argentina,中国,2017.0,,好感度%（四级题，1-2档）,44.7,26.0,715,Pew Research Center,Pew_2017_38国
Argentina→中国,Argentina,中国,2018.0,,好感度%（四级题，1-2档）,41.8,26.7,685,Pew Research Center,Pew_2018_27国
Argentina→中国,Argentina,中国,2019.0,,好感度%（四级题，1-2档）,48.4,23.2,741,Pew Research Center,Pew_2019_34国
Australia→中国,Australia,中国,2008.0,,好感度%（四级题，1-2档）,51.4,40.0,640,Pew Research Center,Pew_2008_24国
Australia→中国,Australia,中国,2013.0,,好感度%（四级题，1-2档）,56.8,36.2,744,Pew Research Center,Pew_2013_39国
Australia→中国,Australia,中国,2016.0,,好感度%（四级题，1-2档）,54.4,39.2,936,Pew Research Center,Pew_2016_19国
Australia→中国,Australia,中国,2017.0,,好感度%（四级题，1-2档）,62.0,33.9,959,Pew Research Center,Pew_2017_38国
