行号,国家,日期,事件名称,URL,可访问,HTTP状态码,备注,来源分类,域名,权威性
2,Australia,2002-10,China-Australia LNG supply agreement signed,http://www.china.org.cn/english/2002/Oct/46174.htm,是,200,可访问,中国网,china.org.cn,官方媒体
3,Australia,2003-10,State visit to Australia,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/dyz_681240/1206_681242/sbgx_681246/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
4,Australia,2003-10,Australia-China Trade and Economic Framework signed,https://english.mofcom.gov.cn/Policies/PolicyInterpretation/art/2015/art_ceaa6285302c4a3f8f8d84101eedea26.html,是,200,可访问,商务部,english.mofcom.gov.cn,官方/政府
5,Australia,2004-03,Australia-China Air Services Agreement signed,https://www.aph.gov.au/Parliamentary_Business/Committees/Joint/Completed_Inquiries/jsct/5_6_september2006/report/chapter6,是,200,可访问,澳大利亚议会,aph.gov.au,官方/政府
6,Australia,2005-04,Official visit to China,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/dyz_681240/1206_681242/sbgx_681246/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
7,Australia,2005-05,FTA Talks Begin,https://www.smh.com.au/national/australia-china-fta-talks-slow-20070216-gdphhz.html,否,0,连接超时,其他来源,smh.com.au,待确认
8,Australia,2006-04,Official visit to Australia,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/dyz_681240/1206_681242/sbgx_681246/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
9,Australia,2006-04,Australia-China nuclear cooperation agreements signed,https://www.caea.gov.cn/english/n6759374/n6759376/c6793189/content.html,是,200,可访问,国家原子能机构,caea.gov.cn,官方/政府
10,Australia,2007-01,Australia-China Joint Coordination Group on Clean Coal Technology launched,https://www.oecd.org/content/dam/oecd/en/publications/reports/2009/04/cleaner-coal-in-china_g1gh9580/9789264048164-en.pdf,是,200,可访问,OECD,oecd.org,学术
11,Australia,2007-09,Bilateral meeting on sidelines of APEC summit,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/dyz_681240/1206_681242/sbgx_681246/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
12,Australia,2008-04,Rudd at PKU,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/dyz_681240/1206_681242/sbgx_681246/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
13,Australia,2009-07,Rio Tinto executive Stern Hu detained in Shanghai,http://ph.china-embassy.gov.cn/eng/xwdt/200907/t20090710_1156924.htm,是,200,重定向至: https://ph.china-embassy.gov.cn/eng/xwdt/200907/t20090710_1156924.htm,中国驻外使领馆,ph.china-embassy.gov.cn,官方/政府
14,Australia,2009-11,Bilateral meeting on sidelines of APEC summit,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/dyz_681240/1206_681242/sbgx_681246/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
15,Australia,2011-04,Official visit to China,https://china.embassy.gov.au/bjng/mrpm.html,是,200,可访问,政府机构,china.embassy.gov.au,官方/政府
16,Australia,2012-09,Bilateral meeting on sidelines of APEC summit,http://www.gov.cn/ldhd/2012-09/08/content_2219541.htm,否,404,HTTP 404 页面不存在,中国政府网,gov.cn,官方/政府
17,Australia,2013-04,Official visit to China,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/dyz_681240/1206_681242/sbgx_681246/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
18,Australia,2013-10,Bilateral meeting on sidelines of APEC summit,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/dyz_681240/1206_681242/sbgx_681246/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
19,Australia,2014-11,State visit to Australia,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/dyz_681240/1206_681242/sbgx_681246/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
20,Australia,2015-06,China-Australia FTA,https://china.embassy.gov.au/bjng/150617FTA.html,是,200,可访问,政府机构,china.embassy.gov.au,官方/政府
21,Australia,2015-12,ChAFTA enters into force,https://china.embassy.gov.au/bjng/150617FTA.html,是,200,可访问,政府机构,china.embassy.gov.au,官方/政府
22,Australia,2016-04,Official visit to China,https://www.chinadaily.com.cn/china/2016-04/15/content_24554958.htm,是,200,可访问,中国日报,chinadaily.com.cn,官方媒体
23,Australia,2017-03,Official visit to Australia,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/dyz_681240/1206_681242/sbgx_681246/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
24,Australia,2017-12,Foreign Interference Laws,https://apnews.com/international-general-news-2417bc241eae40a9b9715ba68c51dd54,是,200,可访问,美联社(权威国际媒体),apnews.com,权威国际媒体
25,Australia,2018-08,Australia bans Huawei from 5G,https://apnews.com/general-news-1419a86b429248a08ac6aece6d7684f0,是,200,可访问,美联社(权威国际媒体),apnews.com,权威国际媒体
26,Australia,2018-11,Bilateral meeting on sidelines of APEC summit,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/dyz_681240/1206_681242/sbgx_681246/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
27,Australia,2020-04,Australia calls for COVID inquiry,https://apnews.com/article/australia-china-prison-play-cheng-lei-97af789380e58d775ee4fddee46898cb,是,200,可访问,美联社(权威国际媒体),apnews.com,权威国际媒体
28,Australia,2020-05,China imposes barley tariffs,https://apnews.com/article/australia-barley-trade-china-60238c375957b513e6eecf7b588a289c,是,200,可访问,美联社(权威国际媒体),apnews.com,权威国际媒体
29,Australia,2021-09,AUKUS security pact announced,https://apnews.com/article/business-france-paris-australia-antony-blinken-e319211528c416f6f4418089abbd73dc,是,200,可访问,美联社(权威国际媒体),apnews.com,权威国际媒体
30,Australia,2022-11,Bilateral meeting on sidelines of G20 summit,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/dyz_681240/1206_681242/sbgx_681246/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
31,Australia,2023-08,China lifts barley tariffs,https://www.foreignminister.gov.au/minister/penny-wong/media-release/resolution-barley-dispute-china,否,0,异常: The read operation timed out,外国政府机构,foreignminister.gov.au,官方/政府
32,Australia,2023-11,Bilateral meeting on sidelines of APEC summit,https://www.mfa.gov.cn/gjhdq_676201/gj_676203/dyz_681240/1206_681242/sbgx_681246/,是,200,可访问,中国外交部,mfa.gov.cn,官方/政府
