ISO,Country,n_events,n_increase,n_decrease,median_pct_change,mean_pct_change,sd_pct_change,min_pct_change,max_pct_change
MX,Mexico,10,4,6,-0.00732599806864048,-0.000278201365535018,0.137154290778437,-0.194390759868894,0.225686437594922
US,United States,8,4,4,-0.0077775851874524,0.0551313552378386,0.178496238159817,-0.105702015062627,0.366878881935149
CA,Canada,4,3,1,0.125044445049625,0.116555692626979,0.365541004883981,-0.335174119766794,0.55130800017546
GB,United Kingdom,4,4,0,0.228656409467837,0.207746035629701,0.130514937380049,0.0314515740165809,0.34221974956655
AE,United Arab Emirates,2,0,2,-0.383004643643976,-0.383004643643976,0.0267583630705315,-0.4019256636246,-0.364083623663351
AU,Australia,2,0,2,-0.118574267728683,-0.118574267728683,0.0183895223321539,-0.13157762367253,-0.105570911784835
IT,Italy,2,0,2,-0.0447349251151923,-0.0447349251151923,0.0524425816649589,-0.081817430233414,-0.00765241999697051
ES,Spain,2,2,0,0.0183144467018401,0.0183144467018401,0.00929237169301843,0.0117437476644008,0.0248851457392793
DE,Germany,2,2,0,0.0347273836089931,0.0347273836089931,0.0288292750455558,0.0143420077275885,0.0551127594903977
BR,Brazil,2,2,0,0.0518961928307139,0.0518961928307139,0.0651471699311588,0.0058301871972792,0.0979621984641486
FR,France,2,1,1,0.0881276390506235,0.0881276390506235,0.138643694096467,-0.00990825721374192,0.186163535314989
NL,Netherlands,2,2,0,0.220810247653299,0.220810247653299,0.18284104683565,0.091522103556564,0.350098391750035
IN,India,2,2,0,0.645220159595534,0.645220159595534,0.160645209744081,0.531626842420359,0.758813476770709
