db,spec,trade,h,estimate,se,pval,nobs,pseudo_r2,sig,cell
GDELT,GD-Total,Trade_Total,0,0.0127358176427652,0.0057290399290537,0.0262138947041412,6685,0.969855810263127,**,"0.013**
(0.006)"
GDELT,GD-Total,Trade_Total,1,0.0124041406521645,0.00522807377898414,0.0176632639187153,6660,0.96979451464249,**,"0.012**
(0.005)"
GDELT,GD-Total,Trade_Total,2,0.0111379263805306,0.005033268081976,0.026907178957818,6635,0.969714356684548,**,"0.011**
(0.005)"
GDELT,GD-Total,Trade_Total,3,0.00969076095314975,0.00554988835092368,0.0807904181594304,6610,0.969656761507716,*,"0.010*
(0.006)"
GDELT,GD-Total,Trade_Total,4,0.0115732152151034,0.0056801490212096,0.041601520237652,6585,0.969669210153368,**,"0.012**
(0.006)"
GDELT,GD-Total,Trade_Total,5,0.0124684812690678,0.00550066152191903,0.0234070937773797,6560,0.969673387654301,**,"0.012**
(0.006)"
GDELT,GD-Total,Trade_Total,6,0.0123240772918492,0.00536426904724614,0.0215937776248059,6535,0.969667136934813,**,"0.012**
(0.005)"
GDELT,GD-Total,Trade_Exports,0,0.01331687692549,0.00494700495863911,0.00710447684417479,6685,0.972003301244581,***,"0.013***
(0.005)"
GDELT,GD-Total,Trade_Exports,1,0.0128046065911395,0.00526361483013434,0.0149881999821472,6660,0.97196458779992,**,"0.013**
(0.005)"
GDELT,GD-Total,Trade_Exports,2,0.0104538694652164,0.00526427438614163,0.0470539872138215,6635,0.971891627211854,**,"0.010**
(0.005)"
GDELT,GD-Total,Trade_Exports,3,0.00948609368928784,0.0058598784883358,0.105485806820179,6610,0.971841524880127,"","0.009
(0.006)"
GDELT,GD-Total,Trade_Exports,4,0.0111987710203589,0.00550122897904626,0.0417819651141215,6585,0.971845721374544,**,"0.011**
(0.006)"
GDELT,GD-Total,Trade_Exports,5,0.0107187507664776,0.00540504891004697,0.0473562962999808,6560,0.971822119229051,**,"0.011**
(0.005)"
GDELT,GD-Total,Trade_Exports,6,0.0114477710161492,0.00576093913710695,0.0469072996471778,6535,0.971813553630384,**,"0.011**
(0.006)"
GDELT,GD-Total,Trade_Imports,0,0.0157313566077401,0.00879189028011486,0.0735660137247163,6685,0.94596517157522,*,"0.016*
(0.009)"
GDELT,GD-Total,Trade_Imports,1,0.0147910994866462,0.00787473335414876,0.0603403479092751,6660,0.945855307015798,*,"0.015*
(0.008)"
GDELT,GD-Total,Trade_Imports,2,0.0135791387157802,0.00769370503639456,0.0775692417057052,6635,0.945727028321733,*,"0.014*
(0.008)"
GDELT,GD-Total,Trade_Imports,3,0.01466370520566,0.00796187626922189,0.0655132048384319,6610,0.94567369743138,*,"0.015*
(0.008)"
GDELT,GD-Total,Trade_Imports,4,0.0133393421781584,0.00795493848804231,0.0935692708866518,6585,0.945620004246344,*,"0.013*
(0.008)"
GDELT,GD-Total,Trade_Imports,5,0.0178000074902618,0.00801023713019782,0.0262726721558774,6560,0.945648464233721,**,"0.018**
(0.008)"
GDELT,GD-Total,Trade_Imports,6,0.0163508565246763,0.0071412594871307,0.0220426560535748,6535,0.945583333976697,**,"0.016**
(0.007)"
GDELT,GD-Export,Trade_Total,0,0.00926128594763565,0.00535361400301068,0.0836458374014691,6685,0.969818614422063,*,"0.009*
(0.005)"
GDELT,GD-Export,Trade_Total,1,0.00891486715562722,0.00501234957854652,0.0753085655046285,6660,0.969757799383988,*,"0.009*
(0.005)"
GDELT,GD-Export,Trade_Total,2,0.00724118024238215,0.0053791954926169,0.178255571138886,6635,0.969678413929046,"","0.007
(0.005)"
GDELT,GD-Export,Trade_Total,3,0.00627274084112397,0.00538718411409495,0.244269191647073,6610,0.969629064986815,"","0.006
(0.005)"
GDELT,GD-Export,Trade_Total,4,0.00780153789724747,0.00511162348256368,0.126951387298859,6585,0.969631578318491,"","0.008
(0.005)"
GDELT,GD-Export,Trade_Total,5,0.00778239438146042,0.00544454329612169,0.152891187563922,6560,0.969624003677902,"","0.008
(0.005)"
GDELT,GD-Export,Trade_Total,6,0.00877511974483054,0.00522311734039725,0.0929467886881099,6535,0.969628218175115,*,"0.009*
(0.005)"
GDELT,GD-Export,Trade_Exports,0,0.0103186644808349,0.00510950404500357,0.0434348493045167,6685,0.971974585681077,**,"0.010**
(0.005)"
GDELT,GD-Export,Trade_Exports,1,0.00944137641291214,0.00523932397425589,0.0715419639470592,6660,0.971933620230706,*,"0.009*
(0.005)"
GDELT,GD-Export,Trade_Exports,2,0.0064937976555211,0.00558578098135362,0.245008640604301,6635,0.971863160170751,"","0.006
(0.006)"
GDELT,GD-Export,Trade_Exports,3,0.00629176191284549,0.00561642189070683,0.262609875288521,6610,0.971819981367687,"","0.006
(0.006)"
GDELT,GD-Export,Trade_Exports,4,0.00640967914206816,0.00495586456352766,0.195889218071186,6585,0.971808845477389,"","0.006
(0.005)"
GDELT,GD-Export,Trade_Exports,5,0.00659580078522026,0.00547635972609986,0.228429853148708,6560,0.971790649881143,"","0.007
(0.005)"
GDELT,GD-Export,Trade_Exports,6,0.00771458972295729,0.00567036888321493,0.173668805078331,6535,0.971782020361655,"","0.008
(0.006)"
GDELT,GD-Export,Trade_Imports,0,0.0114354547603119,0.0078541831549361,0.145400923138123,6685,0.94591308596334,"","0.011
(0.008)"
GDELT,GD-Export,Trade_Imports,1,0.0105687095960909,0.0069321055062339,0.127358121862955,6660,0.945806792667083,"","0.011
(0.007)"
GDELT,GD-Export,Trade_Imports,2,0.00927976585231854,0.00745648209956955,0.21330702238092,6635,0.945682070802535,"","0.009
(0.007)"
GDELT,GD-Export,Trade_Imports,3,0.0107174606996826,0.00755995601206678,0.156289533582587,6610,0.945627904165377,"","0.011
(0.008)"
GDELT,GD-Export,Trade_Imports,4,0.0104973172102636,0.00717505945468181,0.143459552459436,6585,0.94558860951991,"","0.010
(0.007)"
GDELT,GD-Export,Trade_Imports,5,0.0124016302812264,0.00720488460703758,0.08519986316503,6560,0.945572013352219,*,"0.012*
(0.007)"
GDELT,GD-Export,Trade_Imports,6,0.0127569872131221,0.00650169408432417,0.049750605735319,6535,0.945534555185027,**,"0.013**
(0.007)"
GDELT,GD-Import,Trade_Total,0,0.0144512091174824,0.00561382732072923,0.0100467270631889,6685,0.969884918698733,**,"0.014**
(0.006)"
GDELT,GD-Import,Trade_Total,1,0.0139241075019661,0.0049482842751397,0.00489404399037138,6660,0.969820094568083,***,"0.014***
(0.005)"
GDELT,GD-Import,Trade_Total,2,0.0125981805224089,0.00456353456518953,0.00576919245244059,6635,0.969736346062379,***,"0.013***
(0.005)"
GDELT,GD-Import,Trade_Total,3,0.0112986894699085,0.0053573142634473,0.0349427499347998,6610,0.969677553385556,**,"0.011**
(0.005)"
GDELT,GD-Import,Trade_Total,4,0.0136416719730801,0.00546485776861687,0.0125512762751765,6585,0.969701804553359,**,"0.014**
(0.005)"
GDELT,GD-Import,Trade_Total,5,0.0156096567709368,0.00501044722927826,0.00183682014376264,6560,0.969726938722798,***,"0.016***
(0.005)"
GDELT,GD-Import,Trade_Total,6,0.0146712621497638,0.0049744530067431,0.00318472288626982,6535,0.969706892560797,***,"0.015***
(0.005)"
GDELT,GD-Import,Trade_Exports,0,0.0140952605382621,0.00486547967284824,0.00376758165665556,6685,0.972016514133363,***,"0.014***
(0.005)"
GDELT,GD-Import,Trade_Exports,1,0.0139131154186767,0.00494138780193681,0.00486818292173741,6660,0.971981265411579,***,"0.014***
(0.005)"
GDELT,GD-Import,Trade_Exports,2,0.0117739418476945,0.00492924519301078,0.0169132019039879,6635,0.971907098049569,**,"0.012**
(0.005)"
GDELT,GD-Import,Trade_Exports,3,0.0108571668671189,0.00576480806046692,0.0596525849433915,6610,0.971855966200903,*,"0.011*
(0.006)"
GDELT,GD-Import,Trade_Exports,4,0.0134513048972429,0.00548390068599554,0.0141720869161403,6585,0.971874086275943,**,"0.013**
(0.005)"
GDELT,GD-Import,Trade_Exports,5,0.013328995713887,0.00495659378350233,0.00716354545887776,6560,0.971854051776482,***,"0.013***
(0.005)"
GDELT,GD-Import,Trade_Exports,6,0.0146775900220647,0.00512169013850488,0.00415995316157266,6535,0.971855976416934,***,"0.015***
(0.005)"
GDELT,GD-Import,Trade_Imports,0,0.0177723262075599,0.00820159174914111,0.030239717834483,6685,0.946005173044064,**,"0.018**
(0.008)"
GDELT,GD-Import,Trade_Imports,1,0.016429523509216,0.00724850364062023,0.0234141224773343,6660,0.945886531908222,**,"0.016**
(0.007)"
GDELT,GD-Import,Trade_Imports,2,0.0147192098151661,0.00717254744187184,0.0401541851010724,6635,0.945748090124081,**,"0.015**
(0.007)"
GDELT,GD-Import,Trade_Imports,3,0.0154439491239434,0.00755597734381029,0.0409596737721034,6610,0.945691265171091,**,"0.015**
(0.008)"
GDELT,GD-Import,Trade_Imports,4,0.0148730044785034,0.00766960182349495,0.0524752022977656,6585,0.945647161965146,*,"0.015*
(0.008)"
GDELT,GD-Import,Trade_Imports,5,0.0207040148165901,0.00768177387994066,0.00703437031485292,6560,0.945714555382912,***,"0.021***
(0.008)"
GDELT,GD-Import,Trade_Imports,6,0.0171342392517593,0.00721464071352605,0.0175524592472402,6535,0.945604607437764,**,"0.017**
(0.007)"
ICEWS,IW-Total,Trade_Total,0,0.00240615117183937,0.00468966180165447,0.607898419532638,6005,0.973472452342186,"","0.002
(0.005)"
ICEWS,IW-Total,Trade_Total,1,5.8539315658821e-05,0.0039446477614087,0.988159677458303,5980,0.973420013887472,"","0.000
(0.004)"
ICEWS,IW-Total,Trade_Total,2,0.00206933313064562,0.00321092266893364,0.519272764932199,5955,0.973369673426207,"","0.002
(0.003)"
ICEWS,IW-Total,Trade_Total,3,-0.00112349132178664,0.00381303819009955,0.768265345968312,5930,0.973336319930038,"","-0.001
(0.004)"
ICEWS,IW-Total,Trade_Total,4,-0.00162952621973865,0.00446666828674677,0.715246393878287,5905,0.973339823984014,"","-0.002
(0.004)"
ICEWS,IW-Total,Trade_Total,5,-0.00192579514101296,0.00540472657267256,0.721603292761973,5880,0.973344697972086,"","-0.002
(0.005)"
ICEWS,IW-Total,Trade_Total,6,0.000267816356593132,0.00512194152905633,0.958299171615719,5855,0.973348423621488,"","0.000
(0.005)"
ICEWS,IW-Total,Trade_Exports,0,0.0067384356680159,0.00484213403227605,0.164035928318867,6005,0.976904944179188,"","0.007
(0.005)"
ICEWS,IW-Total,Trade_Exports,1,0.00336182433185344,0.00435061586290436,0.439685870519603,5980,0.976869341276544,"","0.003
(0.004)"
ICEWS,IW-Total,Trade_Exports,2,0.00412610184913717,0.00310620508715691,0.184065238797814,5955,0.9768448466289,"","0.004
(0.003)"
ICEWS,IW-Total,Trade_Exports,3,0.000513328657958868,0.00430869281386286,0.905166096543054,5930,0.976811183321514,"","0.001
(0.004)"
ICEWS,IW-Total,Trade_Exports,4,-0.000493606100633793,0.00361156749033034,0.891288760600105,5905,0.976818316005999,"","-0.000
(0.004)"
ICEWS,IW-Total,Trade_Exports,5,0.000114231462159268,0.00460688682125265,0.980217838042264,5880,0.976817411448077,"","0.000
(0.005)"
ICEWS,IW-Total,Trade_Exports,6,0.00218908864798611,0.00450453146272456,0.626985053295321,5855,0.976822832683933,"","0.002
(0.005)"
ICEWS,IW-Total,Trade_Imports,0,-0.000457965421780339,0.00590394518419344,0.938170592873363,6005,0.949953451280678,"","-0.000
(0.006)"
ICEWS,IW-Total,Trade_Imports,1,-0.00092070969012185,0.0056571385672102,0.870713831575316,5980,0.949858584848807,"","-0.001
(0.006)"
ICEWS,IW-Total,Trade_Imports,2,0.00094228181841606,0.00571500521446008,0.869039569683244,5955,0.949747549516003,"","0.001
(0.006)"
ICEWS,IW-Total,Trade_Imports,3,-0.000445276240028562,0.00629194268305249,0.943581383212761,5930,0.949676473644552,"","-0.000
(0.006)"
ICEWS,IW-Total,Trade_Imports,4,-0.00171294162703349,0.00797563019610837,0.829945125439697,5905,0.949643515439995,"","-0.002
(0.008)"
ICEWS,IW-Total,Trade_Imports,5,-0.00194988128465391,0.00831496887393649,0.81459486491461,5880,0.949610658262566,"","-0.002
(0.008)"
ICEWS,IW-Total,Trade_Imports,6,-4.55995724811583e-05,0.00749979062440881,0.995148801810926,5855,0.94956841740496,"","-0.000
(0.007)"
ICEWS,IW-Export,Trade_Total,0,0.00114547337655558,0.00512883435444707,0.823270971954046,5997,0.973426421313743,"","0.001
(0.005)"
ICEWS,IW-Export,Trade_Total,1,-0.00013824311925567,0.00433647158036379,0.974568409291855,5972,0.973379860038394,"","-0.000
(0.004)"
ICEWS,IW-Export,Trade_Total,2,0.00033019558557288,0.00342166327724016,0.9231222950024,5947,0.973328481038905,"","0.000
(0.003)"
ICEWS,IW-Export,Trade_Total,3,-0.00136012997953768,0.00446370888824849,0.760588185512654,5922,0.973300159172145,"","-0.001
(0.004)"
ICEWS,IW-Export,Trade_Total,4,-0.00201626923358988,0.00507938465699204,0.691403244045467,5897,0.973303120346982,"","-0.002
(0.005)"
ICEWS,IW-Export,Trade_Total,5,-0.00181961164554927,0.00510197458479806,0.72135495503089,5872,0.973307767991381,"","-0.002
(0.005)"
ICEWS,IW-Export,Trade_Total,6,0.000572997064896345,0.0051762044985955,0.911855590047107,5847,0.973314875180188,"","0.001
(0.005)"
ICEWS,IW-Export,Trade_Exports,0,0.00635956421408707,0.00541983354363481,0.240640500711424,5997,0.976878129436346,"","0.006
(0.005)"
ICEWS,IW-Export,Trade_Exports,1,0.00327149139218588,0.00510667476700427,0.52176280622122,5972,0.976846802095765,"","0.003
(0.005)"
ICEWS,IW-Export,Trade_Exports,2,0.0019306494698204,0.00349226195800679,0.580375452514823,5947,0.976816812880099,"","0.002
(0.003)"
ICEWS,IW-Export,Trade_Exports,3,0.00141330503939297,0.00476493346550948,0.766767780833124,5922,0.976795659443024,"","0.001
(0.005)"
ICEWS,IW-Export,Trade_Exports,4,-0.000549286131815134,0.00443299057774893,0.901387558679837,5897,0.976802134551675,"","-0.001
(0.004)"
ICEWS,IW-Export,Trade_Exports,5,0.000375914068416167,0.00500127985127247,0.940084566041491,5872,0.976803554031585,"","0.000
(0.005)"
ICEWS,IW-Export,Trade_Exports,6,0.00371793810997748,0.0052217142696611,0.476455579472885,5847,0.976817199905726,"","0.004
(0.005)"
ICEWS,IW-Export,Trade_Imports,0,-0.00281541828935262,0.00679174733954601,0.678482199306215,5997,0.949868136061419,"","-0.003
(0.007)"
ICEWS,IW-Export,Trade_Imports,1,-0.000993855798134857,0.00614965942891773,0.871611786164742,5972,0.949767791898904,"","-0.001
(0.006)"
ICEWS,IW-Export,Trade_Imports,2,-8.50424394721842e-05,0.00614180006162345,0.98895244380748,5947,0.949658243904657,"","-0.000
(0.006)"
ICEWS,IW-Export,Trade_Imports,3,-0.00178451210788489,0.00733318852201085,0.807736314528498,5922,0.9495901842807,"","-0.002
(0.007)"
ICEWS,IW-Export,Trade_Imports,4,-0.00244086030398334,0.00863520076035911,0.777434422501105,5897,0.949557223340839,"","-0.002
(0.009)"
ICEWS,IW-Export,Trade_Imports,5,-0.00137054700821097,0.00816088238501577,0.866629669813898,5872,0.949520890509177,"","-0.001
(0.008)"
ICEWS,IW-Export,Trade_Imports,6,-0.000749502149490747,0.00763905159523251,0.921841329905777,5847,0.949479842435019,"","-0.001
(0.008)"
ICEWS,IW-Import,Trade_Total,0,0.00371503113109678,0.00402878283003129,0.356464703178038,6003,0.973465554699516,"","0.004
(0.004)"
ICEWS,IW-Import,Trade_Total,1,0.00226015251088246,0.00398149013495891,0.570262476350624,5978,0.973410632571847,"","0.002
(0.004)"
ICEWS,IW-Import,Trade_Total,2,0.0039734157916457,0.00322800993297439,0.218353504437861,5953,0.973366788830858,"","0.004
(0.003)"
ICEWS,IW-Import,Trade_Total,3,0.00110137152396439,0.00281961037841368,0.696084611475426,5928,0.973325147082494,"","0.001
(0.003)"
ICEWS,IW-Import,Trade_Total,4,0.00165412572266943,0.00348066316119972,0.634620964270061,5903,0.973327644193968,"","0.002
(0.003)"
ICEWS,IW-Import,Trade_Total,5,0.00152563133398226,0.00488627612409849,0.754867392147336,5878,0.973330488489409,"","0.002
(0.005)"
ICEWS,IW-Import,Trade_Total,6,0.00190474055747734,0.004594765934489,0.678474490217434,5853,0.973339543628462,"","0.002
(0.005)"
ICEWS,IW-Import,Trade_Exports,0,0.00736900380684583,0.00317343484491703,0.0202280478226582,6003,0.976900907333289,**,"0.007**
(0.003)"
ICEWS,IW-Import,Trade_Exports,1,0.00442605939711343,0.00365614980756089,0.226056668778907,5978,0.976865160243972,"","0.004
(0.004)"
ICEWS,IW-Import,Trade_Exports,2,0.00581762960884528,0.00278613501046856,0.0367920167704702,5953,0.976847692594956,**,"0.006**
(0.003)"
ICEWS,IW-Import,Trade_Exports,3,0.000470112480366753,0.00310327765759504,0.879589974389499,5928,0.976803684386799,"","0.000
(0.003)"
