estimate,se,pval,nobs,pseudo_r2,test,sig,cell
0.0127358176427652,0.0057290399290537,0.0262138947041412,6685,0.969855810263127,基准 (h=0),**,"0.013**
(0.006)"
0.0124041406521645,0.00522807377898414,0.0176632639187153,6660,0.96979451464249,基准 (h=1),**,"0.012**
(0.005)"
0.00969076095314975,0.00554988835092368,0.0807904181594304,6610,0.969656761507716,基准 (h=3),*,"0.010*
(0.006)"
0.0123240772918492,0.00536426904724614,0.0215937776248059,6535,0.969667136934813,基准 (h=6),**,"0.012**
(0.005)"
0.0127358176427652,0.0057290399290537,0.0262138947041412,6685,0.969855810263127,AR(1) 残差 (h=0),**,"0.013**
(0.006)"
0.00969076095314975,0.00554988835092368,0.0807904181594304,6610,0.969656761507716,AR(1) 残差 (h=3),*,"0.010*
(0.006)"
0.0127358176427652,0.0057290399290537,0.0262138947041412,6685,0.969855810263127,频率扫描 k=1,**,"0.013**
(0.006)"
0.0140708898588039,0.00604197610830265,0.0198667170734053,6660,0.969894579720325,频率扫描 k=2,**,"0.014**
(0.006)"
0.013228083099353,0.00567518694323891,0.0197605863684902,6635,0.969893370959016,频率扫描 k=3,**,"0.013**
(0.006)"
0.0119261304046733,0.00545681977064359,0.0288488399453253,6610,0.969886484333651,频率扫描 k=4,**,"0.012**
(0.005)"
0.0107371409996695,0.00486373988694516,0.0272729032650436,6560,0.969977281401437,频率扫描 k=6,**,"0.011**
(0.005)"
0.00854286178280651,0.0038184892852151,0.0252709181182015,6410,0.970268047384522,频率扫描 k=12,**,"0.009**
(0.004)"
0.013191200568724,0.00596137235564396,0.0269128740937236,6610,0.970754304991825,前向 h=-3,**,"0.013**
(0.006)"
0.0140210419316984,0.00616550553781479,0.0229593333043988,6635,0.970385733508038,前向 h=-2,**,"0.014**
(0.006)"
0.0118936478040377,0.00581554108840735,0.0408401747262887,6660,0.97008815021296,前向 h=-1,**,"0.012**
(0.006)"
0.0115051892758811,0.00555175411099657,0.0382326172080418,6399,0.957620262385916,排除美国 (h=0),**,"0.012**
(0.006)"
0.0110670205997599,0.00501777049493398,0.027414449359323,5785,0.970510672946151,排除疫情期 (h=0),**,"0.011**
(0.005)"
0.0127358176427652,0.0057290399290537,0.0262138947041412,6685,0.969855810263127,排除伊朗 (h=0),**,"0.013**
(0.006)"
0.00488142472817526,0.00333007688930086,0.14268657684811,4782,0.982789703793318,截断 2019-03 (h=0),"","0.005
(0.003)"
0.0118933169287843,0.00531356134929729,0.0252018346551134,6551,0.96454511887064,剔除贸易 1% 极端值 (h=0),**,"0.012**
(0.005)"
