version,db,country,event_date,event_name,category,impact,baseline,post_month,shock
v1,GDELT,Australia,2002-10-01,China-Australia LNG supply agreement signed,Economic win-win cooperation,positive,1.549534940364429,0,-1.1161575853896322
v1,GDELT,Australia,2002-10-01,China-Australia LNG supply agreement signed,Economic win-win cooperation,positive,1.549534940364429,1,-0.7417962446474803
v1,GDELT,Australia,2002-10-01,China-Australia LNG supply agreement signed,Economic win-win cooperation,positive,1.549534940364429,3,-0.9976153399653899
v1,GDELT,Australia,2002-10-01,China-Australia LNG supply agreement signed,Economic win-win cooperation,positive,1.549534940364429,6,-2.7733196703246072
v1,GDELT,Australia,2002-10-01,China-Australia LNG supply agreement signed,Economic win-win cooperation,positive,1.549534940364429,12,-0.39454186168293126
v1,GDELT,Australia,2003-10-01,Australia-China Trade and Economic Framework signed,Economic win-win cooperation,positive,1.4211349426630668,0,-0.26614186398156914
v1,GDELT,Australia,2003-10-01,Australia-China Trade and Economic Framework signed,Economic win-win cooperation,positive,1.4211349426630668,1,-1.4717483902311628
v1,GDELT,Australia,2003-10-01,Australia-China Trade and Economic Framework signed,Economic win-win cooperation,positive,1.4211349426630668,3,0.410365436745346
v1,GDELT,Australia,2003-10-01,Australia-China Trade and Economic Framework signed,Economic win-win cooperation,positive,1.4211349426630668,6,0.20009899385676055
v1,GDELT,Australia,2003-10-01,Australia-China Trade and Economic Framework signed,Economic win-win cooperation,positive,1.4211349426630668,12,-2.892066498548627
v1,GDELT,Australia,2004-03-01,Australia-China Air Services Agreement signed,Economic win-win cooperation,positive,1.099083869356366,0,0.7760728319282191
v1,GDELT,Australia,2004-03-01,Australia-China Air Services Agreement signed,Economic win-win cooperation,positive,1.099083869356366,1,0.5221500671634614
v1,GDELT,Australia,2004-03-01,Australia-China Air Services Agreement signed,Economic win-win cooperation,positive,1.099083869356366,3,1.1555332462689558
v1,GDELT,Australia,2004-03-01,Australia-China Air Services Agreement signed,Economic win-win cooperation,positive,1.099083869356366,6,-1.3321954855323304
v1,GDELT,Australia,2004-03-01,Australia-China Air Services Agreement signed,Economic win-win cooperation,positive,1.099083869356366,12,-0.32899546810599556
v1,GDELT,Australia,2005-05-01,FTA Talks Begin,Economic win-win cooperation,positive,1.3959946495409157,0,-0.6403813650099882
v1,GDELT,Australia,2005-05-01,FTA Talks Begin,Economic win-win cooperation,positive,1.3959946495409157,1,-2.3226005558002782
v1,GDELT,Australia,2005-05-01,FTA Talks Begin,Economic win-win cooperation,positive,1.3959946495409157,3,1.1834435047402154
v1,GDELT,Australia,2005-05-01,FTA Talks Begin,Economic win-win cooperation,positive,1.3959946495409157,6,-0.1876743416838289
v1,GDELT,Australia,2005-05-01,FTA Talks Begin,Economic win-win cooperation,positive,1.3959946495409157,12,0.20104675391914872
v1,GDELT,Australia,2006-04-01,Australia-China nuclear cooperation agreements signed,Economic win-win cooperation,positive,1.2900511389614508,0,-1.6821034887915713
v1,GDELT,Australia,2006-04-01,Australia-China nuclear cooperation agreements signed,Economic win-win cooperation,positive,1.2900511389614508,1,0.30699026449861355
v1,GDELT,Australia,2006-04-01,Australia-China nuclear cooperation agreements signed,Economic win-win cooperation,positive,1.2900511389614508,3,0.7339330740424241
v1,GDELT,Australia,2006-04-01,Australia-China nuclear cooperation agreements signed,Economic win-win cooperation,positive,1.2900511389614508,6,0.999983864965805
