event_category,mean,se,n,window
Cultural / people-to-people cooperation,0.04790062552024501,0.23150691526549358,16,baseline
Detention / judicial dispute,-1.407494733976039,0.44314971260537506,6,baseline
Diplomatic protest / friction,-1.0015341294379063,0.23537705579039014,14,baseline
Economic sanction / tariff barrier,-0.1568697234585226,0.19613342599042538,21,baseline
Economic win-win cooperation,0.22489833426371333,0.10611045710195345,78,baseline
High-level visit,-0.25129262311608674,0.33844505047460466,2,baseline
Military / security cooperation,-0.1971513011458229,0.20535114827120027,11,baseline
Multilateral / third-party meeting,-0.30357919765200075,0.6848168021698183,3,baseline
Negative strategic positioning,0.020813567498409995,0.1165125548981347,5,baseline
Pandemic / crisis aid,0.19990869622694166,0.14325052620586926,13,baseline
Pandemic / disaster shock,-0.12894380047505094,0.3554386636655846,8,baseline
Policy shift / domestic politics,-0.04542468932065807,0.22814640287385518,6,baseline
Security threat,-0.22322056704009435,0.15428528498414165,5,baseline
Sovereignty dispute,-0.469162335275324,0.16390483274438097,35,baseline
Strategic partnership upgrade,0.41956836235151085,0.10722509374852375,50,baseline
Tech control / export restriction,-0.6652540136467155,0.18559478584581593,11,baseline
Cultural / people-to-people cooperation,0.17230242078944819,0.2132959963952043,16,longer_pre
Detention / judicial dispute,-1.2785576513934003,0.49524103873089753,6,longer_pre
Diplomatic protest / friction,-0.9615288428439392,0.20404068760929941,14,longer_pre
Economic sanction / tariff barrier,-0.16135463961888685,0.18350419068613458,21,longer_pre
Economic win-win cooperation,0.3403941782198087,0.10107758158963501,78,longer_pre
High-level visit,-0.0987379564337151,0.05641525592212988,2,longer_pre
Military / security cooperation,-0.16112582651342192,0.22555318506616145,11,longer_pre
Multilateral / third-party meeting,-0.13544652870305143,0.7611875829658299,3,longer_pre
Negative strategic positioning,-0.06108613352328235,0.08853714350584864,5,longer_pre
Pandemic / crisis aid,0.09611327780246533,0.18163619202564654,13,longer_pre
Pandemic / disaster shock,-0.2579601434079295,0.27441824167358736,8,longer_pre
Policy shift / domestic politics,0.051522110896267355,0.18032774702192797,6,longer_pre
Security threat,-0.31177576815160757,0.14789824183009667,5,longer_pre
Sovereignty dispute,-0.6103877232640726,0.1796238571170605,35,longer_pre
Strategic partnership upgrade,0.3774154979371187,0.10466695145101798,50,longer_pre
Tech control / export restriction,-0.8164619417989626,0.19472741001027324,11,longer_pre
Cultural / people-to-people cooperation,0.07335801385780491,0.27531441266020645,16,shorter_pre
Detention / judicial dispute,-1.2812600189208871,0.423357480025561,6,shorter_pre
Diplomatic protest / friction,-0.6890686649139746,0.26324695023100986,14,shorter_pre
Economic sanction / tariff barrier,-0.24147010322356838,0.1882595585455218,21,shorter_pre
Economic win-win cooperation,0.41211645856453855,0.1210130698559866,78,shorter_pre
