db,country,n_bp,max_vol,avg_vol
GDELT,Australia,5,1.7528646693279277,1.6753735321380046
GDELT,Belgium,14,2.51541105572522,1.9034275364591882
GDELT,Brazil,23,2.795231395375771,2.164500077943124
GDELT,Canada,11,2.031058843328345,1.81059799396215
GDELT,France,8,1.7565855583660344,1.7108332096693337
GDELT,Germany,10,2.372387158378194,1.9788695749630918
GDELT,Indonesia,17,2.6785170896656965,2.108442058582792
GDELT,Iran,7,3.153771947351235,2.471968847194177
GDELT,Italy,25,2.660196657265533,2.1541985878227097
GDELT,Malaysia,20,2.4698127029526282,1.9394476936543752
GDELT,Mexico,24,2.5757662372032604,2.0060404716847633
GDELT,Netherlands,33,2.7557083368552697,2.033408416977666
GDELT,Philippines,10,1.9525185826358333,1.7795413187006694
GDELT,Russia,1,1.7361895962087674,1.7361895962087674
GDELT,Saudi Arabia,24,3.2501704900869237,2.2737083214607647
GDELT,Singapore,21,2.3765705021335974,2.0189769664309183
GDELT,Spain,17,3.161933696058791,2.24080338457881
GDELT,Thailand,7,2.1187963355278217,1.9327326937252467
GDELT,United Arab Emirates,7,2.407655588681494,2.23470387151285
GDELT,United Kingdom,7,2.0718940022233934,1.8115719184312324
GDELT,Vietnam,2,1.6991012583976612,1.682875349074493
ICEWS,Australia,3,1.6678001690123045,1.6409671218422843
ICEWS,Belgium,20,2.025233902371073,1.73510876079437
ICEWS,Brazil,27,2.5535675204342265,1.940041672490796
ICEWS,Canada,1,1.6130197476985155,1.6130197476985155
ICEWS,France,12,2.3689909138886573,2.027345132495691
ICEWS,Germany,8,2.3203748728956417,2.096600597631655
ICEWS,India,3,1.6508638918162053,1.6363328756002116
ICEWS,Indonesia,16,2.2616617527115674,1.7872245597806735
ICEWS,Iran,14,2.6308583856743692,2.0543042457373013
ICEWS,Italy,29,2.315899192625262,1.8930022216322584
ICEWS,Japan,4,1.692780991635706,1.6514859882964639
ICEWS,Malaysia,17,2.924803259729945,1.959423747051592
ICEWS,Mexico,20,1.8185891048040501,1.6988605395281982
ICEWS,Netherlands,7,1.7595345654369798,1.6773747652782647
ICEWS,Philippines,3,1.7623005161050334,1.6732079286628916
ICEWS,Russia,8,1.7820371115980636,1.714139052131986
ICEWS,Saudi Arabia,23,2.897600707604563,2.2634960996402933
ICEWS,Singapore,27,2.743230357416551,2.0390791787218667
ICEWS,South Korea,2,1.7842348989165937,1.7028605191690545
ICEWS,Spain,19,2.1942988960786294,1.8774206161181308
ICEWS,Thailand,18,3.082380311095394,2.177334502987532
ICEWS,United Arab Emirates,12,1.990697378003422,1.7448912690651863
ICEWS,United Kingdom,7,1.8868037693038482,1.794676220542505
ICEWS,Vietnam,12,2.2501550522308036,1.9906334191920172
