db,country,ally,category,event,post_month,shock
GDELT,Australia,US Ally,Economic win-win cooperation,China-Australia LNG supply agreement signed,0,-1.1161575853896322
GDELT,Australia,US Ally,Economic win-win cooperation,China-Australia LNG supply agreement signed,1,-0.7417962446474803
GDELT,Australia,US Ally,Economic win-win cooperation,China-Australia LNG supply agreement signed,3,-0.9976153399653899
GDELT,Australia,US Ally,Economic win-win cooperation,China-Australia LNG supply agreement signed,6,-2.7733196703246072
GDELT,Australia,US Ally,Economic win-win cooperation,Australia-China Trade and Economic Framework signed,0,-0.26614186398156914
GDELT,Australia,US Ally,Economic win-win cooperation,Australia-China Trade and Economic Framework signed,1,-1.4717483902311628
GDELT,Australia,US Ally,Economic win-win cooperation,Australia-China Trade and Economic Framework signed,3,0.410365436745346
GDELT,Australia,US Ally,Economic win-win cooperation,Australia-China Trade and Economic Framework signed,6,0.20009899385676055
GDELT,Australia,US Ally,Economic win-win cooperation,Australia-China Air Services Agreement signed,0,0.7760728319282191
GDELT,Australia,US Ally,Economic win-win cooperation,Australia-China Air Services Agreement signed,1,0.5221500671634614
GDELT,Australia,US Ally,Economic win-win cooperation,Australia-China Air Services Agreement signed,3,1.1555332462689558
GDELT,Australia,US Ally,Economic win-win cooperation,Australia-China Air Services Agreement signed,6,-1.3321954855323304
GDELT,Australia,US Ally,Economic win-win cooperation,FTA Talks Begin,0,-0.6403813650099882
GDELT,Australia,US Ally,Economic win-win cooperation,FTA Talks Begin,1,-2.3226005558002782
GDELT,Australia,US Ally,Economic win-win cooperation,FTA Talks Begin,3,1.1834435047402154
GDELT,Australia,US Ally,Economic win-win cooperation,FTA Talks Begin,6,-0.1876743416838289
GDELT,Australia,US Ally,Economic win-win cooperation,Australia-China nuclear cooperation agreements signed,0,-1.6821034887915713
GDELT,Australia,US Ally,Economic win-win cooperation,Australia-China nuclear cooperation agreements signed,1,0.30699026449861355
GDELT,Australia,US Ally,Economic win-win cooperation,Australia-China nuclear cooperation agreements signed,3,0.7339330740424241
GDELT,Australia,US Ally,Economic win-win cooperation,Australia-China nuclear cooperation agreements signed,6,0.999983864965805
GDELT,Australia,US Ally,Economic win-win cooperation,Australia-China Joint Coordination Group on Clean Coal Technology launched,0,-2.980464723165176
GDELT,Australia,US Ally,Economic win-win cooperation,Australia-China Joint Coordination Group on Clean Coal Technology launched,1,-1.0184006654494606
