country,n_turnovers,db,mean_vol
Australia,2,GDELT,0.6391860636009431
Australia,2,ICEWS,0.7388253246032472
Belgium,4,GDELT,0.9009817013039824
Belgium,4,ICEWS,0.8821295108031836
Brazil,2,GDELT,0.8066273306572642
Brazil,2,ICEWS,0.861274191228698
Canada,2,GDELT,0.7311670113128307
Canada,2,ICEWS,0.7612597259384714
France,2,GDELT,0.8807330045281282
France,2,ICEWS,0.8623206554492533
Germany,1,GDELT,0.8800092544460397
Germany,1,ICEWS,0.9002215565753423
India,1,GDELT,0.67182999833415
India,1,ICEWS,0.6495405967368504
Indonesia,2,GDELT,0.8079301807501711
Indonesia,2,ICEWS,0.7812181714086395
Iran,1,GDELT,0.7705323437198169
Iran,1,ICEWS,0.803454299377747
Italy,4,GDELT,0.8103922266631214
Italy,4,ICEWS,0.8557397049390577
Japan,8,GDELT,0.6530980145653511
Japan,8,ICEWS,0.7871445600244298
Malaysia,2,GDELT,0.8638249522077136
Malaysia,2,ICEWS,0.899941121347612
Mexico,2,GDELT,0.8477233773513134
Mexico,2,ICEWS,0.8125177197875517
Netherlands,2,GDELT,0.8040119696393467
Netherlands,2,ICEWS,0.73249987500151
Philippines,2,GDELT,0.6744887970170959
Philippines,2,ICEWS,0.7795316252308796
Russia,2,GDELT,0.7371404875113877
Russia,2,ICEWS,0.7893552237467034
Saudi Arabia,1,GDELT,0.826922066195341
Saudi Arabia,1,ICEWS,0.8400706229676991
Singapore,1,GDELT,0.8167131118487744
Singapore,1,ICEWS,0.8582311959071369
South Korea,3,GDELT,0.6750562664110809
South Korea,3,ICEWS,0.6434512031846095
Spain,2,GDELT,0.8645344834098959
Spain,2,ICEWS,0.8477778437222265
Thailand,7,GDELT,0.8207512492648752
Thailand,7,ICEWS,0.8211780866255697
United Arab Emirates,1,GDELT,0.8444699536113789
United Arab Emirates,1,ICEWS,0.7787912391122448
United Kingdom,2,GDELT,0.8015454175233646
United Kingdom,2,ICEWS,0.7793214844194715
United States,2,GDELT,0.5681826984448628
United States,2,ICEWS,0.6546682610140586
Vietnam,2,GDELT,0.7455139077089811
Vietnam,2,ICEWS,0.7971489922286387
