db,country,event_date,event_name,category_4,post_month,baseline,shock
GDELT,Australia,2003-10-01,State visit to Australia,Chinese outbound visit,0,1.4211349426630668,-0.26614186398156914
GDELT,Australia,2003-10-01,State visit to Australia,Chinese outbound visit,1,1.4211349426630668,-1.4717483902311628
GDELT,Australia,2003-10-01,State visit to Australia,Chinese outbound visit,2,1.4211349426630668,-0.06410549656932729
GDELT,Australia,2003-10-01,State visit to Australia,Chinese outbound visit,3,1.4211349426630668,0.410365436745346
GDELT,Australia,2003-10-01,State visit to Australia,Chinese outbound visit,6,1.4211349426630668,0.20009899385676055
GDELT,Australia,2003-10-01,State visit to Australia,Chinese outbound visit,12,1.4211349426630668,-2.892066498548627
GDELT,Australia,2005-04-01,Official visit to China,Partner inbound visit,0,1.2420057140879028,0.26742828142179165
GDELT,Australia,2005-04-01,Official visit to China,Partner inbound visit,1,1.2420057140879028,-0.48639242955697537
GDELT,Australia,2005-04-01,Official visit to China,Partner inbound visit,2,1.2420057140879028,-2.1686116203472654
GDELT,Australia,2005-04-01,Official visit to China,Partner inbound visit,3,1.2420057140879028,-0.5756238456365148
GDELT,Australia,2005-04-01,Official visit to China,Partner inbound visit,6,1.2420057140879028,-0.7429897578009497
GDELT,Australia,2005-04-01,Official visit to China,Partner inbound visit,12,1.2420057140879028,-1.6340580639180233
GDELT,Australia,2006-04-01,Official visit to Australia,Chinese outbound visit,0,1.2900511389614508,-1.6821034887915713
GDELT,Australia,2006-04-01,Official visit to Australia,Chinese outbound visit,1,1.2900511389614508,0.30699026449861355
GDELT,Australia,2006-04-01,Official visit to Australia,Chinese outbound visit,2,1.2900511389614508,-0.7871611766728664
GDELT,Australia,2006-04-01,Official visit to Australia,Chinese outbound visit,3,1.2900511389614508,0.7339330740424241
GDELT,Australia,2006-04-01,Official visit to Australia,Chinese outbound visit,6,1.2900511389614508,0.999983864965805
GDELT,Australia,2006-04-01,Official visit to Australia,Chinese outbound visit,12,1.2900511389614508,-0.7544450486789969
GDELT,Australia,2007-09-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,0,-0.5876034661185432,2.1156583754301463
GDELT,Australia,2007-09-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,1,-0.5876034661185432,0.732349104362495
GDELT,Australia,2007-09-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,2,-0.5876034661185432,1.323312880215631
GDELT,Australia,2007-09-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,3,-0.5876034661185432,1.0899438770829724
GDELT,Australia,2007-09-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,6,-0.5876034661185432,-1.027303620327482
GDELT,Australia,2007-09-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,12,-0.5876034661185432,0.9944749512180873
GDELT,Australia,2008-04-01,Rudd at PKU,Third-party meeting,0,-0.3623483952072347,0.22278279343733715
GDELT,Australia,2008-04-01,Rudd at PKU,Third-party meeting,1,-0.3623483952072347,0.3876360832684696
GDELT,Australia,2008-04-01,Rudd at PKU,Third-party meeting,2,-0.3623483952072347,0.3981112816078213
GDELT,Australia,2008-04-01,Rudd at PKU,Third-party meeting,3,-0.3623483952072347,-0.05098091893794038
GDELT,Australia,2008-04-01,Rudd at PKU,Third-party meeting,6,-0.3623483952072347,0.7435585867983864
GDELT,Australia,2008-04-01,Rudd at PKU,Third-party meeting,12,-0.3623483952072347,1.257967782983564
GDELT,Australia,2009-11-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,0,0.20369523360029074,0.5656856437562793
GDELT,Australia,2009-11-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,1,0.20369523360029074,-0.5824502188841096
GDELT,Australia,2009-11-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,2,0.20369523360029074,-0.6594914206370097
GDELT,Australia,2009-11-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,3,0.20369523360029074,-0.19359466830295619
GDELT,Australia,2009-11-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,6,0.20369523360029074,-0.5540874195982113
GDELT,Australia,2009-11-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,12,0.20369523360029074,0.016755128300897537
GDELT,Australia,2011-04-01,Official visit to China,Partner inbound visit,0,0.25645311247739827,1.0057847382412246
GDELT,Australia,2011-04-01,Official visit to China,Partner inbound visit,1,0.25645311247739827,-0.27213248657984895
GDELT,Australia,2011-04-01,Official visit to China,Partner inbound visit,2,0.25645311247739827,0.4033675269817398
GDELT,Australia,2011-04-01,Official visit to China,Partner inbound visit,3,0.25645311247739827,0.3437143090764508
GDELT,Australia,2011-04-01,Official visit to China,Partner inbound visit,6,0.25645311247739827,-0.5100299474926886
GDELT,Australia,2011-04-01,Official visit to China,Partner inbound visit,12,0.25645311247739827,-0.8344096333388922
GDELT,Australia,2012-09-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,0,-0.044854033270553824,-0.2851121214170066
GDELT,Australia,2012-09-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,1,-0.044854033270553824,0.5533200465772814
GDELT,Australia,2012-09-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,2,-0.044854033270553824,0.41097958965611253
GDELT,Australia,2012-09-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,3,-0.044854033270553824,0.5393703123013993
GDELT,Australia,2012-09-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,6,-0.044854033270553824,0.3202524265294686
GDELT,Australia,2012-09-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,12,-0.044854033270553824,1.011725847076155
GDELT,Australia,2013-04-01,Official visit to China,Partner inbound visit,0,-0.03590003791597119,1.6040620110899637
GDELT,Australia,2013-04-01,Official visit to China,Partner inbound visit,1,-0.03590003791597119,0.66332535994086
GDELT,Australia,2013-04-01,Official visit to China,Partner inbound visit,2,-0.03590003791597119,0.6354974580399524
GDELT,Australia,2013-04-01,Official visit to China,Partner inbound visit,3,-0.03590003791597119,0.5967754527263782
GDELT,Australia,2013-04-01,Official visit to China,Partner inbound visit,6,-0.03590003791597119,0.5660381274801716
GDELT,Australia,2013-04-01,Official visit to China,Partner inbound visit,12,-0.03590003791597119,0.41554952421614916
GDELT,Australia,2013-10-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,0,0.731840288954104,-0.20170219938990364
GDELT,Australia,2013-10-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,1,0.731840288954104,-0.613301019180619
GDELT,Australia,2013-10-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,2,0.731840288954104,0.19101093474904396
GDELT,Australia,2013-10-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,3,0.731840288954104,0.37478419735286916
GDELT,Australia,2013-10-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,6,0.731840288954104,-0.35219080265392605
GDELT,Australia,2013-10-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,12,0.731840288954104,-0.4501065347768315
GDELT,Australia,2014-11-01,State visit to Australia,Chinese outbound visit,0,0.08736710946776888,0.8460834969599131
GDELT,Australia,2014-11-01,State visit to Australia,Chinese outbound visit,1,0.08736710946776888,-0.2530019385501213
GDELT,Australia,2014-11-01,State visit to Australia,Chinese outbound visit,2,0.08736710946776888,0.008412905187985417
GDELT,Australia,2014-11-01,State visit to Australia,Chinese outbound visit,3,0.08736710946776888,0.7743883822594206
GDELT,Australia,2014-11-01,State visit to Australia,Chinese outbound visit,6,0.08736710946776888,0.3814481973974588
GDELT,Australia,2014-11-01,State visit to Australia,Chinese outbound visit,12,0.08736710946776888,0.5038818817511437
GDELT,Australia,2016-04-01,Official visit to China,Partner inbound visit,0,-0.09037279367449752,0.03286150483942038
GDELT,Australia,2016-04-01,Official visit to China,Partner inbound visit,1,-0.09037279367449752,0.5482693495443873
GDELT,Australia,2016-04-01,Official visit to China,Partner inbound visit,2,-0.09037279367449752,-0.10082755836702056
GDELT,Australia,2016-04-01,Official visit to China,Partner inbound visit,3,-0.09037279367449752,-0.11324600689248773
GDELT,Australia,2016-04-01,Official visit to China,Partner inbound visit,6,-0.09037279367449752,-1.1237081084132903
GDELT,Australia,2016-04-01,Official visit to China,Partner inbound visit,12,-0.09037279367449752,-0.13300689208616265
GDELT,Australia,2017-03-01,Official visit to Australia,Chinese outbound visit,0,0.27859877825794255,0.026667752536355838
GDELT,Australia,2017-03-01,Official visit to Australia,Chinese outbound visit,1,0.27859877825794255,-0.5019784640186027
GDELT,Australia,2017-03-01,Official visit to Australia,Chinese outbound visit,2,0.27859877825794255,-0.22697308905261843
GDELT,Australia,2017-03-01,Official visit to Australia,Chinese outbound visit,3,0.27859877825794255,-1.065478430276325
GDELT,Australia,2017-03-01,Official visit to Australia,Chinese outbound visit,6,0.27859877825794255,0.12937139708248535
GDELT,Australia,2017-03-01,Official visit to Australia,Chinese outbound visit,12,0.27859877825794255,-0.5771883419191762
GDELT,Australia,2018-11-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,0,-0.49906312219273447,0.36948150694915977
GDELT,Australia,2018-11-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,1,-0.49906312219273447,0.08364652497608349
GDELT,Australia,2018-11-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,2,-0.49906312219273447,-0.16000827590380634
GDELT,Australia,2018-11-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,3,-0.49906312219273447,-0.4835434893179759
GDELT,Australia,2018-11-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,6,-0.49906312219273447,-0.01676907168288505
GDELT,Australia,2018-11-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,12,-0.49906312219273447,-0.01165072564153119
GDELT,Australia,2022-11-01,Bilateral meeting on sidelines of G20 summit,Third-party meeting,0,-0.5344709965137573,0.6624259873911825
GDELT,Australia,2022-11-01,Bilateral meeting on sidelines of G20 summit,Third-party meeting,1,-0.5344709965137573,0.18616018767941672
GDELT,Australia,2022-11-01,Bilateral meeting on sidelines of G20 summit,Third-party meeting,2,-0.5344709965137573,0.3418234463886799
GDELT,Australia,2022-11-01,Bilateral meeting on sidelines of G20 summit,Third-party meeting,3,-0.5344709965137573,0.31426086765352546
GDELT,Australia,2022-11-01,Bilateral meeting on sidelines of G20 summit,Third-party meeting,6,-0.5344709965137573,0.07224093461255121
