db,version,country,event_name,category,post_month,shock
GDELT,v3,Australia,China-Australia LNG supply agreement signed,Economic win-win cooperation,0,-1.1161575853896322
GDELT,v3,Australia,China-Australia LNG supply agreement signed,Economic win-win cooperation,1,-0.7417962446474803
GDELT,v3,Australia,China-Australia LNG supply agreement signed,Economic win-win cooperation,3,-0.9976153399653899
GDELT,v3,Australia,China-Australia LNG supply agreement signed,Economic win-win cooperation,6,-2.7733196703246072
GDELT,v3,Australia,China-Australia LNG supply agreement signed,Economic win-win cooperation,12,-0.39454186168293126
GDELT,v3,Australia,Australia-China Trade and Economic Framework signed,Economic win-win cooperation,0,-0.26614186398156914
GDELT,v3,Australia,Australia-China Trade and Economic Framework signed,Economic win-win cooperation,1,-1.4717483902311628
GDELT,v3,Australia,Australia-China Trade and Economic Framework signed,Economic win-win cooperation,3,0.410365436745346
GDELT,v3,Australia,Australia-China Trade and Economic Framework signed,Economic win-win cooperation,6,0.20009899385676055
GDELT,v3,Australia,Australia-China Trade and Economic Framework signed,Economic win-win cooperation,12,-2.892066498548627
GDELT,v3,Australia,Australia-China Air Services Agreement signed,Economic win-win cooperation,0,0.7760728319282191
GDELT,v3,Australia,Australia-China Air Services Agreement signed,Economic win-win cooperation,1,0.5221500671634614
GDELT,v3,Australia,Australia-China Air Services Agreement signed,Economic win-win cooperation,3,1.1555332462689558
GDELT,v3,Australia,Australia-China Air Services Agreement signed,Economic win-win cooperation,6,-1.3321954855323304
GDELT,v3,Australia,Australia-China Air Services Agreement signed,Economic win-win cooperation,12,-0.32899546810599556
GDELT,v3,Australia,FTA Talks Begin,Economic win-win cooperation,0,-0.6403813650099882
GDELT,v3,Australia,FTA Talks Begin,Economic win-win cooperation,1,-2.3226005558002782
GDELT,v3,Australia,FTA Talks Begin,Economic win-win cooperation,3,1.1834435047402154
GDELT,v3,Australia,FTA Talks Begin,Economic win-win cooperation,6,-0.1876743416838289
GDELT,v3,Australia,FTA Talks Begin,Economic win-win cooperation,12,0.20104675391914872
GDELT,v3,Australia,Australia-China nuclear cooperation agreements signed,Economic win-win cooperation,0,-1.6821034887915713
GDELT,v3,Australia,Australia-China nuclear cooperation agreements signed,Economic win-win cooperation,1,0.30699026449861355
GDELT,v3,Australia,Australia-China nuclear cooperation agreements signed,Economic win-win cooperation,3,0.7339330740424241
GDELT,v3,Australia,Australia-China nuclear cooperation agreements signed,Economic win-win cooperation,6,0.999983864965805
GDELT,v3,Australia,Australia-China nuclear cooperation agreements signed,Economic win-win cooperation,12,-0.7544450486789969
GDELT,v3,Australia,Australia-China Joint Coordination Group on Clean Coal Technology launched,Economic win-win cooperation,0,-2.980464723165176
GDELT,v3,Australia,Australia-China Joint Coordination Group on Clean Coal Technology launched,Economic win-win cooperation,1,-1.0184006654494606
GDELT,v3,Australia,Australia-China Joint Coordination Group on Clean Coal Technology launched,Economic win-win cooperation,3,-1.7668295550293718
GDELT,v3,Australia,Australia-China Joint Coordination Group on Clean Coal Technology launched,Economic win-win cooperation,6,-3.364140407402086
GDELT,v3,Australia,Australia-China Joint Coordination Group on Clean Coal Technology launched,Economic win-win cooperation,12,-2.533659222383117
GDELT,v3,Australia,Rio Tinto executive Stern Hu detained in Shanghai,Detention / judicial dispute,0,-1.9050524901506227
GDELT,v3,Australia,Rio Tinto executive Stern Hu detained in Shanghai,Detention / judicial dispute,1,-0.5147149527484917
GDELT,v3,Australia,Rio Tinto executive Stern Hu detained in Shanghai,Detention / judicial dispute,3,-0.29104604069332385
GDELT,v3,Australia,Rio Tinto executive Stern Hu detained in Shanghai,Detention / judicial dispute,6,-0.9676332621492468
GDELT,v3,Australia,Rio Tinto executive Stern Hu detained in Shanghai,Detention / judicial dispute,12,-1.371748130961258
