category,post_month,mean_shock,sd_shock,n_countries,se,ci_l,ci_u,significant
Cultural / people-to-people cooperation,0,-0.0638442208312058,0.8219274034633176,12,0.2372700038219383,-0.5288934283222049,0.4012049866597932,
Cultural / people-to-people cooperation,1,-0.19947951063694164,1.048089894505806,12,0.3025574913639268,-0.792492193710238,0.39353317243635483,
Cultural / people-to-people cooperation,3,0.11257524409140332,1.236005908034643,12,0.3568041718618845,-0.5867609327578903,0.8119114209406969,
Cultural / people-to-people cooperation,6,-0.27343265940421274,0.5994129969094345,12,0.17303562756071117,-0.6125824894232066,0.06571717061478116,
Cultural / people-to-people cooperation,12,-0.17737189762845393,1.0399386399121344,10,0.3288574728940031,-0.8219325445007,0.46718874924379206,
Detention / judicial dispute,0,-1.1964344314231448,1.226794856397495,5,0.5486393386703783,-2.2717675352170863,-0.12110132762920345,*
Detention / judicial dispute,1,-0.927142014462786,1.3669298117071536,5,0.6113095958896366,-2.125308822406474,0.2710247934809018,
Detention / judicial dispute,3,-0.328277923090124,1.3141706755254214,5,0.5877149929023323,-1.4801993091786954,0.8236434629984473,
Detention / judicial dispute,6,-0.7018333327791988,1.1142447409799985,5,0.49830539688058445,-1.6785119106651443,0.2748452451067467,
Detention / judicial dispute,12,-0.6101878929896841,1.5095106730329069,5,0.6750736955326077,-1.9333323362335952,0.7129565502542269,
Diplomatic protest / friction,0,-0.7887736409300194,0.9702312379091026,8,0.34302854382227244,-1.4611095868216735,-0.11643769503836554,*
Diplomatic protest / friction,1,-0.18584106292238795,1.0053862914137215,8,0.3554577321853184,-0.882538218005612,0.510856092160836,
Diplomatic protest / friction,3,-0.26362237793000387,0.989471495226745,8,0.349831002032812,-0.9492911419143153,0.42204638605430755,
Diplomatic protest / friction,6,-0.0024042024383954435,1.0022958792424328,8,0.3543651064838286,-0.6969598111466995,0.6921514062699086,
Diplomatic protest / friction,12,-0.0454477138692972,1.0230005376877422,8,0.3616853086782434,-0.7543509188786542,0.6634554911400597,
Economic sanction / tariff barrier,0,-0.19712617956309475,0.7909389313474073,9,0.2636463104491358,-0.7138729480434008,0.31962058891721135,
Economic sanction / tariff barrier,1,-0.06913004021791913,0.7108203897418813,9,0.23694012991396043,-0.5335326948492816,0.3952726144134433,
Economic sanction / tariff barrier,3,-0.17240497131352012,0.9244773466131111,9,0.3081591155377037,-0.7763968377674193,0.4315868951403791,
Economic sanction / tariff barrier,6,-0.045719403315663,0.877465928632726,9,0.2924886428775753,-0.6189971433557107,0.5275583367243846,
