db,valence,post_month,mean_shock,n
GDELT,negative,0,-0.457701009775899,110
GDELT,negative,1,-0.22279136784571327,109
GDELT,negative,3,-0.1471589404549487,108
GDELT,negative,6,-0.007827519009280448,108
GDELT,positive,0,0.25493361404328424,168
GDELT,positive,1,0.09773796447622363,167
GDELT,positive,3,-0.01321182870886754,166
GDELT,positive,6,-0.1550231779876541,165
ICEWS,negative,0,-0.4732210642614297,110
ICEWS,negative,1,-0.2755055975621658,109
ICEWS,negative,3,-0.13412459000744828,108
ICEWS,negative,6,-0.0640290511501668,108
ICEWS,positive,0,0.15719256793616848,168
ICEWS,positive,1,0.024074664883625543,167
ICEWS,positive,3,0.029171979252987017,166
ICEWS,positive,6,-0.036917086903917234,165
