country,avg_shock,db,node,valence,node_date
Australia,0.5912102499874821,GDELT,Financial Crisis Cooperation,positive,2008-09-01
Belgium,-0.8091858979889552,GDELT,Financial Crisis Cooperation,positive,2008-09-01
Brazil,0.1972277317379104,GDELT,Financial Crisis Cooperation,positive,2008-09-01
Canada,1.659360495129728,GDELT,Financial Crisis Cooperation,positive,2008-09-01
France,-0.8974164776844403,GDELT,Financial Crisis Cooperation,positive,2008-09-01
Germany,-0.8833008395962691,GDELT,Financial Crisis Cooperation,positive,2008-09-01
India,-0.01335054761533122,GDELT,Financial Crisis Cooperation,positive,2008-09-01
Indonesia,-0.3489026987579282,GDELT,Financial Crisis Cooperation,positive,2008-09-01
Iran,-0.6436831210642088,GDELT,Financial Crisis Cooperation,positive,2008-09-01
Italy,-0.15672829405521962,GDELT,Financial Crisis Cooperation,positive,2008-09-01
Japan,0.022711947844245857,GDELT,Financial Crisis Cooperation,positive,2008-09-01
Malaysia,-0.6282935689161784,GDELT,Financial Crisis Cooperation,positive,2008-09-01
Mexico,1.1776807620541527,GDELT,Financial Crisis Cooperation,positive,2008-09-01
Netherlands,-0.270050056023947,GDELT,Financial Crisis Cooperation,positive,2008-09-01
Philippines,-0.08829671084408991,GDELT,Financial Crisis Cooperation,positive,2008-09-01
Russia,0.2132159585290938,GDELT,Financial Crisis Cooperation,positive,2008-09-01
Saudi Arabia,-0.9415912346450335,GDELT,Financial Crisis Cooperation,positive,2008-09-01
Singapore,0.5694011498083207,GDELT,Financial Crisis Cooperation,positive,2008-09-01
South Korea,-0.8163695483687194,GDELT,Financial Crisis Cooperation,positive,2008-09-01
Spain,0.5179976874104057,GDELT,Financial Crisis Cooperation,positive,2008-09-01
Thailand,0.05294888130298248,GDELT,Financial Crisis Cooperation,positive,2008-09-01
United Arab Emirates,-0.603170692491387,GDELT,Financial Crisis Cooperation,positive,2008-09-01
United Kingdom,1.4366289018456622,GDELT,Financial Crisis Cooperation,positive,2008-09-01
