Partner,Index_Type,YearMonth,Index_Value
Australia,Aggregated,2002-01,3.2456848969523016
Australia,Aggregated,2002-02,3.2282757165081666
Australia,Aggregated,2002-03,0.08586203375244317
Australia,Aggregated,2002-04,2.448808672585635
Australia,Aggregated,2002-05,1.3732675392663243
Australia,Aggregated,2002-06,2.626519948422347
Australia,Aggregated,2002-07,1.701041732089946
Australia,Aggregated,2002-08,2.7593652176453904
Australia,Aggregated,2002-09,2.4050582870880515
Australia,Aggregated,2002-10,2.3246331870606856
Australia,Aggregated,2002-11,2.012527772311971
Australia,Aggregated,2002-12,2.2062564149430823
Australia,Aggregated,2003-01,-0.8883930114734238
Australia,Aggregated,2003-02,0.9479767229634692
Australia,Aggregated,2003-03,0.7023597367556551
Australia,Aggregated,2003-04,1.078239233013612
Australia,Aggregated,2003-05,2.777389093002361
Australia,Aggregated,2003-06,2.0799999999999983
Australia,Aggregated,2003-07,0.44957748395964003
Australia,Aggregated,2003-08,2.4592854993287006
Australia,Aggregated,2003-09,2.071639455663915
Australia,Aggregated,2003-10,2.6143153024821526
Australia,Aggregated,2003-11,2.0806342616139766
Australia,Aggregated,2003-12,2.67120678738112
Australia,Aggregated,2004-01,2.843755042273143
Australia,Aggregated,2004-02,1.4530113860946
Australia,Aggregated,2004-03,2.7760089805941526
Australia,Aggregated,2004-04,2.00772720798847
Australia,Aggregated,2004-05,-0.41382583142357277
Australia,Aggregated,2004-06,1.3117992634326257
Australia,Aggregated,2004-07,2.4641538653520314
Australia,Aggregated,2004-08,2.481508084507416
Australia,Aggregated,2004-09,0.8499999999999996
Australia,Aggregated,2004-10,2.3597470087544377
Australia,Aggregated,2004-11,3.2799964254176572
Australia,Aggregated,2004-12,0.45390182696017156
Australia,Aggregated,2005-01,1.0
Australia,Aggregated,2005-02,2.8608765187557292
Australia,Aggregated,2005-03,1.6802431041321313
Australia,Aggregated,2005-04,2.3881881679267654
Australia,Aggregated,2005-05,2.5364469891180015
Australia,Aggregated,2005-06,-0.027781512590541624
Australia,Aggregated,2005-07,0.24952994623328983
Australia,Aggregated,2005-08,2.9093563135595595
Australia,Aggregated,2005-09,2.4232105470329213
Australia,Aggregated,2005-10,1.5675884126818165
Australia,Aggregated,2005-11,-1.069698303154718
Australia,Aggregated,2005-12,3.6817541593706196
Australia,Aggregated,2006-01,3.9083013242316795
Australia,Aggregated,2006-02,0.5484827149524474
Australia,Aggregated,2006-03,1.7811081181346822
Australia,Aggregated,2006-04,2.956645757091902
Australia,Aggregated,2006-05,1.4412351275062694
Australia,Aggregated,2006-06,2.042284418401481
Australia,Aggregated,2006-07,1.9219578231751928
Australia,Aggregated,2006-08,1.1779165140494126
Australia,Aggregated,2006-09,2.1627063505941244
Australia,Aggregated,2006-10,2.5941740270657316
Australia,Aggregated,2006-11,4.09819467129299
Australia,Aggregated,2006-12,1.9321029468597306
Australia,Aggregated,2007-01,2.6338453467171625
Australia,Aggregated,2007-02,0.7150859341149438
Australia,Aggregated,2007-03,2.3145964235357983
Australia,Aggregated,2007-04,1.7533514868076985
Australia,Aggregated,2007-05,1.846303320661578
Australia,Aggregated,2007-06,1.644692299614098
Australia,Aggregated,2007-07,1.8102889302954974
Australia,Aggregated,2007-08,2.3097731531826433
Australia,Aggregated,2007-09,2.4434819329659483
Australia,Aggregated,2007-10,1.6762478022624556
Australia,Aggregated,2007-11,2.078949417308353
Australia,Aggregated,2007-12,1.2359078944766608
Australia,Aggregated,2008-01,1.6608878993120335
Australia,Aggregated,2008-02,2.569325571187818
Australia,Aggregated,2008-03,-0.3260554419166226
Australia,Aggregated,2008-04,1.7709727639131554
Australia,Aggregated,2008-05,1.0123327291345685
Australia,Aggregated,2008-06,0.6988764441030213
Australia,Aggregated,2008-07,0.2310916042537574
Australia,Aggregated,2008-08,1.4270396337913915
Australia,Aggregated,2008-09,1.853815931292262
Australia,Aggregated,2008-10,1.3103065157913196
Australia,Aggregated,2008-11,0.9970915856468778
Australia,Aggregated,2008-12,1.1440456278376754
Australia,Aggregated,2009-01,-0.35930474051198225
Australia,Aggregated,2009-02,1.354412526037148
Australia,Aggregated,2009-03,0.8519222592288536
Australia,Aggregated,2009-04,0.8263953145141016
Australia,Aggregated,2009-05,-0.07903861572109072
Australia,Aggregated,2009-06,0.5483943582091229
Australia,Aggregated,2009-07,-0.07286261137492644
Australia,Aggregated,2009-08,0.8599305100283292
Australia,Aggregated,2009-09,1.7334035543815691
Australia,Aggregated,2009-10,1.306173546192328
Australia,Aggregated,2009-11,1.2128094402909042
Australia,Aggregated,2009-12,0.19693213495292383
Australia,Aggregated,2010-01,2.6825127304594787
Australia,Aggregated,2010-02,2.1133788175227366
Australia,Aggregated,2010-03,-1.215812528575258
Australia,Aggregated,2010-04,-1.3963594951439458
Australia,Aggregated,2010-05,1.908472780611005
Australia,Aggregated,2010-06,2.2981670250740365
Australia,Aggregated,2010-07,0.4463227042405098
Australia,Aggregated,2010-08,0.2649769641361406
Australia,Aggregated,2010-09,2.1473677216154474
Australia,Aggregated,2010-10,2.498556525084588
Australia,Aggregated,2010-11,0.8449863225108274
Australia,Aggregated,2010-12,0.9525826665663875
Australia,Aggregated,2011-01,1.932048734935817
Australia,Aggregated,2011-02,0.2092222970985258
Australia,Aggregated,2011-03,0.320009377632255
Australia,Aggregated,2011-04,2.4857478885357516
Australia,Aggregated,2011-05,1.6046938028414335
Australia,Aggregated,2011-06,1.9905699289020795
Australia,Aggregated,2011-07,1.4201772933829027
Australia,Aggregated,2011-08,1.6665088141012898
Australia,Aggregated,2011-09,2.747114317029972
Australia,Aggregated,2011-10,2.9999999999999964
Australia,Aggregated,2011-11,0.08933787868708798
Australia,Aggregated,2011-12,0.17512490265673186
Australia,Aggregated,2012-01,2.1773610907385947
Australia,Aggregated,2012-02,0.24496064056644862
Australia,Aggregated,2012-03,-0.8185906743499665
Australia,Aggregated,2012-04,0.8268872579132527
Australia,Aggregated,2012-05,1.7595038401873246
Australia,Aggregated,2012-06,3.559059223793774
Australia,Aggregated,2012-07,0.9345541155601751
Australia,Aggregated,2012-08,1.9550084869729876
Australia,Aggregated,2012-09,1.3843583007556681
Australia,Aggregated,2012-10,0.44950160873475653
Australia,Aggregated,2012-11,1.7044850242567637
Australia,Aggregated,2012-12,1.1895102137377442
Australia,Aggregated,2013-01,2.9999999999999964
Australia,Aggregated,2013-02,-1.170609934127615
Australia,Aggregated,2013-03,1.030728944038902
Australia,Aggregated,2013-04,2.3361607694827633
Australia,Aggregated,2013-05,-1.194550889650035
Australia,Aggregated,2013-06,0.4706999784442214
Australia,Aggregated,2013-07,1.2039572654782287
Australia,Aggregated,2013-08,2.506810181071687
Australia,Aggregated,2013-09,2.3172035341102397
Australia,Aggregated,2013-10,2.6519805398383216
Australia,Aggregated,2013-11,-0.809539501356376
Australia,Aggregated,2013-12,0.2850832094433535
Australia,Aggregated,2014-01,4.499999999999998
Australia,Aggregated,2014-02,-1.927594615602933
Australia,Aggregated,2014-03,1.7061519220987673
Australia,Aggregated,2014-04,2.030089013508439
Australia,Aggregated,2014-05,1.6768629278963036
Australia,Aggregated,2014-06,-1.1258917379233395
Australia,Aggregated,2014-07,0.7929871914357616
Australia,Aggregated,2014-08,-0.3491914885836387
Australia,Aggregated,2014-09,1.5170830527654573
Australia,Aggregated,2014-10,2.802591298549702
Australia,Aggregated,2014-11,2.528767963692035
Australia,Aggregated,2014-12,2.371767311416665
Australia,Aggregated,2015-01,4.288692728081907
Australia,Aggregated,2015-02,-0.1899873534115386
Australia,Aggregated,2015-03,0.845986647137364
Australia,Aggregated,2015-04,-0.7604545501876441
Australia,Aggregated,2015-05,1.2751125784055013
Australia,Aggregated,2015-06,2.998989936509073
Australia,Aggregated,2015-07,0.4421034409777249
Australia,Aggregated,2015-08,-0.3360015550915012
Australia,Aggregated,2015-09,2.227481659712394
Australia,Aggregated,2015-10,2.6639808931180777
Australia,Aggregated,2015-11,1.5453099328402757
Australia,Aggregated,2015-12,-0.425091874273706
Australia,Aggregated,2016-01,-1.274435146644045
Australia,Aggregated,2016-02,0.616893766042546
Australia,Aggregated,2016-03,-2.560619218479836
Australia,Aggregated,2016-04,2.7948715085259774
Australia,Aggregated,2016-05,0.6767966704140225
Australia,Aggregated,2016-06,-0.7413768620990506
Australia,Aggregated,2016-07,2.755189780310685
Australia,Aggregated,2016-08,-0.971768399767555
Australia,Aggregated,2016-09,1.9556339151982147
Australia,Aggregated,2016-10,0.7626688976495597
Australia,Aggregated,2016-11,-2.073256577847596
Australia,Aggregated,2016-12,3.8399999999999945
Australia,Aggregated,2017-01,2.9385898113063824
Australia,Aggregated,2017-02,2.475727968278022
Australia,Aggregated,2017-03,1.546435491866525
Australia,Aggregated,2017-04,1.706255234249383
Australia,Aggregated,2017-05,2.040429459147399
Australia,Aggregated,2017-06,0.3102887145349129
Australia,Aggregated,2017-07,1.159675532882547
Australia,Aggregated,2017-08,-0.6025909519102992
Australia,Aggregated,2017-09,1.9776805563089432
Australia,Aggregated,2017-10,0.9381373255348766
Australia,Aggregated,2017-11,0.952650069180148
Australia,Aggregated,2017-12,-1.0800307335960344
Australia,Aggregated,2018-01,-1.4282603295456298
Australia,Aggregated,2018-02,1.4801055796298854
Australia,Aggregated,2018-03,-0.9418012770082331
Australia,Aggregated,2018-04,-0.40166615052705623
Australia,Aggregated,2018-05,0.08749391195450862
Australia,Aggregated,2018-06,-0.9678082724854349
Australia,Aggregated,2018-07,0.19696811637336786
Australia,Aggregated,2018-08,1.0726290440186865
Australia,Aggregated,2018-09,2.0820418619752523
Australia,Aggregated,2018-10,-0.7126633651445466
Australia,Aggregated,2018-11,1.0795081951729468
Australia,Aggregated,2018-12,0.625393986202889
Australia,Aggregated,2019-01,-1.7491136975470312
Australia,Aggregated,2019-02,-0.807852015237442
