Country,YearMonth,Score
Australia,1950-01,-3.0
Australia,1950-02,-3.0
Australia,1950-03,-3.0
Australia,1950-04,-3.0
Australia,1950-05,-3.0
Australia,1950-06,-3.0
Australia,1950-07,-3.0
Australia,1950-08,-3.0
Australia,1950-09,-3.2
Australia,1950-10,-3.2
Australia,1950-11,-3.2
Australia,1950-12,-3.2
Australia,1951-01,-3.2
Australia,1951-02,-3.2
Australia,1951-03,-3.2
Australia,1951-04,-3.2
Australia,1951-05,-3.2
Australia,1951-06,-3.2
Australia,1951-07,-3.2
Australia,1951-08,-3.3
Australia,1951-09,-3.3
Australia,1951-10,-3.3
Australia,1951-11,-3.3
Australia,1951-12,-3.3
Australia,1952-01,-3.3
Australia,1952-02,-3.3
Australia,1952-03,-3.3
Australia,1952-04,-3.3
Australia,1952-05,-3.3
Australia,1952-06,-3.3
Australia,1952-07,-3.3
Australia,1952-08,-3.3
Australia,1952-09,-3.3
Australia,1952-10,-3.3
Australia,1952-11,-3.3
Australia,1952-12,-3.3
Australia,1953-01,-3.3
Australia,1953-02,-3.3
Australia,1953-03,-3.3
Australia,1953-04,-3.3
Australia,1953-05,-3.3
Australia,1953-06,-3.3
Australia,1953-07,-3.3
Australia,1953-08,-3.3
Australia,1953-09,-3.3
Australia,1953-10,-3.3
Australia,1953-11,-3.3
Australia,1953-12,-3.3
Australia,1954-01,-3.3
Australia,1954-02,-3.3
Australia,1954-03,-3.3
Australia,1954-04,-3.3
Australia,1954-05,-3.3
Australia,1954-06,-3.2
Australia,1954-07,-3.2
Australia,1954-08,-3.2
Australia,1954-09,-3.4
Australia,1954-10,-3.4
Australia,1954-11,-3.4
Australia,1954-12,-3.4
Australia,1955-01,-3.4
Australia,1955-02,-3.4
Australia,1955-03,-3.4
Australia,1955-04,-3.4
Australia,1955-05,-3.4
Australia,1955-06,-3.4
Australia,1955-07,-3.4
Australia,1955-08,-3.4
Australia,1955-09,-3.4
Australia,1955-10,-3.4
Australia,1955-11,-3.4
Australia,1955-12,-3.4
Australia,1956-01,-3.4
Australia,1956-02,-3.4
