db,label,n,cum,h0,h0p
GDELT,GD_AR-Total,6535,0.0721350172255771,0.0103343421580004,0.0263563542396397
GDELT,GD_c-Export,6535,0.0501262390093195,0.00991823368003983,0.027199586253351
GDELT,GD_p-Import,6535,0.108420683923924,0.0138843259564469,0.0449423671365647
ICEWS,IW_AR-Total,6533,0.000158777063536271,0.00204968087370025,0.715640179390632
ICEWS,IW_c-Export,6525,0.0360039960147423,0.00925757998138054,0.153770313380074
ICEWS,IW_p-Import,6531,-0.022994188578633,-0.00633436136796549,0.411828631650428
Phoenix,PH_AR-Total,4842,-0.00233987433505446,-0.00225106320170333,0.436957398892173
Phoenix,PH_c-Export,4840,-0.0234146799943283,-0.00263483337543983,0.412088944922017
Phoenix,PH_p-Import,4798,0.0386366486923129,-3.28516972040695e-05,0.994818979160932
Tsinghua,TS_AR-Total,3000,-0.0160052437734481,-0.00270845494912895,0.390662164385699
