h,Est,SE,pv
-3,0.013191200568724,0.00596137235564396,0.0269128740937236
-2,0.0140210419316984,0.00616550553781479,0.0229593333043988
-1,0.0118936478040377,0.00581554108840735,0.0408401747262887
0,0.0127358176427652,0.0057290399290537,0.0262138947041412
1,0.0124041406521645,0.00522807377898414,0.0176632639187153
2,0.0111379263805306,0.005033268081976,0.026907178957818
3,0.00969076095314975,0.00554988835092368,0.0807904181594304
4,0.0115732152151034,0.0056801490212096,0.041601520237652
5,0.0124684812690678,0.00550066152191903,0.0234070937773797
6,0.0123240772918492,0.00536426904724614,0.0215937776248059
