ISO,YearMonth,Country,month,Trade_Exports,Trade_Imports,Trade_Total,ln_GDP,ln_GDP_product,ln_ER,FTA_Dummy,Event_Positive,Event_Negative,Event_Neutral,Event_Count,V_RemoteTalk,V_China_Outbound,V_Partner_Inbound,V_ThirdParty,Cat_主权纠纷,Cat_人员扣押/司法争议,Cat_人文交流合作,Cat_军事安全合作,Cat_外交抗议/摩擦,Cat_多边/第三方会晤,Cat_安全威胁,Cat_战略伙伴关系提升,Cat_战略定位负面,Cat_政策转向/国内政治,Cat_疫情/危机援助,Cat_疫情/灾害冲击,Cat_科技管制/出口限制,Cat_经贸互利合作,Cat_经贸制裁/关税壁垒,Cat_远程通话/视频会晤,Cat_高层互访,Delta_GDELT,Delta_ICEWS,Delta_Phoenix,Delta_Tsinghua,Event_Positive_L1,Event_Positive_L3,Event_Positive_L6,Event_Positive_L12,Event_Negative_L1,Event_Negative_L3,Event_Negative_L6,Event_Negative_L12,Event_Neutral_L1,Event_Neutral_L3,Event_Neutral_L6,Event_Neutral_L12,V_RemoteTalk_L1,V_RemoteTalk_L3,V_RemoteTalk_L6,V_RemoteTalk_L12,V_China_Outbound_L1,V_China_Outbound_L3,V_China_Outbound_L6,V_China_Outbound_L12,V_Partner_Inbound_L1,V_Partner_Inbound_L3,V_Partner_Inbound_L6,V_Partner_Inbound_L12,V_ThirdParty_L1,V_ThirdParty_L3,V_ThirdParty_L6,V_ThirdParty_L12,Cat_主权纠纷_L1,Cat_主权纠纷_L3,Cat_主权纠纷_L6,Cat_主权纠纷_L12,Cat_人员扣押/司法争议_L1,Cat_人员扣押/司法争议_L3,Cat_人员扣押/司法争议_L6,Cat_人员扣押/司法争议_L12,Cat_人文交流合作_L1,Cat_人文交流合作_L3,Cat_人文交流合作_L6,Cat_人文交流合作_L12,Cat_军事安全合作_L1,Cat_军事安全合作_L3,Cat_军事安全合作_L6,Cat_军事安全合作_L12,Cat_外交抗议/摩擦_L1,Cat_外交抗议/摩擦_L3,Cat_外交抗议/摩擦_L6,Cat_外交抗议/摩擦_L12,Cat_多边/第三方会晤_L1,Cat_多边/第三方会晤_L3,Cat_多边/第三方会晤_L6,Cat_多边/第三方会晤_L12,Cat_安全威胁_L1,Cat_安全威胁_L3,Cat_安全威胁_L6,Cat_安全威胁_L12,Cat_战略伙伴关系提升_L1,Cat_战略伙伴关系提升_L3,Cat_战略伙伴关系提升_L6,Cat_战略伙伴关系提升_L12,Cat_战略定位负面_L1,Cat_战略定位负面_L3,Cat_战略定位负面_L6,Cat_战略定位负面_L12,Cat_政策转向/国内政治_L1,Cat_政策转向/国内政治_L3,Cat_政策转向/国内政治_L6,Cat_政策转向/国内政治_L12,Cat_疫情/危机援助_L1,Cat_疫情/危机援助_L3,Cat_疫情/危机援助_L6,Cat_疫情/危机援助_L12,Cat_疫情/灾害冲击_L1,Cat_疫情/灾害冲击_L3,Cat_疫情/灾害冲击_L6,Cat_疫情/灾害冲击_L12,Cat_科技管制/出口限制_L1,Cat_科技管制/出口限制_L3,Cat_科技管制/出口限制_L6,Cat_科技管制/出口限制_L12,Cat_经贸互利合作_L1,Cat_经贸互利合作_L3,Cat_经贸互利合作_L6,Cat_经贸互利合作_L12,Cat_经贸制裁/关税壁垒_L1,Cat_经贸制裁/关税壁垒_L3,Cat_经贸制裁/关税壁垒_L6,Cat_经贸制裁/关税壁垒_L12,Cat_远程通话/视频会晤_L1,Cat_远程通话/视频会晤_L3,Cat_远程通话/视频会晤_L6,Cat_远程通话/视频会晤_L12,Cat_高层互访_L1,Cat_高层互访_L3,Cat_高层互访_L6,Cat_高层互访_L12
AE,2002-04-01,United Arab Emirates,2002-04-01,280.989,28.006,308.995,25.4546169475367,54.1691604027061,1.3008726290659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AE,2002-05-01,United Arab Emirates,2002-05-01,259.189,25.369,284.558,25.4610003722214,54.1991066691615,1.3008726290659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
AE,2002-06-01,United Arab Emirates,2002-06-01,279.542,40.16,319.702,25.4673433071221,54.2284699954734,1.3008726290659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
AE,2002-07-01,United Arab Emirates,2002-07-01,327.297,13.388,340.685,25.4799097396372,54.2635387839948,1.3008726290659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
AE,2002-08-01,United Arab Emirates,2002-08-01,291.813,50.056,341.869,25.4861342295453,54.3086455654975,1.3008726290659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
AE,2002-09-01,United Arab Emirates,2002-09-01,334.133,41.959,376.092,25.4923202147277,54.3522584232167,1.3008726290659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
AE,2002-10-01,United Arab Emirates,2002-10-01,327.559,74.65,402.209,25.5045785560499,54.4005932549345,1.3008726290659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
AE,2002-11-01,United Arab Emirates,2002-11-01,323.36,52.443,375.803,25.5106518332707,54.3570148793927,1.3008726290659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
AE,2002-12-01,United Arab Emirates,2002-12-01,384.819,42.366,427.185,25.5166884483427,54.3108051642195,1.3008726290659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
AE,2003-01-01,United Arab Emirates,2003-01-01,349.52,39.772,389.292,25.5382165672023,54.277206066723,1.3008726290659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
