event_category,event_category_en,n,n_positive,n_negative,n_neutral
高层互访,High-level visit,269,104,0,165
多边/第三方会晤,Multilateral / third-party meeting,151,8,0,143
经贸互利合作,Economic win-win cooperation,76,76,0,0
战略伙伴关系提升,Strategic partnership upgrade,47,47,0,0
主权纠纷,Sovereignty dispute,35,0,35,0
经贸制裁/关税壁垒,Economic sanction / tariff barrier,21,0,21,0
远程通话/视频会晤,Remote talk / virtual meeting,18,1,0,17
人文交流合作,Cultural / people-to-people cooperation,17,16,0,1
疫情/危机援助,Pandemic / crisis aid,14,14,0,0
外交抗议/摩擦,Diplomatic protest / friction,13,0,13,0
科技管制/出口限制,Tech control / export restriction,11,0,11,0
军事安全合作,Military / security cooperation,11,11,0,0
疫情/灾害冲击,Pandemic / disaster shock,8,0,8,0
人员扣押/司法争议,Detention / judicial dispute,6,0,6,0
政策转向/国内政治,Policy shift / domestic politics,6,0,6,0
安全威胁,Security threat,5,0,5,0
战略定位负面,Negative strategic positioning,5,0,5,0
