category,trade,estimate,se,z,pval,n,n_country,sig,trade_label,event_category_en,count
主权纠纷,Trade_Total,-0.0249887068973849,0.0247122828347593,-1.01118569516519,0.311927561029183,6685,25,"",总贸易,Sovereignty dispute,34
主权纠纷,Trade_Exports,-0.0243756477995266,0.0217829510148789,-1.11902412959919,0.263129845109487,6685,25,"",出口,Sovereignty dispute,34
主权纠纷,Trade_Imports,-0.0388686456592674,0.0394528336329635,-0.985192749926891,0.324529401182833,6685,25,"",进口,Sovereignty dispute,34
人文交流合作,Trade_Total,0.0501986175245747,0.0463078405694376,1.0840198313567,0.278356006030958,6685,25,"",总贸易,Cultural / people-to-people exchange,15
人文交流合作,Trade_Exports,0.148558143426496,0.0664621736076225,2.23522848204679,0.0254023525203598,6685,25,**,出口,Cultural / people-to-people exchange,15
人文交流合作,Trade_Imports,-0.10396969714945,0.0637993828556417,-1.62963484121315,0.103178696137061,6685,25,"",进口,Cultural / people-to-people exchange,15
军事安全合作,Trade_Total,-0.0346703744489161,0.0458802014361175,-0.755671800987847,0.449845995089989,6685,25,"",总贸易,Military-security cooperation,11
军事安全合作,Trade_Exports,-0.0372721286131867,0.032435289960832,-1.1491227196734,0.250505381230144,6685,25,"",出口,Military-security cooperation,11
军事安全合作,Trade_Imports,-0.0451304292250517,0.0696789043835027,-0.647691430058375,0.517184548240284,6685,25,"",进口,Military-security cooperation,11
安全威胁,Trade_Total,0.0858814703162554,0.0558361111606314,1.53809906404815,0.124024394823687,6685,25,"",总贸易,Security threat,5
安全威胁,Trade_Exports,-0.00120872180545623,0.029130025983528,-0.0414940174148736,0.966902062159694,6685,25,"",出口,Security threat,5
安全威胁,Trade_Imports,0.117369754236995,0.0868764167367829,1.35099672207477,0.176696482726032,6685,25,"",进口,Security threat,5
战略伙伴关系提升,Trade_Total,0.0669613695146591,0.0418902672565505,1.59849468385018,0.109932927593861,6685,25,"",总贸易,Strategic partnership upgrade,43
战略伙伴关系提升,Trade_Exports,0.0641964262681706,0.0483136346514277,1.32874346406214,0.183932620068995,6685,25,"",出口,Strategic partnership upgrade,43
战略伙伴关系提升,Trade_Imports,0.073358402374042,0.0461551339534758,1.58938770382482,0.111972888944489,6685,25,"",进口,Strategic partnership upgrade,43
战略定位负面,Trade_Total,-0.088651011067127,0.053965925512603,-1.64272196251733,0.100440472577616,6685,25,"",总贸易,Negative strategic positioning,4
战略定位负面,Trade_Exports,0.0191729154243389,0.0506909427384732,0.378231581196992,0.70525856663441,6685,25,"",出口,Negative strategic positioning,4
战略定位负面,Trade_Imports,-0.228345195222954,0.067321343391247,-3.39186926047947,0.000694175548395759,6685,25,***,进口,Negative strategic positioning,4
经贸互利合作,Trade_Total,-0.0568106625501811,0.0298477686618334,-1.90334705397343,0.0569952747950872,6685,25,*,总贸易,Economic win-win cooperation,73
经贸互利合作,Trade_Exports,-0.0564049693192687,0.0238985248106505,-2.36018623601953,0.0182657626179651,6685,25,**,出口,Economic win-win cooperation,73
经贸互利合作,Trade_Imports,-0.0449761533073991,0.0397349154734071,-1.131905095847,0.257674336071742,6685,25,"",进口,Economic win-win cooperation,73
