ISO,Country,trade,variable,estimate,se,pval,sig,trade_label,sensitivity
AE,United Arab Emirates,Trade_Total,Event_Positive,-0.0734308185271934,0.00944139955445366,7.39511255849038e-15,***,总贸易,0.0308523201984057
AE,United Arab Emirates,Trade_Total,Event_Negative,-0.0425784983287878,0.0393424112023889,0.279139494178106,"",总贸易,0.0308523201984057
AE,United Arab Emirates,Trade_Exports,Event_Positive,-0.0661348504813211,0.00699287254148146,3.1549765412184e-21,***,出口,0.0308523201984057
AE,United Arab Emirates,Trade_Exports,Event_Negative,0.0464061153164747,0.0318451676681219,0.145049595129215,"",出口,0.0308523201984057
AE,United Arab Emirates,Trade_Imports,Event_Positive,-0.0714647176985967,0.0161311469701658,9.41319214099684e-06,***,进口,0.0308523201984057
AE,United Arab Emirates,Trade_Imports,Event_Negative,-0.163128241149381,0.0409224116779063,6.71169569702769e-05,***,进口,0.0308523201984057
AU,Australia,Trade_Total,Event_Positive,-0.118612445851813,0.0135748369236088,2.37967353390714e-18,***,总贸易,0.260183058015225
AU,Australia,Trade_Total,Event_Negative,0.141570612163412,0.0383150251384419,0.000219963724253216,***,总贸易,0.260183058015225
AU,Australia,Trade_Exports,Event_Positive,-0.0251229854445955,0.0133237663501689,0.0593519988223151,*,出口,0.260183058015225
AU,Australia,Trade_Exports,Event_Negative,0.0820926209171218,0.0474488208923731,0.0836070798674733,*,出口,0.260183058015225
AU,Australia,Trade_Imports,Event_Positive,-0.176520892756454,0.0214245851134228,1.73403056052732e-16,***,进口,0.260183058015225
AU,Australia,Trade_Imports,Event_Negative,0.168716443202402,0.0369195214214568,4.88088040505169e-06,***,进口,0.260183058015225
BE,Belgium,Trade_Total,Event_Positive,0.0126471735484236,0.00908097923937871,0.163707405071738,"",总贸易,
BE,Belgium,Trade_Total,Event_Negative,,,,,总贸易,
BE,Belgium,Trade_Exports,Event_Positive,-0.00734869425718517,0.0114315792131645,0.52032691039206,"",出口,
BE,Belgium,Trade_Exports,Event_Negative,,,,,出口,
BE,Belgium,Trade_Imports,Event_Positive,0.0547856032643407,0.0150992915517305,0.000285231904668619,***,进口,
BE,Belgium,Trade_Imports,Event_Negative,,,,,进口,
BR,Brazil,Trade_Total,Event_Positive,-0.0156378292779576,0.00782552940087245,0.0456831226613541,**,总贸易,-0.0139497163632182
BR,Brazil,Trade_Total,Event_Negative,-0.0295875456411758,0.064047610985851,0.644108759601207,"",总贸易,-0.0139497163632182
BR,Brazil,Trade_Exports,Event_Positive,-0.0291456923894718,0.0100946791771438,0.003886461174761,***,出口,-0.0139497163632182
BR,Brazil,Trade_Exports,Event_Negative,0.0118885862319064,0.0737032592637738,0.871854446353236,"",出口,-0.0139497163632182
BR,Brazil,Trade_Imports,Event_Positive,0.0093223477710107,0.0117700014982599,0.428335580534094,"",进口,-0.0139497163632182
BR,Brazil,Trade_Imports,Event_Negative,-0.0625122514118391,0.070601223346137,0.375926207271161,"",进口,-0.0139497163632182
CA,Canada,Trade_Total,Event_Positive,-0.010998675830997,0.0185726601748228,0.553718599030584,"",总贸易,0.0811300085743007
CA,Canada,Trade_Total,Event_Negative,0.0701313327433037,0.0140686715392356,6.19844789854691e-07,***,总贸易,0.0811300085743007
CA,Canada,Trade_Exports,Event_Positive,0.083072240588246,0.0329295867125474,0.0116449940545999,**,出口,0.0811300085743007
CA,Canada,Trade_Exports,Event_Negative,0.040369227385114,0.015646356601603,0.00987705621092176,***,出口,0.0811300085743007
CA,Canada,Trade_Imports,Event_Positive,-0.144658499526793,0.0151825906695347,1.60467004347135e-21,***,进口,0.0811300085743007
CA,Canada,Trade_Imports,Event_Negative,0.115677582672254,0.0221465910147654,1.75792568170059e-07,***,进口,0.0811300085743007
DE,Germany,Trade_Total,Event_Positive,0.0113990312841365,0.00595058192900283,0.0554139629636567,*,总贸易,-0.059833250811441
DE,Germany,Trade_Total,Event_Negative,-0.0484342195273045,0.0321271186710357,0.131661911490006,"",总贸易,-0.059833250811441
DE,Germany,Trade_Exports,Event_Positive,0.00745717209781568,0.00660258076520281,0.258715250595614,"",出口,-0.059833250811441
DE,Germany,Trade_Exports,Event_Negative,-0.0224381370879351,0.0355585671878277,0.528027998695886,"",出口,-0.059833250811441
DE,Germany,Trade_Imports,Event_Positive,0.00972223438605576,0.0120549657998026,0.419959175538703,"",进口,-0.059833250811441
DE,Germany,Trade_Imports,Event_Negative,-0.060301072906748,0.0418521710548376,0.149638054727877,"",进口,-0.059833250811441
ES,Spain,Trade_Total,Event_Positive,0.0279529370316135,0.0155655978929876,0.072523915180246,*,总贸易,0.123460689222301
ES,Spain,Trade_Total,Event_Negative,0.151413626253915,0.0372075900179532,4.71286050854905e-05,***,总贸易,0.123460689222301
ES,Spain,Trade_Exports,Event_Positive,0.00646973715371872,0.0226363975245708,0.775022688384361,"",出口,0.123460689222301
ES,Spain,Trade_Exports,Event_Negative,0.201165246150346,0.0401682586109261,5.49799966574746e-07,***,出口,0.123460689222301
