db,trade,dose,estimate,se,pval,sig,trade_label
GDELT,Trade_Total,中强度,0.0205983166863423,0.0179748889324073,0.251816008784789,"",总贸易
GDELT,Trade_Total,高强度,-0.0135275241533519,0.0244695315609649,0.580378899663196,"",总贸易
GDELT,Trade_Exports,中强度,0.0199371992297115,0.0192881888926395,0.301300718064609,"",出口
GDELT,Trade_Exports,高强度,0.00334366458958048,0.0223338932491521,0.880991389362282,"",出口
GDELT,Trade_Imports,中强度,0.0198440790185289,0.031746339278863,0.531916956424175,"",进口
GDELT,Trade_Imports,高强度,-0.0371806394235979,0.0399306325354521,0.351785939127884,"",进口
ICEWS,Trade_Total,中强度,-0.0108877282060325,0.0174393056377209,0.532416664546936,"",总贸易
ICEWS,Trade_Total,高强度,-0.0423182415500404,0.0256571482287295,0.0990709712797594,*,总贸易
ICEWS,Trade_Exports,中强度,-0.0302932869865372,0.0195180183031855,0.120646010733511,"",出口
ICEWS,Trade_Exports,高强度,-0.0828208502722455,0.0279430339715588,0.0030374960757221,***,出口
ICEWS,Trade_Imports,中强度,0.0228376209694276,0.035502885821443,0.520054773676112,"",进口
ICEWS,Trade_Imports,高强度,0.0204769255029706,0.0396413440237963,0.605466993518517,"",进口
Phoenix,Trade_Total,中强度,0.00709862335737154,0.0134631039008912,0.598009582130841,"",总贸易
Phoenix,Trade_Total,高强度,0.00444864434876909,0.0252040672857224,0.859897206814958,"",总贸易
Phoenix,Trade_Exports,中强度,-0.00230368350921191,0.019714653911156,0.906977867707053,"",出口
Phoenix,Trade_Exports,高强度,-0.014983834104664,0.02049048887457,0.464621573516303,"",出口
Phoenix,Trade_Imports,中强度,0.00730784915470092,0.0280347946736796,0.794346473998058,"",进口
Phoenix,Trade_Imports,高强度,0.0218809150511241,0.0395403689089391,0.580002093433513,"",进口
Tsinghua,Trade_Total,中强度,-0.0713006032710314,0.0376945063593235,0.0585525205465413,*,总贸易
Tsinghua,Trade_Total,高强度,-0.0314181814120525,0.0286440100351901,0.272706984071351,"",总贸易
Tsinghua,Trade_Exports,中强度,-0.0895543767043682,0.0334487192840575,0.00742041041369513,***,出口
Tsinghua,Trade_Exports,高强度,-0.052906076182022,0.0393231657279036,0.178490439980714,"",出口
Tsinghua,Trade_Imports,中强度,-0.0653704781801787,0.0568219891848555,0.249961324357996,"",进口
Tsinghua,Trade_Imports,高强度,-0.0327682388953729,0.0333248251939196,0.32546072136005,"",进口
