variable,estimate,se,pval,test,sig
Event_Positive,-0.00520677133741213,0.0180785943123552,0.773340972825587,基准,""
Event_Negative,-0.014024579983777,0.0194562613597433,0.471016547028674,基准,""
Event_Neutral,0.00702094660525783,0.00490100008635473,0.151985374809246,基准,""
Event_Positive,-0.00520677133740933,0.0180785971486359,0.773341007412984,加入 ln_GDP,""
Event_Negative,-0.0140245799837775,0.0194562613781099,0.471016547447366,加入 ln_GDP,""
Event_Neutral,0.00702094660525764,0.00490100002926068,0.151985370036984,加入 ln_GDP,""
Event_Positive,0.00732982280909355,0.0134657311103463,0.586213313116079,排除美国,""
Event_Negative,0.0176379011771102,0.0177815276817931,0.321235228519911,排除美国,""
Event_Neutral,0.0106404256772726,0.00770060350968581,0.167043818343734,排除美国,""
Event_Positive,-0.00662273337167741,0.0193886535827453,0.732668656653757,排除疫情期,""
Event_Negative,-0.00682653643784007,0.0139105302660199,0.623606140253296,排除疫情期,""
Event_Neutral,0.00565597605425699,0.00594478459953953,0.341392142794796,排除疫情期,""
Event_Positive,-0.00520677133741213,0.0192734175763472,0.7870425588843,双向聚类,""
Event_Negative,-0.014024579983777,0.0224414202365354,0.53200930274619,双向聚类,""
Event_Neutral,0.00702094660525783,0.0102560483317925,0.493617543631805,双向聚类,""
Event_Positive,-73.4355421408103,188.76627894602,0.700684975844914,OLS 对比,""
Event_Negative,813.462710668389,711.03722292222,0.263885290888322,OLS 对比,""
Event_Neutral,295.67814748284,342.706662589529,0.396801984496887,OLS 对比,""
