test,trade,variable,estimate,se,pvalue,n,note,sig,trade_label
pre_trend_lead,Trade_Total,Cat_经贸互利合作_F1,-0.0521182650129319,0.0231838655603265,0.024573617746144,6610,系数为经贸互利合作h期前的领先项,**,总贸易
pre_trend_lead,Trade_Total,Cat_经贸互利合作_F2,-0.0593437294184821,0.0369367219898756,0.108135059698231,6610,系数为经贸互利合作h期前的领先项,"",总贸易
pre_trend_lead,Trade_Total,Cat_经贸互利合作_F3,-0.0657475112665718,0.0259317728188998,0.0112317823609026,6610,系数为经贸互利合作h期前的领先项,**,总贸易
pre_trend_joint_wald,Trade_Total,joint_leads,,,0.0203560070405257,6610,H0: 所有领先项系数同时为0,**,总贸易
pre_trend_lead,Trade_Exports,Cat_经贸互利合作_F1,-0.0563464957489443,0.0233566858943992,0.0158463455440189,6610,系数为经贸互利合作h期前的领先项,**,出口
pre_trend_lead,Trade_Exports,Cat_经贸互利合作_F2,-0.0768198937805671,0.0409759483776607,0.0608263368555817,6610,系数为经贸互利合作h期前的领先项,*,出口
pre_trend_lead,Trade_Exports,Cat_经贸互利合作_F3,-0.0880779659232463,0.0199583733691586,1.01908722650846e-05,6610,系数为经贸互利合作h期前的领先项,***,出口
pre_trend_joint_wald,Trade_Exports,joint_leads,,,5.61425192973152e-05,6610,H0: 所有领先项系数同时为0,***,出口
pre_trend_lead,Trade_Imports,Cat_经贸互利合作_F1,-0.0374853353275484,0.0348332197599189,0.281865749980391,6610,系数为经贸互利合作h期前的领先项,"",进口
pre_trend_lead,Trade_Imports,Cat_经贸互利合作_F2,-0.0278990222706377,0.0364009948398498,0.443417092529701,6610,系数为经贸互利合作h期前的领先项,"",进口
pre_trend_lead,Trade_Imports,Cat_经贸互利合作_F3,-0.0367732874312335,0.0379343966461811,0.332349815898909,6610,系数为经贸互利合作h期前的领先项,"",进口
pre_trend_joint_wald,Trade_Imports,joint_leads,,,0.710305128097761,6610,H0: 所有领先项系数同时为0,"",进口
interaction_state_visit,Trade_Total,Cat_经贸互利合作,-0.0564955382313351,0.0321154303983275,0.0785537323049415,6685,单独经贸互利合作效应,*,总贸易
interaction_state_visit,Trade_Total,Econ_x_StateVisit,-0.0131230486868398,0.0595765791854261,0.825659371979901,6685,经贸互利合作 × 国事访问交互效应,"",总贸易
interaction_state_visit,Trade_Exports,Cat_经贸互利合作,-0.0574572018056663,0.0255490682718241,0.0245191026866444,6685,单独经贸互利合作效应,**,出口
interaction_state_visit,Trade_Exports,Econ_x_StateVisit,0.00396697147005204,0.0320509392307899,0.901496725530522,6685,经贸互利合作 × 国事访问交互效应,"",出口
interaction_state_visit,Trade_Imports,Cat_经贸互利合作,-0.0412051417656629,0.0416172080838794,0.322125900517189,6685,单独经贸互利合作效应,"",进口
interaction_state_visit,Trade_Imports,Econ_x_StateVisit,-0.0512508059661,0.106593540991943,0.630654439548045,6685,经贸互利合作 × 国事访问交互效应,"",进口
interaction_fta,Trade_Total,Cat_经贸互利合作,-0.0826939222875613,0.037754770228286,0.0285031605428923,6685,非 FTA 国家经贸互利合作效应,**,总贸易
interaction_fta,Trade_Total,Econ_x_FTA,0.0883526276022869,0.0510935925897592,0.0837677483347648,6685,经贸互利合作 × FTA 交互效应,*,总贸易
interaction_fta,Trade_Exports,Cat_经贸互利合作,-0.0749773504289912,0.0266569338343782,0.00491309425010271,6685,非 FTA 国家经贸互利合作效应,***,出口
interaction_fta,Trade_Exports,Econ_x_FTA,0.0656233183619805,0.0351811588139561,0.0621397521074529,6685,经贸互利合作 × FTA 交互效应,*,出口
interaction_fta,Trade_Imports,Cat_经贸互利合作,-0.0736800283612738,0.0554981296800009,0.184306047696559,6685,非 FTA 国家经贸互利合作效应,"",进口
interaction_fta,Trade_Imports,Econ_x_FTA,0.0933739759607091,0.0789652724605757,0.237019713143744,6685,经贸互利合作 × FTA 交互效应,"",进口
subtype_split,,,,,,,事件库无标准化 subtype，跳过子类拆分。如需此检验，请在事件库中增加 subtype 列。,,
