test,trade,estimate,se,pvalue,n,note,sig,trade_label
基准 PPML,Trade_Total,-0.0568106625501811,0.0298477686618334,0.0569952747950871,6685,"ppml, cluster=~ISO",*,总贸易
排除美国,Trade_Total,-0.0193390245908176,0.0217793554099638,0.374566512383874,6399,"ppml, cluster=~ISO","",总贸易
排除伊朗,Trade_Total,-0.0570625889680637,0.0293470531010577,0.0518464992537017,6591,"ppml, cluster=~ISO",*,总贸易
排除疫情期,Trade_Total,-0.0371875043663399,0.0236233588635,0.115445007072434,5785,"ppml, cluster=~ISO","",总贸易
双向聚类,Trade_Total,-0.0568106625501811,0.0326740031787851,0.0820855357992523,6685,"ppml, cluster=~ISO + YearMonth",*,总贸易
加入汇率波动,Trade_Total,-0.0576241138455373,0.0299921293116458,0.0546929065602921,6660,"ppml, cluster=~ISO",*,总贸易
OLS log(1+Trade),Trade_Total,-0.0420944156112994,0.0299399929849651,0.172551446856463,6685,"ols_log, cluster=~ISO","",总贸易
基准 PPML,Trade_Exports,-0.0564049693192687,0.0238985248106505,0.0182657626179651,6685,"ppml, cluster=~ISO",**,出口
排除美国,Trade_Exports,-0.0183256084419782,0.01668368551935,0.27202336737953,6399,"ppml, cluster=~ISO","",出口
排除伊朗,Trade_Exports,-0.0561884186408319,0.0236255405344164,0.0173930773040684,6591,"ppml, cluster=~ISO",**,出口
排除疫情期,Trade_Exports,-0.0442643733743194,0.0204960937798207,0.0307998334152842,5785,"ppml, cluster=~ISO",**,出口
双向聚类,Trade_Exports,-0.0564049693192687,0.0288753182026956,0.0507725330298686,6685,"ppml, cluster=~ISO + YearMonth",*,出口
加入汇率波动,Trade_Exports,-0.0571481512886343,0.0239897097257099,0.0172098113600732,6660,"ppml, cluster=~ISO",**,出口
OLS log(1+Trade),Trade_Exports,-0.0340057866350111,0.018749879167739,0.0822554784380703,6685,"ols_log, cluster=~ISO",*,出口
基准 PPML,Trade_Imports,-0.0449761533073991,0.0397349154734071,0.257674336071743,6685,"ppml, cluster=~ISO","",进口
排除美国,Trade_Imports,-0.0140500254165189,0.0368734745590355,0.703178464333879,6399,"ppml, cluster=~ISO","",进口
排除伊朗,Trade_Imports,-0.0460953083844658,0.0391342888308524,0.238846362272967,6591,"ppml, cluster=~ISO","",进口
排除疫情期,Trade_Imports,-0.0265676039515847,0.0367012199075732,0.469133974473912,5785,"ppml, cluster=~ISO","",进口
双向聚类,Trade_Imports,-0.0449761533073991,0.0405868501563915,0.267798792477837,6685,"ppml, cluster=~ISO + YearMonth","",进口
加入汇率波动,Trade_Imports,-0.0458265381583603,0.0396133770355562,0.24733568253481,6660,"ppml, cluster=~ISO","",进口
OLS log(1+Trade),Trade_Imports,-0.0338100730497125,0.0518433819929712,0.52049691474052,6685,"ols_log, cluster=~ISO","",进口
leave_one_event_out_summary,Trade_Total,-0.056984241216829,0.00212269485000492,,30,"平均=-0.0570, min=-0.0642, max=-0.0530, 负号比例=1.00",,总贸易
leave_one_event_out_summary,Trade_Exports,-0.0565193502198016,0.00216123150995864,,30,"平均=-0.0565, min=-0.0624, max=-0.0507, 负号比例=1.00",,出口
leave_one_event_out_summary,Trade_Imports,-0.0450914158274472,0.00341880081142447,,30,"平均=-0.0451, min=-0.0575, max=-0.0397, 负号比例=1.00",,进口
