category,trade,trade_label,horizon,estimate,se,pvalue,ci_lower,ci_upper,n,sig
人文交流合作,Trade_Exports,出口,-3,0.083690687943134,0.0527879386811033,0.112872513452045,-0.0197736718718284,0.187155047758096,6610,""
人文交流合作,Trade_Exports,出口,-2,0.106104055636924,0.0611023691794271,0.0824760670373233,-0.0136565879547532,0.225864699228601,6635,*
人文交流合作,Trade_Exports,出口,-1,0.0703881236950362,0.0576700250990212,0.222263183510205,-0.0426451254990453,0.183421372889118,6660,""
人文交流合作,Trade_Exports,出口,0,0.149702994123451,0.066841185714289,0.02511158115567,0.0186942701234442,0.280711718123457,6685,**
人文交流合作,Trade_Exports,出口,1,0.0950722999111704,0.0706695594894957,0.17852589998719,-0.0434400366882411,0.233584636510582,6660,""
人文交流合作,Trade_Exports,出口,3,0.2175074817483,0.0673535424845943,0.00124076333537613,0.0854945384784953,0.349520425018105,6610,***
人文交流合作,Trade_Exports,出口,6,0.12100392710395,0.0732282814556456,0.0984488213708777,-0.0225235045491153,0.264531358757015,6535,*
人文交流合作,Trade_Exports,出口,12,0.182713778727154,0.0753674759905686,0.015337701196447,0.0349935257856401,0.330434031668669,6385,**
战略定位负面,Trade_Imports,进口,-3,-0.254419522806548,0.0713202352144129,0.000360700703520756,-0.394207183826797,-0.114631861786298,6610,***
战略定位负面,Trade_Imports,进口,-2,-0.179167163293758,0.0625437029106037,0.00417442040068762,-0.301752820998541,-0.0565815055889745,6635,***
战略定位负面,Trade_Imports,进口,-1,-0.197510111464074,0.0548659325032666,0.00031837883321888,-0.305047339170476,-0.0899728837576713,6660,***
战略定位负面,Trade_Imports,进口,0,-0.227607734576339,0.0661232423294902,0.000577058002818834,-0.357209289542139,-0.0980061796105377,6685,***
战略定位负面,Trade_Imports,进口,1,-0.116272685136314,0.0631759971496419,0.0657012205709754,-0.240097639549612,0.00755226927698392,6660,*
战略定位负面,Trade_Imports,进口,3,-0.179086977839233,0.0753828904082828,0.017515794717576,-0.326837443039467,-0.0313365126389985,6610,**
战略定位负面,Trade_Imports,进口,6,-0.168607175984946,0.0803558180249795,0.035882428684703,-0.326104579313906,-0.0111097726559865,6535,**
战略定位负面,Trade_Imports,进口,12,-0.109757134998381,0.0492599283508448,0.025872373942523,-0.206306594566036,-0.0132076754307248,6385,**
经贸互利合作,Trade_Total,总贸易,-3,-0.0674776935002655,0.0274840242249344,0.014082165842694,-0.121346380981137,-0.013609006019394,6610,**
经贸互利合作,Trade_Total,总贸易,-2,-0.0611261296322743,0.0351941431324923,0.0824177538981697,-0.130106650171959,0.00785439090741058,6635,*
经贸互利合作,Trade_Total,总贸易,-1,-0.087513760653362,0.040315720789566,0.0299530588201,-0.166532573400911,-0.00849494790581265,6660,**
经贸互利合作,Trade_Total,总贸易,0,-0.0651465171224811,0.0367757599028795,0.0764854609175904,-0.137227006532125,0.00693397228716283,6685,*
经贸互利合作,Trade_Total,总贸易,1,-0.0650840273606505,0.0364882895975641,0.0744730267580711,-0.136601074971876,0.00643302025057517,6660,*
经贸互利合作,Trade_Total,总贸易,3,-0.0110861683954042,0.0203913822107128,0.586669065314952,-0.0510532775284013,0.0288809407375929,6610,""
经贸互利合作,Trade_Total,总贸易,6,-0.0174617122754544,0.0182206014244852,0.337886329351105,-0.0531740910674455,0.0182506665165367,6535,""
经贸互利合作,Trade_Total,总贸易,12,-0.0390703784514082,0.0254864908320845,0.125279837917625,-0.0890239004822937,0.0108831435794774,6385,""
经贸互利合作,Trade_Exports,出口,-3,-0.0948005036678041,0.0234717739931943,5.36989834618462e-05,-0.140805180694465,-0.0487958266411433,6610,***
经贸互利合作,Trade_Exports,出口,-2,-0.077782967540798,0.038573589958612,0.0437495506061211,-0.153387203859678,-0.00217873122191845,6635,**
经贸互利合作,Trade_Exports,出口,-1,-0.116889423724881,0.0478526754375063,0.0145781084787609,-0.210680667582393,-0.0230981798673684,6660,**
经贸互利合作,Trade_Exports,出口,0,-0.0738325109784865,0.0348520217548786,0.0341363792023022,-0.142142473618049,-0.00552254833892441,6685,**
经贸互利合作,Trade_Exports,出口,1,-0.0815501048711162,0.0425437446365187,0.0552566084904128,-0.164935844358693,0.00183563461646037,6660,*
经贸互利合作,Trade_Exports,出口,3,-0.0030331524838344,0.018940349381369,0.872768923534657,-0.0401562372713176,0.0340899323036488,6610,""
经贸互利合作,Trade_Exports,出口,6,0.00458864158867484,0.0131602619567412,0.727334042256065,-0.0212054718465379,0.0303827550238876,6535,""
经贸互利合作,Trade_Exports,出口,12,-0.0304483289262451,0.0184375841200005,0.0986513634389259,-0.066585993801446,0.0056893359489559,6385,*
