dimension,group,trade,category,estimate,se,pvalue,n,n_country,note,qvalue_bh,sig,trade_label
full_sample,all,Trade_Total,人文交流合作,0.0501986175245747,0.0463078405694376,0.278356006030958,6685,25,全样本,0.278356006030958,"",总贸易
developed,发展中,Trade_Total,人文交流合作,-0.0931585718230932,0.0515487858471746,0.070732292135356,2967,12,developed=0,0.123211710938374,*,总贸易
developed,发达,Trade_Total,人文交流合作,0.0746447143380187,0.0499046282071361,0.13471951169931,3718,13,developed=1,0.13471951169931,"",总贸易
developed,发展中 vs 发达,Trade_Total,人文交流合作,,,0.544587883086131,6685,25,H0: 两组系数相等,,"",总贸易
FTA,无 FTA,Trade_Total,人文交流合作,0.0382011745128182,0.0494925297557444,0.440198900496226,5199,24,FTA=0,0.440198900496226,"",总贸易
FTA,有 FTA,Trade_Total,人文交流合作,0.0780726930700456,0.0664118521945727,0.239761259334456,1486,9,FTA=1,0.289881824077759,"",总贸易
FTA,无 FTA vs 有 FTA,Trade_Total,人文交流合作,,,0.129917429610589,6685,25,H0: 两组系数相等,,"",总贸易
region,Americas,Trade_Total,人文交流合作,-0.163682431732896,0.0703805189093518,0.0200357294706094,1144,4,region=Americas,0.0429617192357186,**,总贸易
region,Asia_MiddleEast,Trade_Total,人文交流合作,-0.0111892429775902,0.0639383721302482,0.861079291267761,2874,11,region=Asia_MiddleEast,0.861079291267761,"",总贸易
region,Europe,Trade_Total,人文交流合作,0.0463843536178008,0.031967818400009,0.146788143071141,2287,8,region=Europe,0.244646905118568,"",总贸易
trade_dep,high,Trade_Total,人文交流合作,0.279585329687113,0.0612585193966724,5.01824282647211e-06,2106,8,trade_dep=high,4.01459426117769e-05,***,总贸易
trade_dep,low,Trade_Total,人文交流合作,-0.0732488128503387,0.0830578927963948,0.377830514673546,2354,9,trade_dep=low,0.603983425285287,"",总贸易
trade_dep,medium,Trade_Total,人文交流合作,-0.022487903514275,0.0299661466383937,0.452987568963966,2225,8,trade_dep=medium,0.603983425285287,"",总贸易
full_sample,all,Trade_Total,战略定位负面,-0.0886510110671268,0.053965925512603,0.100440472577617,6685,25,全样本,0.150660708866425,"",总贸易
developed,发达,Trade_Total,战略定位负面,-0.063079309241854,0.0335598605196987,0.0601618191247773,3718,13,developed=1,0.123211710938374,*,总贸易
FTA,无 FTA,Trade_Total,战略定位负面,-0.0837475757890858,0.0334710936483363,0.0123463711393298,5199,24,FTA=0,0.0370391134179895,**,总贸易
FTA,有 FTA,Trade_Total,战略定位负面,-0.123093630836692,0.0437058752290881,0.00485637622765403,1486,9,FTA=1,0.0291382573659242,***,总贸易
FTA,无 FTA vs 有 FTA,Trade_Total,战略定位负面,,,0.00317403071076104,6685,25,H0: 两组系数相等,,***,总贸易
region,Americas,Trade_Total,战略定位负面,-0.0808320914707401,0.119587598615271,0.499089093085332,1144,4,region=Americas,0.55454343676148,"",总贸易
region,Asia_MiddleEast,Trade_Total,战略定位负面,-0.189347353166777,0.0437802737649658,1.52568705273603e-05,2874,11,region=Asia_MiddleEast,5.08562350912011e-05,***,总贸易
region,Europe,Trade_Total,战略定位负面,-0.186036872623836,0.08090584925668,0.0214808596178593,2287,8,region=Europe,0.0429617192357186,**,总贸易
trade_dep,high,Trade_Total,战略定位负面,-0.0663302378349882,0.0651667401714089,0.308747267093973,2106,8,trade_dep=high,0.603983425285287,"",总贸易
trade_dep,medium,Trade_Total,战略定位负面,-0.210184884015196,0.0572945186176854,0.00024397865226372,2225,8,trade_dep=medium,0.000975914609054882,***,总贸易
full_sample,all,Trade_Total,经贸互利合作,-0.0568106625501811,0.0298477686618334,0.0569952747950873,6685,25,全样本,0.150660708866425,*,总贸易
developed,发展中,Trade_Total,经贸互利合作,-0.05014858832286,0.0320739435622036,0.11792787262389,2967,12,developed=0,0.13471951169931,"",总贸易
developed,发达,Trade_Total,经贸互利合作,-0.0611071201470416,0.0341941279406975,0.0739270265630246,3718,13,developed=1,0.123211710938374,*,总贸易
developed,发展中 vs 发达,Trade_Total,经贸互利合作,,,0.835645887834359,6685,25,H0: 两组系数相等,,"",总贸易
FTA,无 FTA,Trade_Total,经贸互利合作,-0.0600299573004495,0.037267593745143,0.107227315231693,5199,24,FTA=0,0.214454630463386,"",总贸易
FTA,有 FTA,Trade_Total,经贸互利合作,-0.0252386068424514,0.0215516367267389,0.241568186731466,1486,9,FTA=1,0.289881824077759,"",总贸易
FTA,无 FTA vs 有 FTA,Trade_Total,经贸互利合作,,,0.0966118271373547,6685,25,H0: 两组系数相等,,*,总贸易
region,Americas,Trade_Total,经贸互利合作,-0.124908819588783,0.026094607496836,1.69488971244523e-06,1144,4,region=Americas,8.47444856222616e-06,***,总贸易
region,Asia_MiddleEast,Trade_Total,经贸互利合作,-0.0292101284431516,0.0358692649546868,0.415444592916094,2874,11,region=Asia_MiddleEast,0.519305741145117,"",总贸易
region,Europe,Trade_Total,经贸互利合作,0.0127516659691072,0.011887263540123,0.283398250734213,2287,8,region=Europe,0.404854643906019,"",总贸易
