model,trade,variable,estimate,se,pvalue,n,n_country,sig,trade_label
方向化制裁 + 17类控制,Trade_Total,Cat_科技管制_对华,0.036309892406376,0.0380916410514942,0.340476243605725,6685,25,"",总贸易
方向化制裁 + 17类控制,Trade_Total,Cat_经贸制裁_对华,-0.00543855075044314,0.0344359745492274,0.874510189510254,6685,25,"",总贸易
方向化制裁 + 17类控制,Trade_Total,Cat_经贸制裁_对伙伴,0.175018125720246,0.0423886033932968,3.64509567149182e-05,6685,25,***,总贸易
方向化制裁 + 17类控制,Trade_Total,Cat_经贸制裁_多边,1.27533422808833,0.223955397933475,1.23668548827577e-08,6685,25,***,总贸易
方向化制裁 + 17类控制,Trade_Total,Cat_经贸制裁_模糊,-0.107739788944414,0.0421235794534702,0.0105364720432901,6685,25,**,总贸易
方向化制裁 + 17类控制,Trade_Exports,Cat_科技管制_对华,0.0629868075489451,0.0403848057335094,0.118838835922169,6685,25,"",出口
方向化制裁 + 17类控制,Trade_Exports,Cat_经贸制裁_对华,-0.00265485955639944,0.0384220056183232,0.944912114088934,6685,25,"",出口
方向化制裁 + 17类控制,Trade_Exports,Cat_经贸制裁_对伙伴,0.159488242051561,0.0482514638354827,0.000948559970624605,6685,25,***,出口
方向化制裁 + 17类控制,Trade_Exports,Cat_经贸制裁_多边,1.13214034144513,0.199139870156669,1.30696707875629e-08,6685,25,***,出口
方向化制裁 + 17类控制,Trade_Exports,Cat_经贸制裁_模糊,-0.181833684533322,0.0254455145941386,8.93421073391831e-13,6685,25,***,出口
方向化制裁 + 17类控制,Trade_Imports,Cat_科技管制_对华,0.00751609854500695,0.0697043141809222,0.914131884004429,6685,25,"",进口
方向化制裁 + 17类控制,Trade_Imports,Cat_经贸制裁_对华,0.00193390378796677,0.0398700683682201,0.961313657344823,6685,25,"",进口
方向化制裁 + 17类控制,Trade_Imports,Cat_经贸制裁_对伙伴,0.220694712621487,0.0445281471683426,7.18494402947266e-07,6685,25,***,进口
方向化制裁 + 17类控制,Trade_Imports,Cat_经贸制裁_多边,1.33276825971183,0.272541766337439,1.00762657827401e-06,6685,25,***,进口
方向化制裁 + 17类控制,Trade_Imports,Cat_经贸制裁_模糊,0.0275278942957523,0.0755077657691753,0.715432134113113,6685,25,"",进口
方向化制裁 + 正负中性 + 17类控制,Trade_Total,Cat_科技管制_对华,-0.165534649454065,0.0272259386730123,1.20156608276936e-09,6685,25,***,总贸易
方向化制裁 + 正负中性 + 17类控制,Trade_Total,Cat_经贸制裁_对华,-0.222335222301017,0.0651010049627991,0.000637270352159526,6685,25,***,总贸易
方向化制裁 + 正负中性 + 17类控制,Trade_Total,Cat_经贸制裁_对伙伴,-0.0422033322881108,0.0652518237523527,0.51777674157928,6685,25,"",总贸易
方向化制裁 + 正负中性 + 17类控制,Trade_Total,Cat_经贸制裁_多边,1.05837648350688,0.215271744673108,8.8119929506892e-07,6685,25,***,总贸易
方向化制裁 + 正负中性 + 17类控制,Trade_Total,Cat_经贸制裁_模糊,-0.32478713264329,0.0767414367460885,2.31389336185652e-05,6685,25,***,总贸易
方向化制裁 + 正负中性 + 17类控制,Trade_Exports,Cat_科技管制_对华,-0.306516472820359,0.0345433394750562,7.09532469247523e-19,6685,25,***,出口
方向化制裁 + 正负中性 + 17类控制,Trade_Exports,Cat_经贸制裁_对华,-0.399894171547148,0.0685410307351787,5.39921165969215e-09,6685,25,***,出口
方向化制裁 + 正负中性 + 17类控制,Trade_Exports,Cat_经贸制裁_对伙伴,-0.238442206488908,0.0838705419530843,0.00446939867455683,6685,25,***,出口
方向化制裁 + 正负中性 + 17类控制,Trade_Exports,Cat_经贸制裁_多边,0.735274217711575,0.2072887005999,0.000389493381905234,6685,25,***,出口
方向化制裁 + 正负中性 + 17类控制,Trade_Exports,Cat_经贸制裁_模糊,-0.579756635016101,0.0595992742841363,2.30002283321359e-22,6685,25,***,出口
方向化制裁 + 正负中性 + 17类控制,Trade_Imports,Cat_科技管制_对华,0.232709501946838,0.0603130400324724,0.00011414979922831,6685,25,***,进口
方向化制裁 + 正负中性 + 17类控制,Trade_Imports,Cat_经贸制裁_对华,0.232700443465829,0.101799510576274,0.0222618671574188,6685,25,**,进口
方向化制裁 + 正负中性 + 17类控制,Trade_Imports,Cat_经贸制裁_对伙伴,0.451317974836474,0.0839236396268339,7.54343128462755e-08,6685,25,***,进口
方向化制裁 + 正负中性 + 17类控制,Trade_Imports,Cat_经贸制裁_多边,1.56403046127959,0.247523697806349,2.63755722591202e-10,6685,25,***,进口
方向化制裁 + 正负中性 + 17类控制,Trade_Imports,Cat_经贸制裁_模糊,0.257860171943547,0.128566392533789,0.0448927838604164,6685,25,**,进口
