ISO,base_var,ISO,Country,n_events,avg_import,avg_import_yoy
AE,Cat_科技管制_对华,AE,United Arab Emirates,1,1163.14852,
AU,Cat_科技管制_对华,AU,Australia,1,9024.55189,
CA,Cat_科技管制_对华,CA,Canada,1,2593.24543,
DE,Cat_科技管制_对华,DE,Germany,1,9003.88069,
ES,Cat_科技管制_对华,ES,Spain,1,800.82079,
FR,Cat_科技管制_对华,FR,France,1,2452.98451,
GB,Cat_科技管制_对华,GB,United Kingdom,1,1375.96332,
IN,Cat_科技管制_对华,IN,India,1,2223.58151,
IT,Cat_科技管制_对华,IT,Italy,1,1931.46851,
NL,Cat_科技管制_对华,NL,Netherlands,1,1634.776981,
US,Cat_科技管制_对华,US,United States,1,13983.82262,
BR,Cat_经贸制裁_对华,BR,Brazil,1,8630.548497,
CA,Cat_经贸制裁_对华,CA,Canada,1,4171.38128,
GB,Cat_经贸制裁_对华,GB,United Kingdom,1,1604.34892,
MX,Cat_经贸制裁_对华,MX,Mexico,5,1080.4312602,
US,Cat_经贸制裁_对华,US,United States,3,13180.6371593333,
