test,trade,variable,estimate,se,pvalue,n,sig,trade_label
基准 PPML（仅17类）,Trade_Imports,Cat_科技管制_对华,0.00751609854500695,0.0697043141809222,0.914131884004429,6685,"",进口
基准 PPML（仅17类）,Trade_Imports,Cat_经贸制裁_对华,0.00193390378796677,0.0398700683682201,0.961313657344823,6685,"",进口
基准 PPML（仅17类）,Trade_Exports,Cat_科技管制_对华,0.0629868075489451,0.0403848057335094,0.118838835922169,6685,"",出口
基准 PPML（仅17类）,Trade_Exports,Cat_经贸制裁_对华,-0.00265485955639944,0.0384220056183232,0.944912114088934,6685,"",出口
基准 PPML（仅17类）,Trade_Total,Cat_科技管制_对华,0.036309892406376,0.0380916410514942,0.340476243605725,6685,"",总贸易
基准 PPML（仅17类）,Trade_Total,Cat_经贸制裁_对华,-0.00543855075044314,0.0344359745492274,0.874510189510254,6685,"",总贸易
加入 Event_Negative,Trade_Imports,Cat_科技管制_对华,0.232689334530567,0.0602457724410513,0.000112308576677063,6685,***,进口
加入 Event_Negative,Trade_Imports,Cat_经贸制裁_对华,0.237656153840245,0.105651703575415,0.0244851262957698,6685,**,进口
加入 Event_Negative,Trade_Exports,Cat_科技管制_对华,-0.306572882905695,0.0346066475637066,8.08905240096919e-19,6685,***,出口
加入 Event_Negative,Trade_Exports,Cat_经贸制裁_对华,-0.399878089120623,0.0691126025536236,7.21283297037413e-09,6685,***,出口
加入 Event_Negative,Trade_Total,Cat_科技管制_对华,-0.16563400203174,0.0271640621970741,1.07712025816048e-09,6685,***,总贸易
加入 Event_Negative,Trade_Total,Cat_经贸制裁_对华,-0.220323376034499,0.0672584736343482,0.00105373861275382,6685,***,总贸易
排除多边/对伙伴变量,Trade_Imports,Cat_科技管制_对华,0.232689334530538,0.0602457724410469,0.00011230857667715,6685,***,进口
排除多边/对伙伴变量,Trade_Imports,Cat_经贸制裁_对华,0.237656153840214,0.10565170357541,0.0244851262957821,6685,**,进口
排除多边/对伙伴变量,Trade_Exports,Cat_科技管制_对华,-0.306572882905641,0.0346066475637049,8.08905240104883e-19,6685,***,出口
排除多边/对伙伴变量,Trade_Exports,Cat_经贸制裁_对华,-0.39987808912057,0.069112602553619,7.21283297039049e-09,6685,***,出口
排除对伙伴事件期,Trade_Imports,Cat_科技管制_对华,0.232692247085312,0.0602440830706467,0.000112236560870103,6683,***,进口
排除对伙伴事件期,Trade_Imports,Cat_经贸制裁_对华,0.237621137699825,0.105629872606711,0.024476648522708,6683,**,进口
排除对伙伴事件期,Trade_Exports,Cat_科技管制_对华,-0.306569177189265,0.0346041653411019,8.05080861644204e-19,6683,***,出口
排除对伙伴事件期,Trade_Exports,Cat_经贸制裁_对华,-0.399881160877563,0.0691070028368892,7.19083881958742e-09,6683,***,出口
严格关键词（仅对华）,Trade_Imports,Cat_科技管制_对华,0.232689334530538,0.0602457724410469,0.00011230857667715,6685,***,进口
严格关键词（仅对华）,Trade_Imports,Cat_经贸制裁_对华,0.237656153840214,0.10565170357541,0.0244851262957821,6685,**,进口
严格关键词（仅对华）,Trade_Exports,Cat_科技管制_对华,-0.306572882905641,0.0346066475637049,8.08905240104883e-19,6685,***,出口
严格关键词（仅对华）,Trade_Exports,Cat_经贸制裁_对华,-0.39987808912057,0.069112602553619,7.21283297039049e-09,6685,***,出口
包含模糊事件,Trade_Imports,Cat_科技管制_对华,0.232689334530491,0.0602457724410061,0.000112308576676305,6685,***,进口
包含模糊事件,Trade_Imports,Cat_经贸制裁_对华_含模糊,0.263275453386097,0.13241694845733,0.0467861717190525,6685,**,进口
包含模糊事件,Trade_Exports,Cat_科技管制_对华,-0.306572882905704,0.0346066475637722,8.08905240216863e-19,6685,***,出口
