trade,variable,n_dropped,sign_changed,sig_lost,est_min,est_max,base_est,base_p,base_sig
Trade_Exports,Event_Negative_x_FTA_Dummy,25,0,0,-0.0856028524873909,-0.0295483319719392,-0.0647039784688221,0.118933318292261,""
Trade_Exports,Event_Negative_x_developed,25,3,0,-0.011696668293005,0.0647804459866813,0.0106153718358961,0.853408953105408,""
Trade_Exports,Event_Negative_x_us_ally,24,1,0,-0.0323688962036132,0.0476729033677805,0.0310742827535131,0.525490250367224,""
Trade_Exports,Event_Negative_x_z_trade_dep,25,0,1,-0.0376441459579114,-0.0172696492421228,-0.0351600490175377,9.05925670713452e-10,***
Trade_Exports,Event_Neutral_x_FTA_Dummy,25,0,0,-0.0291443993270094,-0.00715418707736391,-0.0183040168967231,0.446283060626861,""
Trade_Exports,Event_Neutral_x_developed,25,6,0,-0.0152063435941037,0.0117082918523054,0.00242854225514926,0.903728315327369,""
Trade_Exports,Event_Neutral_x_z_trade_dep,25,1,2,-0.0132174688135831,0.00829212126298277,-0.00991887014985093,0.0568840871951222,*
Trade_Exports,Event_Positive_x_FTA_Dummy,25,0,0,0.101961815866875,0.152988331938481,0.122937430707245,0.00422298155172625,***
Trade_Exports,Event_Positive_x_developed,25,1,4,-0.10812984841039,0.00872810647864227,-0.0827797923740559,0.0427358926290327,**
Trade_Exports,Event_Positive_x_us_ally,24,0,0,0.0740081698148529,0.120732799107704,0.089400709915708,0.0347772274975686,**
Trade_Exports,Event_Positive_x_z_trade_dep,25,1,1,-0.0329044570437494,0.0076145687429933,-0.027479016220636,0.00507504153821646,***
Trade_Imports,Event_Negative_x_FTA_Dummy,25,0,0,-0.0467690090918324,-0.015487975293079,-0.0298473909080781,0.28007800547745,""
Trade_Imports,Event_Negative_x_developed,25,0,0,0.163284593146931,0.253044271587304,0.214719033276504,0.00747952712583219,***
Trade_Imports,Event_Negative_x_us_ally,24,0,0,-0.0955066059894604,-0.0310630967177245,-0.0518748718584424,0.332552315196847,""
Trade_Imports,Event_Negative_x_z_trade_dep,25,0,1,-0.0485929673879528,-0.0270190008732369,-0.0415349393430112,0.000919521348912473,***
Trade_Imports,Event_Neutral_x_FTA_Dummy,25,0,0,-0.0718137292638383,-0.0244257599759908,-0.0462771075270173,0.153683888075532,""
Trade_Imports,Event_Neutral_x_developed,25,11,0,-0.030989968696371,0.0154103202853197,-0.00105074741980118,0.968477784725003,""
Trade_Imports,Event_Neutral_x_z_trade_dep,25,1,1,-0.0209769472803112,0.00158023513356052,-0.0185985961867074,0.00910121263345405,***
Trade_Imports,Event_Positive_x_FTA_Dummy,25,0,1,0.0798114667785886,0.126378450620924,0.103342524021594,0.0128094631060524,**
Trade_Imports,Event_Positive_x_developed,25,1,1,-0.140176193862293,0.0254781157333189,-0.112076732195443,0.0198915051979059,**
Trade_Imports,Event_Positive_x_us_ally,24,0,3,0.103157577418974,0.189925612057541,0.133943935098408,0.0179918004706719,**
Trade_Imports,Event_Positive_x_z_trade_dep,25,10,0,-0.0190967131467718,0.0508019955514329,-0.000362266734583235,0.989449614618847,""
Trade_Total,Event_Negative_x_FTA_Dummy,25,0,0,-0.0651126035198137,-0.0207481750284895,-0.0436661844967033,0.18093980926552,""
Trade_Total,Event_Negative_x_developed,25,0,0,0.0535840085736395,0.126340022187566,0.0823739534797955,0.1854519978845,""
Trade_Total,Event_Negative_x_us_ally,24,5,0,-0.0352836271004864,0.0267425998302227,0.0093761004001183,0.841417569406922,""
Trade_Total,Event_Negative_x_z_trade_dep,25,0,1,-0.0426347937335964,-0.0261966409292262,-0.0386542760889204,1.22370137512996e-06,***
Trade_Total,Event_Neutral_x_FTA_Dummy,25,0,0,-0.0447286270285549,-0.0193928291564638,-0.0318565422188623,0.188100760403066,""
Trade_Total,Event_Neutral_x_developed,25,1,0,-0.0283775141561678,0.0031160408787696,-0.00622183937724193,0.769487916963515,""
Trade_Total,Event_Neutral_x_z_trade_dep,25,1,1,-0.0129699809087922,0.00576505226525973,-0.0103664689790195,0.0363868550587894,**
Trade_Total,Event_Positive_x_FTA_Dummy,25,0,0,0.0933173514365162,0.134626480680829,0.115231226159385,0.00102016038679935,***
Trade_Total,Event_Positive_x_developed,25,1,3,-0.106071150146869,0.0247447212224752,-0.0823282332097758,0.0340775899608428,**
Trade_Total,Event_Positive_x_us_ally,24,0,0,0.0869978493554298,0.13550465479832,0.10464510927115,0.00388749686520183,***
Trade_Total,Event_Positive_x_z_trade_dep,25,1,0,-0.0301556510200621,0.0243402121074018,-0.0224534571569144,0.137231355508387,""
