term,estimate,se,t_value,pvalue,trade,model,r_squared,adj_r_squared,f_statistic,n_obs,sig
(Intercept),0.0323152758007449,0.0568460007308011,0.568470523613025,0.576043544294296,Trade_Total,weighted_FE_only,0.354387193626517,0.257545272670495,3.65943994220695,24,""
FTA,-0.225223173481989,0.087133190121903,-2.58481496163393,0.0176982678233123,Trade_Total,weighted_FE_only,0.354387193626517,0.257545272670495,3.65943994220695,24,**
developed,0.0365971842269257,0.0651362023511915,0.561856278166273,0.580456625989295,Trade_Total,weighted_FE_only,0.354387193626517,0.257545272670495,3.65943994220695,24,""
z_trade_dep,-0.00260281814026289,0.0237708691196725,-0.109496128524338,0.913900205558276,Trade_Total,weighted_FE_only,0.354387193626517,0.257545272670495,3.65943994220695,24,""
(Intercept),0.118926750026311,0.0655522428221357,1.81422854362127,0.087331145915326,Trade_Total,weighted_with_region,0.598928772301618,0.457374221349248,4.23108100920856,24,*
FTA,-0.210195508823282,0.0901640025319273,-2.33125751875147,0.0323026086792024,Trade_Total,weighted_with_region,0.598928772301618,0.457374221349248,4.23108100920856,24,**
developed,0.0314870208205529,0.0687159733401803,0.458219818333585,0.65259766501511,Trade_Total,weighted_with_region,0.598928772301618,0.457374221349248,4.23108100920856,24,""
z_trade_dep,-0.0146488758287321,0.0243419936815915,-0.60179441422706,0.555252623322902,Trade_Total,weighted_with_region,0.598928772301618,0.457374221349248,4.23108100920856,24,""
factor(region)Asia_MiddleEast,-0.110475291144475,0.0743570095142007,-1.48574145015038,0.15565648418381,Trade_Total,weighted_with_region,0.598928772301618,0.457374221349248,4.23108100920856,24,""
factor(region)Europe,-0.135102127182084,0.0782692956060668,-1.72611911396341,0.102453118274904,Trade_Total,weighted_with_region,0.598928772301618,0.457374221349248,4.23108100920856,24,""
factor(region)Other,0.250418136773837,0.153208362343889,1.63449392019316,0.120535593536988,Trade_Total,weighted_with_region,0.598928772301618,0.457374221349248,4.23108100920856,24,""
(Intercept),0.23591779564357,0.15584153054346,1.51383135689738,0.145712283679957,Trade_Total,unweighted_FE_only,0.121097261779691,-0.0107381489533558,0.918548826194356,24,""
FTA,-0.382928189654211,0.261909021227899,-1.46206567402276,0.159259516636372,Trade_Total,unweighted_FE_only,0.121097261779691,-0.0107381489533558,0.918548826194356,24,""
developed,-0.109531989427084,0.19301521474517,-0.56747852531571,0.576704326419839,Trade_Total,unweighted_FE_only,0.121097261779691,-0.0107381489533558,0.918548826194356,24,""
z_trade_dep,-0.0496518237054079,0.0939764514981645,-0.52834324890824,0.603075127833036,Trade_Total,unweighted_FE_only,0.121097261779691,-0.0107381489533558,0.918548826194356,24,""
