dimension,group,trade,event,cum_estimate,cum_se,n_h,n_country,cum_pvalue,sig,trade_label
developed,发展中,Trade_Total,Event_Positive,-0.0361558891337689,0.0453826104549779,5,12,0.425630872791529,"",总贸易
developed,发展中,Trade_Total,Event_Negative,-0.185286595485211,0.0688689100401034,5,12,0.00713612033039253,***,总贸易
developed,发展中,Trade_Total,Event_Neutral,0.0889732598400492,0.0393618848409339,5,12,0.0237969794579683,**,总贸易
developed,发达,Trade_Total,Event_Positive,-0.0676912468475228,0.034257916080665,5,13,0.0481626968562415,**,总贸易
developed,发达,Trade_Total,Event_Negative,-0.0204555104238933,0.0377063584620267,5,13,0.587477560292041,"",总贸易
developed,发达,Trade_Total,Event_Neutral,0.0308536770522542,0.0156234072570683,5,13,0.0482866898484805,**,总贸易
ever_fta,无FTA,Trade_Total,Event_Positive,-0.0775535286012478,0.0357923773024264,5,16,0.0302530797181719,**,总贸易
ever_fta,无FTA,Trade_Total,Event_Negative,-0.0672565049402398,0.031758861481704,5,16,0.0341984443437921,**,总贸易
ever_fta,无FTA,Trade_Total,Event_Neutral,0.0441173728410377,0.0233790379207965,5,16,0.0591538348073502,*,总贸易
ever_fta,有FTA,Trade_Total,Event_Positive,0.0869190976648383,0.0362165999260775,5,9,0.016395989698074,**,总贸易
ever_fta,有FTA,Trade_Total,Event_Negative,0.0721673438356935,0.0459827569725203,5,9,0.116544610547061,"",总贸易
ever_fta,有FTA,Trade_Total,Event_Neutral,0.012370707874486,0.026986158816598,5,9,0.6466583661286,"",总贸易
trade_dep,高依存,Trade_Total,Event_Positive,0.0344184511371237,0.0491987713381652,5,8,0.484189957743502,"",总贸易
trade_dep,高依存,Trade_Total,Event_Negative,-0.137145990572025,0.0471443280255177,5,8,0.00362509612362112,***,总贸易
trade_dep,高依存,Trade_Total,Event_Neutral,0.0343177278280796,0.0180935932479709,5,8,0.0578703937391216,*,总贸易
trade_dep,低依存,Trade_Total,Event_Positive,-0.166022333774813,0.0542913350097734,5,9,0.00222827364776407,***,总贸易
trade_dep,低依存,Trade_Total,Event_Negative,0.201059244008611,0.115757915833477,5,9,0.0824058605053528,*,总贸易
trade_dep,低依存,Trade_Total,Event_Neutral,0.145780117272036,0.0522565738787403,5,9,0.0052757047018659,***,总贸易
trade_dep,中依存,Trade_Total,Event_Positive,0.098567090010288,0.0278401693821011,5,8,0.000399425615072226,***,总贸易
trade_dep,中依存,Trade_Total,Event_Negative,-0.0806430409957213,0.0480843703373784,5,8,0.0935199057239815,*,总贸易
trade_dep,中依存,Trade_Total,Event_Neutral,0.091962582311372,0.0435519609530423,5,8,0.0347241993121036,**,总贸易
developed,发展中,Trade_Exports,Event_Positive,-0.0479766449091262,0.0380131113471024,5,12,0.20690999349639,"",出口
developed,发展中,Trade_Exports,Event_Negative,-0.112876783006084,0.054805989980506,5,12,0.0394396488177203,**,出口
developed,发展中,Trade_Exports,Event_Neutral,0.00514461602887962,0.0282068022932781,5,12,0.85527730292038,"",出口
developed,发达,Trade_Exports,Event_Positive,-0.065188817176515,0.034684719394997,5,13,0.0601806308037314,*,出口
developed,发达,Trade_Exports,Event_Negative,-0.00411065523447425,0.0269386351623067,5,13,0.878719009017393,"",出口
developed,发达,Trade_Exports,Event_Neutral,0.0118862582598757,0.0187392198681593,5,13,0.525886062886851,"",出口
ever_fta,无FTA,Trade_Exports,Event_Positive,-0.0900999763908029,0.0408335135057843,5,16,0.0273475906144288,**,出口
