dimension,group,trade,event,horizon,estimate,se,pvalue,n,n_country,sig,ci_lower,ci_upper,trade_label
developed,发展中,Trade_Total,Event_Positive,0,-0.0114384731680415,0.0253478827408445,0.651802522855424,2967,12,"",-0.0611203233400967,0.0382433770040137,总贸易
developed,发展中,Trade_Total,Event_Positive,1,-0.0203144246356743,0.0203337970901361,0.317771789127262,2955,12,"",-0.0601686669323409,0.0195398176609924,总贸易
developed,发展中,Trade_Total,Event_Positive,3,-0.000959899801473252,0.0207952547255057,0.963183074799463,2931,12,"",-0.0417185990634644,0.0397987994605179,总贸易
developed,发展中,Trade_Total,Event_Positive,6,-0.000486458549811189,0.016180067096104,0.97601497585901,2895,12,"",-0.032199390058175,0.0312264729585526,总贸易
developed,发展中,Trade_Total,Event_Positive,12,-0.00295663297876867,0.0175887940981963,0.866506546430803,2823,12,"",-0.0374306694112335,0.0315174034536961,总贸易
developed,发展中,Trade_Total,Event_Negative,0,-0.0400742584808206,0.0299916053588829,0.181489626821147,2967,12,"",-0.098857804984231,0.0187092880225899,总贸易
developed,发展中,Trade_Total,Event_Negative,1,-0.0226987919123989,0.0238828050418835,0.341896836631963,2955,12,"",-0.0695090897944906,0.0241115059696928,总贸易
developed,发展中,Trade_Total,Event_Negative,3,-0.0148149565877973,0.0275541435171473,0.590806892858186,2931,12,"",-0.0688210778814061,0.0391911647058114,总贸易
developed,发展中,Trade_Total,Event_Negative,6,-0.0649444927590245,0.0336551130657667,0.0536432055906775,2895,12,*,-0.130908514367927,0.00101952884987828,总贸易
developed,发展中,Trade_Total,Event_Negative,12,-0.0427540957451694,0.0371637530533068,0.249969032841694,2823,12,"",-0.115595051729651,0.0300868602393119,总贸易
developed,发展中,Trade_Total,Event_Neutral,0,0.0197904003466944,0.0149145334151737,0.184534977608465,2967,12,"",-0.0094420851470461,0.0490228858404349,总贸易
developed,发展中,Trade_Total,Event_Neutral,1,0.0213772565737081,0.0161441068285368,0.185452461046279,2955,12,"",-0.0102651928102239,0.0530197059576402,总贸易
developed,发展中,Trade_Total,Event_Neutral,3,0.0356488570116653,0.0182004412943833,0.0501501668506034,2931,12,*,-2.40079253259473e-05,0.0713217219486565,总贸易
developed,发展中,Trade_Total,Event_Neutral,6,0.020442557075105,0.0158215667911474,0.196333226405391,2895,12,"",-0.0105677138355438,0.0514528279857538,总贸易
developed,发展中,Trade_Total,Event_Neutral,12,-0.00828581116712361,0.0220160043357184,0.70665374331597,2823,12,"",-0.0514371796651316,0.0348655573308844,总贸易
developed,发达,Trade_Total,Event_Positive,0,-0.0216528499354524,0.0203757214379862,0.287927577347041,3718,13,"",-0.0615892639539053,0.0182835640830005,总贸易
developed,发达,Trade_Total,Event_Positive,1,-0.0316727797241615,0.0182547755816376,0.0827335856352855,3705,13,*,-0.0674521398641712,0.00410658041584815,总贸易
developed,发达,Trade_Total,Event_Positive,3,0.00192995511027995,0.0122835127989239,0.87515222738488,3679,13,"",-0.0221457299756108,0.0260056401961707,总贸易
developed,发达,Trade_Total,Event_Positive,6,-0.00349854999049316,0.0113626491647903,0.758159074544645,3640,13,"",-0.0257693423534822,0.0187722423724958,总贸易
developed,发达,Trade_Total,Event_Positive,12,-0.0127970223076957,0.0120500404900601,0.288240232213278,3562,13,"",-0.0364151016682135,0.0108210570528221,总贸易
developed,发达,Trade_Total,Event_Negative,0,-0.00758500756067725,0.0160574413334971,0.636664758316764,3718,13,"",-0.0390575925743315,0.023887577452977,总贸易
developed,发达,Trade_Total,Event_Negative,1,-0.00926335928947851,0.0156396502101304,0.553649952640445,3705,13,"",-0.0399170737013341,0.0213903551223771,总贸易
developed,发达,Trade_Total,Event_Negative,3,0.00736612755339059,0.0124777236447218,0.554961213757248,3679,13,"",-0.0170902107902641,0.0318224658970453,总贸易
developed,发达,Trade_Total,Event_Negative,6,0.00689510174798544,0.0117423623454651,0.557070159931904,3640,13,"",-0.0161199284491261,0.029910131945097,总贸易
developed,发达,Trade_Total,Event_Negative,12,-0.0178683728751136,0.0250150500056801,0.475038660901079,3562,13,"",-0.0668978708862466,0.0311611251360195,总贸易
developed,发达,Trade_Total,Event_Neutral,0,0.00793334742223577,0.00574337209067187,0.167185263763923,3718,13,"",-0.0033236618754811,0.0191903567199526,总贸易
developed,发达,Trade_Total,Event_Neutral,1,-0.00298615129754955,0.00731310679302705,0.683032380759318,3705,13,"",-0.0173198406118826,0.0113475380167835,总贸易
developed,发达,Trade_Total,Event_Neutral,3,-0.00303731057759059,0.00771859410453014,0.69394603386604,3679,13,"",-0.0181657550224697,0.0120911338672885,总贸易
developed,发达,Trade_Total,Event_Neutral,6,0.00351491044515937,0.00641379705153892,0.583675880703444,3640,13,"",-0.00905613177585691,0.0160859526661757,总贸易
developed,发达,Trade_Total,Event_Neutral,12,0.0254288810599992,0.00754383939471619,0.000749463827335226,3562,13,***,0.0106429558463555,0.0402148062736429,总贸易
ever_fta,无FTA,Trade_Total,Event_Positive,0,-0.0373681071947764,0.0217038840994878,0.0851194520524994,4298,16,*,-0.0799077200297724,0.00517150564021966,总贸易
ever_fta,无FTA,Trade_Total,Event_Positive,1,-0.044512228924946,0.017319202675662,0.0101666686005588,4282,16,**,-0.0784578661692436,-0.0105665916806484,总贸易
ever_fta,无FTA,Trade_Total,Event_Positive,3,0.00455659407874833,0.0135404765062906,0.736481393538709,4250,16,"",-0.0219827398735811,0.0310959280310778,总贸易
ever_fta,无FTA,Trade_Total,Event_Positive,6,-0.00333466032840033,0.0137321477714346,0.8081324183875,4202,16,"",-0.0302496699604121,0.0235803493036115,总贸易
ever_fta,无FTA,Trade_Total,Event_Positive,12,0.00310487376812654,0.0117543404834414,0.791666649305496,4106,16,"",-0.0199336335794186,0.0261433811156717,总贸易
ever_fta,无FTA,Trade_Total,Event_Negative,0,-0.014637509397429,0.0127519748250901,0.251025470473197,4298,16,"",-0.0396313800546056,0.0103563612597476,总贸易
ever_fta,无FTA,Trade_Total,Event_Negative,1,-0.0138938300964974,0.0148401999946563,0.349155139002546,4282,16,"",-0.0429806220860237,0.015192961893029,总贸易
ever_fta,无FTA,Trade_Total,Event_Negative,3,0.002595570630949,0.0141422932932104,0.854380210148437,4250,16,"",-0.0251233242237434,0.0303144654856414,总贸易
ever_fta,无FTA,Trade_Total,Event_Negative,6,0.00716830617165836,0.0118485307489122,0.545182077160248,4202,16,"",-0.0160548140962095,0.0303914264395263,总贸易
ever_fta,无FTA,Trade_Total,Event_Negative,12,-0.0484890422489208,0.0168934527049337,0.00410100572666809,4106,16,***,-0.0816002095505908,-0.0153778749472508,总贸易
ever_fta,无FTA,Trade_Total,Event_Neutral,0,0.00724207137527226,0.00842053915430476,0.389762353493287,4298,16,"",-0.00926218536716508,0.0237463281177096,总贸易
ever_fta,无FTA,Trade_Total,Event_Neutral,1,0.00848377412857831,0.00730818181438947,0.245698938824313,4282,16,"",-0.00584026222762506,0.0228078104847817,总贸易
ever_fta,无FTA,Trade_Total,Event_Neutral,3,-0.00117386733326196,0.0123436339363594,0.924236186599772,4250,16,"",-0.0253673898485265,0.0230196551820026,总贸易
ever_fta,无FTA,Trade_Total,Event_Neutral,6,-0.00176623944969382,0.0146237365188801,0.903866128487939,4202,16,"",-0.0304287630266987,0.0268962841273111,总贸易
ever_fta,无FTA,Trade_Total,Event_Neutral,12,0.0313316341201429,0.00748635054564091,2.84955375843806e-05,4106,16,***,0.0166583870506867,0.0460048811895991,总贸易
ever_fta,有FTA,Trade_Total,Event_Positive,0,0.0248703612291265,0.0178372076532599,0.163228002314602,2387,9,"",-0.0100905657712628,0.0598312882295159,总贸易
ever_fta,有FTA,Trade_Total,Event_Positive,1,0.0162907760237572,0.0127651098257685,0.20188641048458,2378,9,"",-0.00872883923474907,0.0413103912822634,总贸易
ever_fta,有FTA,Trade_Total,Event_Positive,3,0.0226677230187573,0.0163595613628887,0.165870669494576,2360,9,"",-0.00939701725250459,0.0547324632900191,总贸易
ever_fta,有FTA,Trade_Total,Event_Positive,6,0.0287195909709297,0.0134701392297213,0.032999193372357,2333,9,**,0.0023181180806759,0.0551210638611835,总贸易
ever_fta,有FTA,Trade_Total,Event_Positive,12,-0.00562935357773239,0.0195306990561504,0.773169894853556,2279,9,"",-0.0439095237277871,0.0326508165723223,总贸易
ever_fta,有FTA,Trade_Total,Event_Negative,0,0.0199357622014143,0.0210107556876398,0.342704009300993,2387,9,"",-0.0212453189463597,0.0611168433491884,总贸易
ever_fta,有FTA,Trade_Total,Event_Negative,1,0.00873878138633838,0.0206455956216368,0.672094034979482,2378,9,"",-0.0317265860320697,0.0492041488047464,总贸易
ever_fta,有FTA,Trade_Total,Event_Negative,3,0.00388628780302842,0.0186980115404366,0.835350011801852,2360,9,"",-0.0327618148162273,0.0405343904222842,总贸易
ever_fta,有FTA,Trade_Total,Event_Negative,6,0.00365960132622867,0.0223737126914941,0.870072015715964,2333,9,"",-0.0401928755490998,0.0475120782015572,总贸易
ever_fta,有FTA,Trade_Total,Event_Negative,12,0.0359469111186837,0.0199128805170975,0.0710419831747303,2279,9,*,-0.00308233469482736,0.0749761569321948,总贸易
ever_fta,有FTA,Trade_Total,Event_Neutral,0,0.00228731558255292,0.0143767873391903,0.87359180253901,2387,9,"",-0.02589118760226,0.0304658187673658,总贸易
ever_fta,有FTA,Trade_Total,Event_Neutral,1,-0.00370932600620961,0.00971197495905024,0.702510888314603,2378,9,"",-0.0227447969259481,0.0153261449135289,总贸易
ever_fta,有FTA,Trade_Total,Event_Neutral,3,0.0205972982643884,0.0101593244422505,0.0426186665819297,2360,9,**,0.000685022357577315,0.0405095741711995,总贸易
ever_fta,有FTA,Trade_Total,Event_Neutral,6,-0.00137774881091002,0.0104547151337155,0.895156305054459,2333,9,"",-0.0218689904729923,0.0191134928511723,总贸易
ever_fta,有FTA,Trade_Total,Event_Neutral,12,-0.00542683115533569,0.0146535099625681,0.711126617397436,2279,9,"",-0.0341477106819692,0.0232940483712978,总贸易
trade_dep,高依存,Trade_Total,Event_Positive,0,0.011339120237994,0.028909084384949,0.694885466698802,2106,8,"",-0.045322685156506,0.0680009256324941,总贸易
trade_dep,高依存,Trade_Total,Event_Positive,1,-0.00985463553819221,0.0242418705171947,0.684365706174829,2098,8,"",-0.0573687017518938,0.0376594306755093,总贸易
trade_dep,高依存,Trade_Total,Event_Positive,3,0.0138072332357963,0.0207683265879001,0.506164570817379,2082,8,"",-0.0268986868764879,0.0545131533480805,总贸易
trade_dep,高依存,Trade_Total,Event_Positive,6,0.0160416636623905,0.0168977411910684,0.342448857882896,2058,8,"",-0.0170779090721036,0.0491612363968846,总贸易
trade_dep,高依存,Trade_Total,Event_Positive,12,0.00308506953913498,0.0167409261516356,0.853791381852322,2010,8,"",-0.0297271457180708,0.0358972847963408,总贸易
trade_dep,高依存,Trade_Total,Event_Negative,0,-0.0300329113171196,0.0199600995377348,0.132414760178378,2106,8,"",-0.0691547064110798,0.00908888377684069,总贸易
trade_dep,高依存,Trade_Total,Event_Negative,1,-0.0320154952890008,0.01508540187984,0.033813961653802,2098,8,**,-0.0615828829734872,-0.00244810760451434,总贸易
trade_dep,高依存,Trade_Total,Event_Negative,3,-0.0187302841199532,0.0158054196736572,0.235995889016854,2082,8,"",-0.0497089066803212,0.0122483384404148,总贸易
trade_dep,高依存,Trade_Total,Event_Negative,6,-0.0197180963174339,0.0199794407411558,0.323682186051618,2058,8,"",-0.0588778001700993,0.0194416075352315,总贸易
