dimension,trade,event,horizon,wald_pvalue,n,sig
developed,Trade_Total,Event_Positive,0,0.318927622611299,6685,""
developed,Trade_Total,Event_Positive,1,0.239447995449378,6660,""
developed,Trade_Total,Event_Positive,3,0.457701512549517,6610,""
developed,Trade_Total,Event_Positive,6,0.417320472882042,6535,""
developed,Trade_Total,Event_Positive,12,0.212085217561468,6385,""
developed,Trade_Total,Event_Negative,0,0.797655908668807,6685,""
developed,Trade_Total,Event_Negative,1,0.893351200207816,6660,""
developed,Trade_Total,Event_Negative,3,0.909281571149834,6610,""
developed,Trade_Total,Event_Negative,6,0.335730519383772,6535,""
developed,Trade_Total,Event_Negative,12,0.947949775897016,6385,""
developed,Trade_Total,Event_Neutral,0,0.129811007437893,6685,""
developed,Trade_Total,Event_Neutral,1,0.05610448554218,6660,*
developed,Trade_Total,Event_Neutral,3,0.0395217269034857,6610,**
developed,Trade_Total,Event_Neutral,6,0.0572210297492735,6535,*
developed,Trade_Total,Event_Neutral,12,0.166514590913666,6385,""
ever_fta,Trade_Total,Event_Positive,0,0.0195439826611308,6685,**
ever_fta,Trade_Total,Event_Positive,1,0.0265442626774393,6660,**
ever_fta,Trade_Total,Event_Positive,3,0.209177204363863,6610,""
ever_fta,Trade_Total,Event_Positive,6,0.18749398232928,6535,""
ever_fta,Trade_Total,Event_Positive,12,0.82815621766298,6385,""
ever_fta,Trade_Total,Event_Negative,0,0.176308488062853,6685,""
ever_fta,Trade_Total,Event_Negative,1,0.635798658278456,6660,""
ever_fta,Trade_Total,Event_Negative,3,0.923432376941274,6610,""
ever_fta,Trade_Total,Event_Negative,6,0.854102100842455,6535,""
ever_fta,Trade_Total,Event_Negative,12,0.0121950063644083,6385,**
ever_fta,Trade_Total,Event_Neutral,0,0.329204234938459,6685,""
ever_fta,Trade_Total,Event_Neutral,1,0.475097495067656,6660,""
ever_fta,Trade_Total,Event_Neutral,3,0.194604951091621,6610,""
ever_fta,Trade_Total,Event_Neutral,6,0.94364397735214,6535,""
ever_fta,Trade_Total,Event_Neutral,12,0.115974854074594,6385,""
developed,Trade_Exports,Event_Positive,0,0.107818792997091,6685,""
developed,Trade_Exports,Event_Positive,1,0.0870992300817479,6660,*
developed,Trade_Exports,Event_Positive,3,0.54217404808042,6610,""
developed,Trade_Exports,Event_Positive,6,0.456895732324432,6535,""
developed,Trade_Exports,Event_Positive,12,0.542950359345592,6385,""
developed,Trade_Exports,Event_Negative,0,0.59794982662454,6685,""
developed,Trade_Exports,Event_Negative,1,0.651856297852466,6660,""
developed,Trade_Exports,Event_Negative,3,0.873502576833273,6610,""
developed,Trade_Exports,Event_Negative,6,0.591266610362917,6535,""
developed,Trade_Exports,Event_Negative,12,0.449816565642441,6385,""
developed,Trade_Exports,Event_Neutral,0,0.121921446351385,6685,""
developed,Trade_Exports,Event_Neutral,1,0.0506951690907267,6660,*
developed,Trade_Exports,Event_Neutral,3,0.030687996711829,6610,**
developed,Trade_Exports,Event_Neutral,6,0.0170226673706893,6535,**
developed,Trade_Exports,Event_Neutral,12,0.0596136272188437,6385,*
ever_fta,Trade_Exports,Event_Positive,0,0.0177955855823831,6685,**
ever_fta,Trade_Exports,Event_Positive,1,0.0630254965195847,6660,*
ever_fta,Trade_Exports,Event_Positive,3,0.154206488873176,6610,""
ever_fta,Trade_Exports,Event_Positive,6,0.317234604901958,6535,""
ever_fta,Trade_Exports,Event_Positive,12,0.306989237600294,6385,""
ever_fta,Trade_Exports,Event_Negative,0,0.490204042681825,6685,""
ever_fta,Trade_Exports,Event_Negative,1,0.623681780721643,6660,""
ever_fta,Trade_Exports,Event_Negative,3,0.343934419633253,6610,""
ever_fta,Trade_Exports,Event_Negative,6,0.336645640634415,6535,""
ever_fta,Trade_Exports,Event_Negative,12,0.142804255561503,6385,""
ever_fta,Trade_Exports,Event_Neutral,0,0.014955712056082,6685,**
ever_fta,Trade_Exports,Event_Neutral,1,0.639753055660704,6660,""
ever_fta,Trade_Exports,Event_Neutral,3,0.436954627986313,6610,""
ever_fta,Trade_Exports,Event_Neutral,6,0.602770928371479,6535,""
ever_fta,Trade_Exports,Event_Neutral,12,0.0102744750338446,6385,**
developed,Trade_Imports,Event_Positive,0,0.796011856538876,6685,""
developed,Trade_Imports,Event_Positive,1,0.84074864206656,6660,""
developed,Trade_Imports,Event_Positive,3,0.469184195108529,6610,""
developed,Trade_Imports,Event_Positive,6,0.738846981194126,6535,""
developed,Trade_Imports,Event_Positive,12,0.291519741580808,6385,""
developed,Trade_Imports,Event_Negative,0,0.108464697832855,6685,""
developed,Trade_Imports,Event_Negative,1,0.254801203895174,6660,""
developed,Trade_Imports,Event_Negative,3,0.629225911193671,6610,""
developed,Trade_Imports,Event_Negative,6,0.148196475122661,6535,""
developed,Trade_Imports,Event_Negative,12,0.166785826978089,6385,""
developed,Trade_Imports,Event_Neutral,0,0.183823905007662,6685,""
developed,Trade_Imports,Event_Neutral,1,0.29643650935608,6660,""
developed,Trade_Imports,Event_Neutral,3,0.305492836291077,6610,""
developed,Trade_Imports,Event_Neutral,6,0.755899801747641,6535,""
developed,Trade_Imports,Event_Neutral,12,0.367957656690605,6385,""
ever_fta,Trade_Imports,Event_Positive,0,0.121329666373853,6685,""
ever_fta,Trade_Imports,Event_Positive,1,0.155351692703602,6660,""
ever_fta,Trade_Imports,Event_Positive,3,0.426226020831827,6610,""
ever_fta,Trade_Imports,Event_Positive,6,0.166501966033037,6535,""
ever_fta,Trade_Imports,Event_Positive,12,0.658834396690974,6385,""
ever_fta,Trade_Imports,Event_Negative,0,0.24787553806297,6685,""
ever_fta,Trade_Imports,Event_Negative,1,0.162412862011729,6660,""
ever_fta,Trade_Imports,Event_Negative,3,0.462926040425752,6610,""
ever_fta,Trade_Imports,Event_Negative,6,0.261321165765464,6535,""
ever_fta,Trade_Imports,Event_Negative,12,0.00758880576192351,6385,***
ever_fta,Trade_Imports,Event_Neutral,0,0.395262025244115,6685,""
ever_fta,Trade_Imports,Event_Neutral,1,0.935467768693154,6660,""
ever_fta,Trade_Imports,Event_Neutral,3,0.928830159845402,6610,""
ever_fta,Trade_Imports,Event_Neutral,6,0.0301556105962022,6535,**
ever_fta,Trade_Imports,Event_Neutral,12,0.746838481682719,6385,""
