trade,db,rho,pvalue,n,sig,trade_label
Trade_Total,GDELT,-0.031304347826087,0.885195374103823,24,"",总贸易
Trade_Total,ICEWS,0.051304347826087,0.811878544809295,24,"",总贸易
Trade_Total,Phoenix,0.1,0.640886391280248,24,"",总贸易
Trade_Total,Tsinghua,-0.409090909090909,0.213864224336727,11,"",总贸易
Trade_Exports,GDELT,-0.0860869565217391,0.688355186516086,24,"",出口
Trade_Exports,ICEWS,-0.150434782608696,0.481195750199639,24,"",出口
Trade_Exports,Phoenix,-0.148695652173913,0.48633688751237,24,"",出口
Trade_Exports,Tsinghua,-0.118181818181818,0.734251788754801,11,"",出口
Trade_Imports,GDELT,0.0713043478260869,0.740097295577049,24,"",进口
Trade_Imports,ICEWS,0.113913043478261,0.594773308087517,24,"",进口
Trade_Imports,Phoenix,0.183478260869565,0.389062698317239,24,"",进口
Trade_Imports,Tsinghua,-0.7,0.0208123843500963,11,**,进口
