h,estimate,se,pvalue,n,db,pol_var,trade
0,0.02585438511039,0.00910397167945374,0.00451274303980363,6685,GDELT,Pol_Agg,Trade_Total
1,0.0250409697120514,0.00898907809562514,0.00534105402418275,6660,GDELT,Pol_Agg,Trade_Total
2,0.02439771928825,0.00898718653336939,0.00663312857706822,6635,GDELT,Pol_Agg,Trade_Total
3,0.0247003860431525,0.00952132233524048,0.0094806344703939,6610,GDELT,Pol_Agg,Trade_Total
4,0.0268754976979043,0.00991544239458488,0.00671881601975403,6585,GDELT,Pol_Agg,Trade_Total
5,0.02810836624729,0.0103247844651986,0.00648063578240635,6560,GDELT,Pol_Agg,Trade_Total
6,0.0287293907243267,0.0109381187327791,0.00862582163810765,6535,GDELT,Pol_Agg,Trade_Total
0,0.0283245882571896,0.00924315798900499,0.00218118521923389,6685,GDELT,Pol_Agg,Trade_Exports
1,0.0272934747691938,0.00970890944169933,0.00493604362113246,6660,GDELT,Pol_Agg,Trade_Exports
2,0.0264183317819304,0.00980208298859765,0.00703516117052289,6635,GDELT,Pol_Agg,Trade_Exports
3,0.0274099564160264,0.0105553896391748,0.00941039464489557,6610,GDELT,Pol_Agg,Trade_Exports
4,0.0296954281297263,0.0107092892188134,0.00555649294717164,6585,GDELT,Pol_Agg,Trade_Exports
5,0.0307778843567446,0.0118940930888822,0.009662994314404,6560,GDELT,Pol_Agg,Trade_Exports
6,0.0325536719842438,0.0128930667272474,0.0115732038108936,6535,GDELT,Pol_Agg,Trade_Exports
0,0.0292085893816744,0.0131329055372389,0.0261432833549762,6685,GDELT,Pol_Agg,Trade_Imports
1,0.0279598859324587,0.012523712621977,0.0255782585757718,6660,GDELT,Pol_Agg,Trade_Imports
2,0.0275247507764972,0.0123657494317577,0.0260218062305851,6635,GDELT,Pol_Agg,Trade_Imports
3,0.028328291454474,0.0124963235337442,0.0233944985864665,6610,GDELT,Pol_Agg,Trade_Imports
4,0.0282914142598638,0.0125247998633857,0.0238938593589815,6585,GDELT,Pol_Agg,Trade_Imports
5,0.0309098702664418,0.0124168058354776,0.0127974164692338,6560,GDELT,Pol_Agg,Trade_Imports
6,0.0294616069663586,0.011999244729024,0.014077158230036,6535,GDELT,Pol_Agg,Trade_Imports
0,0.0222723494000829,0.00905406517914144,0.0138964850563819,6685,GDELT,Pol_CHN_Partner,Trade_Total
1,0.0213002830398704,0.00898815276033698,0.0177968602913308,6660,GDELT,Pol_CHN_Partner,Trade_Total
2,0.0204295069804135,0.00919019225192323,0.026217930749603,6635,GDELT,Pol_CHN_Partner,Trade_Total
3,0.0208841379040273,0.00950930072585038,0.0280790484874007,6610,GDELT,Pol_CHN_Partner,Trade_Total
4,0.0229866551766496,0.0098148017916978,0.0191786761563602,6585,GDELT,Pol_CHN_Partner,Trade_Total
5,0.0238726199729108,0.010818022749524,0.0273318642259864,6560,GDELT,Pol_CHN_Partner,Trade_Total
6,0.0251622435769783,0.0113644313711711,0.026820350948601,6535,GDELT,Pol_CHN_Partner,Trade_Total
0,0.026033616786832,0.00951455806280848,0.00621555605659125,6685,GDELT,Pol_CHN_Partner,Trade_Exports
1,0.0245057499955423,0.0096731892507868,0.0112972217586772,6660,GDELT,Pol_CHN_Partner,Trade_Exports
2,0.0232289148424926,0.00981975798030773,0.0180043699785735,6635,GDELT,Pol_CHN_Partner,Trade_Exports
3,0.0244312925676267,0.0102898838578615,0.0175821598402843,6610,GDELT,Pol_CHN_Partner,Trade_Exports
4,0.0261599174464479,0.0106761558921222,0.014273230795284,6585,GDELT,Pol_CHN_Partner,Trade_Exports
5,0.0279177664097861,0.0126244516105581,0.0270078532615786,6560,GDELT,Pol_CHN_Partner,Trade_Exports
6,0.0298494562500665,0.0133919989458962,0.0258204110412791,6535,GDELT,Pol_CHN_Partner,Trade_Exports
0,0.0236129650389779,0.0127071576794638,0.0631347573695832,6685,GDELT,Pol_CHN_Partner,Trade_Imports
1,0.0224365889509854,0.0122997551574176,0.0681295139792914,6660,GDELT,Pol_CHN_Partner,Trade_Imports
2,0.0221000179847826,0.0125495852234361,0.0782357271587515,6635,GDELT,Pol_CHN_Partner,Trade_Imports
3,0.0231691092446527,0.0126380266068525,0.0667601443681894,6610,GDELT,Pol_CHN_Partner,Trade_Imports
4,0.0236422972443661,0.01238947182537,0.0563579982605575,6585,GDELT,Pol_CHN_Partner,Trade_Imports
5,0.0250063927032559,0.0123332149601264,0.0426046831278105,6560,GDELT,Pol_CHN_Partner,Trade_Imports
6,0.0245294899017006,0.012103378006596,0.0426967068899082,6535,GDELT,Pol_CHN_Partner,Trade_Imports
0,0.0269255677309039,0.00903842469353592,0.00289180276982357,6685,GDELT,Pol_Partner_CHN,Trade_Total
1,0.025968754560335,0.00885325276638453,0.00335439668481941,6660,GDELT,Pol_Partner_CHN,Trade_Total
2,0.0250754045125027,0.00881584358340133,0.00445011862742067,6635,GDELT,Pol_Partner_CHN,Trade_Total
3,0.0253687755661297,0.00944601303018252,0.00723867943166756,6610,GDELT,Pol_Partner_CHN,Trade_Total
4,0.0280776302659891,0.00967517116771448,0.00370753855030253,6585,GDELT,Pol_Partner_CHN,Trade_Total
5,0.0300732227583085,0.00960140656757977,0.00173520285295849,6560,GDELT,Pol_Partner_CHN,Trade_Total
6,0.0299471589452898,0.0103338587753051,0.00375592745318004,6535,GDELT,Pol_Partner_CHN,Trade_Total
0,0.0289731847820951,0.00858524093872103,0.0007387830615427,6685,GDELT,Pol_Partner_CHN,Trade_Exports
1,0.0282155030023927,0.00914565521553212,0.0020346561493002,6660,GDELT,Pol_Partner_CHN,Trade_Exports
2,0.0272622512987051,0.0092729121816445,0.003282248715049,6635,GDELT,Pol_Partner_CHN,Trade_Exports
3,0.0280264790889894,0.0100884465548105,0.00546816960038371,6610,GDELT,Pol_Partner_CHN,Trade_Exports
4,0.0309833404322327,0.00988106992536975,0.0017148770512724,6585,GDELT,Pol_Partner_CHN,Trade_Exports
5,0.032280696775311,0.0103087066972533,0.00173974298331546,6560,GDELT,Pol_Partner_CHN,Trade_Exports
6,0.0344103734612377,0.0113699556382634,0.00247460210596487,6535,GDELT,Pol_Partner_CHN,Trade_Exports
0,0.0296170405545087,0.0131277075061635,0.0240661832880336,6685,GDELT,Pol_Partner_CHN,Trade_Imports
1,0.0279565050760829,0.0124533354257403,0.0247744891254297,6660,GDELT,Pol_Partner_CHN,Trade_Imports
2,0.0269256632794947,0.0123786462979863,0.0296173599690157,6635,GDELT,Pol_Partner_CHN,Trade_Imports
3,0.0277833289482822,0.0125594903129538,0.0269571137738501,6610,GDELT,Pol_Partner_CHN,Trade_Imports
4,0.028476689699651,0.01281889565326,0.0263196850829834,6585,GDELT,Pol_Partner_CHN,Trade_Imports
5,0.0321529211958531,0.0126512830766718,0.0110385801706441,6560,GDELT,Pol_Partner_CHN,Trade_Imports
6,0.0289916832476838,0.0125248853082984,0.0206279075514427,6535,GDELT,Pol_Partner_CHN,Trade_Imports
0,0.0044437346660665,0.0117824210497858,0.706062478043155,6683,ICEWS,Pol_Agg,Trade_Total
1,0.00257798547886176,0.0111450497837299,0.817072304692063,6658,ICEWS,Pol_Agg,Trade_Total
2,0.00422086828840762,0.0106238825519534,0.691146264696241,6633,ICEWS,Pol_Agg,Trade_Total
3,0.0023425505196205,0.0109329162713425,0.83033975293192,6608,ICEWS,Pol_Agg,Trade_Total
4,0.00278276356132239,0.0112060264730777,0.80388109081973,6583,ICEWS,Pol_Agg,Trade_Total
5,0.00380532626689387,0.0115751307275202,0.742344525157821,6558,ICEWS,Pol_Agg,Trade_Total
6,0.00513795255127933,0.0116274946808358,0.658576342613556,6533,ICEWS,Pol_Agg,Trade_Total
0,0.0165263139955054,0.0100709336844605,0.100799232782493,6683,ICEWS,Pol_Agg,Trade_Exports
1,0.0136038998834765,0.00944514162637561,0.149780673136692,6658,ICEWS,Pol_Agg,Trade_Exports
2,0.0143020875299255,0.00878016538835012,0.10333235431631,6633,ICEWS,Pol_Agg,Trade_Exports
3,0.0121370693255404,0.00993329836161348,0.221761739705341,6608,ICEWS,Pol_Agg,Trade_Exports
4,0.012690758539569,0.00982205438563449,0.196333724450678,6583,ICEWS,Pol_Agg,Trade_Exports
5,0.0140748723650521,0.0108399028515772,0.194139067547906,6558,ICEWS,Pol_Agg,Trade_Exports
6,0.0158803239173692,0.0110918032446084,0.152224812361226,6533,ICEWS,Pol_Agg,Trade_Exports
0,-0.00463564328544519,0.0150065916225138,0.757392166032136,6683,ICEWS,Pol_Agg,Trade_Imports
1,-0.0050142912377979,0.0147548357022698,0.733976621256928,6658,ICEWS,Pol_Agg,Trade_Imports
2,-0.00287260605201019,0.0144498388096931,0.842420381776027,6633,ICEWS,Pol_Agg,Trade_Imports
3,-0.00381155255063015,0.0142969197333001,0.789777492271664,6608,ICEWS,Pol_Agg,Trade_Imports
4,-0.00448654898893858,0.0146559947045657,0.759510377216535,6583,ICEWS,Pol_Agg,Trade_Imports
5,-0.00341604604247163,0.0143736980945703,0.812145190455829,6558,ICEWS,Pol_Agg,Trade_Imports
6,-0.00313410651370474,0.0138170001450739,0.82055613927424,6533,ICEWS,Pol_Agg,Trade_Imports
0,0.00591434586338116,0.0138609039717587,0.669603203865367,6675,ICEWS,Pol_CHN_Partner,Trade_Total
1,0.00493291127418908,0.0132882309179196,0.710470640538905,6650,ICEWS,Pol_CHN_Partner,Trade_Total
2,0.00526985419811884,0.0128258159273043,0.681161503158559,6625,ICEWS,Pol_CHN_Partner,Trade_Total
3,0.00370524451858827,0.0131760217333534,0.778548435990055,6600,ICEWS,Pol_CHN_Partner,Trade_Total
4,0.00353348375491004,0.0131968492443258,0.788890163495541,6575,ICEWS,Pol_CHN_Partner,Trade_Total
5,0.00461415180964894,0.012987522863527,0.722383027423985,6550,ICEWS,Pol_CHN_Partner,Trade_Total
6,0.00583773599723996,0.0131222139771572,0.656410582968484,6525,ICEWS,Pol_CHN_Partner,Trade_Total
0,0.0187340911033797,0.0131513695474992,0.15430255089787,6675,ICEWS,Pol_CHN_Partner,Trade_Exports
1,0.0165022800828957,0.0125313622155635,0.187879391604821,6650,ICEWS,Pol_CHN_Partner,Trade_Exports
2,0.0159311277719753,0.0118279426773099,0.178010486771422,6625,ICEWS,Pol_CHN_Partner,Trade_Exports
3,0.014777536010442,0.012703288107809,0.244714160779708,6600,ICEWS,Pol_CHN_Partner,Trade_Exports
4,0.0142405405324349,0.0125777658031852,0.257550557624131,6575,ICEWS,Pol_CHN_Partner,Trade_Exports
5,0.0155458400134628,0.0132638442328907,0.241178454050327,6550,ICEWS,Pol_CHN_Partner,Trade_Exports
6,0.0179546046278058,0.0137018984994926,0.190069515488516,6525,ICEWS,Pol_CHN_Partner,Trade_Exports
0,-0.0029052044357888,0.0163160157738459,0.858677074691665,6675,ICEWS,Pol_CHN_Partner,Trade_Imports
1,-0.00184298094040263,0.0160114681230487,0.908362842226031,6650,ICEWS,Pol_CHN_Partner,Trade_Imports
2,-0.00111015347915909,0.0156686041317794,0.943515467578252,6625,ICEWS,Pol_CHN_Partner,Trade_Imports
3,-0.0027032385251055,0.0158911186811556,0.864923613129987,6600,ICEWS,Pol_CHN_Partner,Trade_Imports
4,-0.00329098020650537,0.0159222531061491,0.836251491218912,6575,ICEWS,Pol_CHN_Partner,Trade_Imports
5,-0.00184827517368133,0.0151590750023901,0.902958157379186,6550,ICEWS,Pol_CHN_Partner,Trade_Imports
6,-0.00252659651475941,0.0144041404814496,0.8607593254393,6525,ICEWS,Pol_CHN_Partner,Trade_Imports
0,0.000162068515288673,0.00878811290355703,0.985286416081527,6681,ICEWS,Pol_Partner_CHN,Trade_Total
1,-0.00135522562989472,0.00846977533058925,0.872875347213236,6656,ICEWS,Pol_Partner_CHN,Trade_Total
2,0.000417416517578159,0.00770607827001438,0.956801970000215,6631,ICEWS,Pol_Partner_CHN,Trade_Total
3,-0.000140830989662657,0.00755630262441797,0.985130245174688,6606,ICEWS,Pol_Partner_CHN,Trade_Total
4,0.00188549920822472,0.00785664261466804,0.810339632393277,6581,ICEWS,Pol_Partner_CHN,Trade_Total
5,0.0028423293726267,0.00842355374800267,0.735795489977461,6556,ICEWS,Pol_Partner_CHN,Trade_Total
6,0.00306708644490173,0.00820677923478852,0.708608209590454,6531,ICEWS,Pol_Partner_CHN,Trade_Total
0,0.00872553768097504,0.0053037948558505,0.0999388982156629,6681,ICEWS,Pol_Partner_CHN,Trade_Exports
1,0.00576963051981101,0.00554565868791592,0.298160196370728,6656,ICEWS,Pol_Partner_CHN,Trade_Exports
2,0.00675340856124907,0.00522731252421973,0.196375643542053,6631,ICEWS,Pol_Partner_CHN,Trade_Exports
3,0.00461845778398986,0.00546984177381307,0.39847417206695,6606,ICEWS,Pol_Partner_CHN,Trade_Exports
4,0.00692901279052972,0.00557322204700545,0.213768816904551,6581,ICEWS,Pol_Partner_CHN,Trade_Exports
5,0.00876620797567937,0.00599646314476405,0.143769597466139,6556,ICEWS,Pol_Partner_CHN,Trade_Exports
6,0.00965513511503907,0.00606919357695897,0.111644876063474,6531,ICEWS,Pol_Partner_CHN,Trade_Exports
0,-0.00678143213551861,0.0138987614346882,0.625609134454435,6681,ICEWS,Pol_Partner_CHN,Trade_Imports
1,-0.00655257806954101,0.0133635042370292,0.623897699479975,6656,ICEWS,Pol_Partner_CHN,Trade_Imports
2,-0.00441154388507027,0.0126008695349672,0.726264874116285,6631,ICEWS,Pol_Partner_CHN,Trade_Imports
3,-0.00265141310426409,0.0122858564001247,0.829135698651869,6606,ICEWS,Pol_Partner_CHN,Trade_Imports
4,-0.00162004166926953,0.0123704291446715,0.89580629353665,6581,ICEWS,Pol_Partner_CHN,Trade_Imports
5,-0.0013692841928153,0.012496346673656,0.912746628373009,6556,ICEWS,Pol_Partner_CHN,Trade_Imports
6,-0.00220711711939077,0.0119137586974801,0.853026809864446,6531,ICEWS,Pol_Partner_CHN,Trade_Imports
0,-0.00350898504129614,0.00418888570553334,0.402205183269421,4992,Phoenix,Pol_Agg,Trade_Total
1,-0.00295176601418068,0.00372812283227293,0.428502588230587,4967,Phoenix,Pol_Agg,Trade_Total
2,-0.000904101168277004,0.00338283141433856,0.78926769765655,4942,Phoenix,Pol_Agg,Trade_Total
3,0.000253517936003142,0.00328102430088054,0.938410407614503,4917,Phoenix,Pol_Agg,Trade_Total
4,0.000845433787460932,0.00339925021778155,0.80358368704012,4892,Phoenix,Pol_Agg,Trade_Total
5,0.000245424873525346,0.00340835496405618,0.942596463758902,4867,Phoenix,Pol_Agg,Trade_Total
6,-0.00141886566548054,0.00367939815194809,0.699774867683553,4842,Phoenix,Pol_Agg,Trade_Total
0,-0.00661154503153308,0.00368860776710492,0.0730652492384808,4992,Phoenix,Pol_Agg,Trade_Exports
1,-0.00655859447991791,0.0036831514608769,0.0749611770014105,4967,Phoenix,Pol_Agg,Trade_Exports
2,-0.00529656133587263,0.00322163954722605,0.100164282342147,4942,Phoenix,Pol_Agg,Trade_Exports
3,-0.00333992391214246,0.00294080149257354,0.256074217227388,4917,Phoenix,Pol_Agg,Trade_Exports
4,-0.00333134907697498,0.00285180352536965,0.242744173422053,4892,Phoenix,Pol_Agg,Trade_Exports
5,-0.00337567341187202,0.00322237095517661,0.294834724099907,4867,Phoenix,Pol_Agg,Trade_Exports
6,-0.00362689184817641,0.00398386585847937,0.362614195301732,4842,Phoenix,Pol_Agg,Trade_Exports
0,0.0019528705376619,0.0076445783358369,0.798369192384494,4992,Phoenix,Pol_Agg,Trade_Imports
1,0.0022270826189235,0.00625223435486675,0.72168639133579,4967,Phoenix,Pol_Agg,Trade_Imports
2,0.00530583021658949,0.00614443922027916,0.387853053596487,4942,Phoenix,Pol_Agg,Trade_Imports
3,0.00548993747066915,0.00581530375986811,0.345144102057917,4917,Phoenix,Pol_Agg,Trade_Imports
4,0.00650869526209109,0.00613519897871207,0.288745523360865,4892,Phoenix,Pol_Agg,Trade_Imports
5,0.00569297471451252,0.005883842871805,0.333263847630971,4867,Phoenix,Pol_Agg,Trade_Imports
6,0.00281579834229239,0.00566766819686631,0.619317554496432,4842,Phoenix,Pol_Agg,Trade_Imports
0,-0.000752276769522611,0.00413260963390058,0.855555795226147,4990,Phoenix,Pol_CHN_Partner,Trade_Total
1,-0.00368967704581556,0.00395194144666789,0.350491396008716,4965,Phoenix,Pol_CHN_Partner,Trade_Total
2,-0.00113311126530283,0.00387599097706669,0.770025876903887,4940,Phoenix,Pol_CHN_Partner,Trade_Total
3,-0.000492662556585249,0.00305132461906991,0.871732227403154,4915,Phoenix,Pol_CHN_Partner,Trade_Total
4,0.0010332480156758,0.00313853166518389,0.741994073703103,4890,Phoenix,Pol_CHN_Partner,Trade_Total
5,0.000471955278714696,0.0030004410314679,0.87501212249192,4865,Phoenix,Pol_CHN_Partner,Trade_Total
6,0.00197581814749909,0.0032314639627297,0.540914099666614,4840,Phoenix,Pol_CHN_Partner,Trade_Total
0,-0.0058773485836573,0.00433676318284742,0.175341570836828,4990,Phoenix,Pol_CHN_Partner,Trade_Exports
1,-0.00821659061034911,0.00426834786862094,0.0542287438157936,4965,Phoenix,Pol_CHN_Partner,Trade_Exports
