h,estimate,se,pvalue,n,n_country,window_id,window_length,window_midpoint,db,trade,lag_order
0,-0.000428703241658919,0.00184969686441248,0.816717079347382,693,22,1,36,2003-07-01,GDELT,Trade_Total,3
1,-0.00223095523237527,0.00180179069080373,0.215646438073384,693,22,1,36,2003-07-01,GDELT,Trade_Total,3
2,-0.000726850127071853,0.0032324703012222,0.822088944679232,693,22,1,36,2003-07-01,GDELT,Trade_Total,3
3,0.00279222589002007,0.00318599851837311,0.380809754691262,693,22,1,36,2003-07-01,GDELT,Trade_Total,3
0,-0.0010615175114022,0.00184800504701201,0.565688581823285,627,22,1,36,2003-07-01,GDELT,Trade_Total,6
1,-0.00289366947061995,0.00178099991684702,0.104217052932697,627,22,1,36,2003-07-01,GDELT,Trade_Total,6
2,0.00103151613691947,0.00287871799771764,0.720100238507076,627,22,1,36,2003-07-01,GDELT,Trade_Total,6
3,0.00360802325582075,0.00304957369719916,0.236760082193706,627,22,1,36,2003-07-01,GDELT,Trade_Total,6
4,3.46399524229998e-05,0.00301098921249115,0.99082093238918,627,22,1,36,2003-07-01,GDELT,Trade_Total,6
5,-0.000219094206673799,0.0017524098210748,0.900504133994033,627,22,1,36,2003-07-01,GDELT,Trade_Total,6
6,-0.00127261350954088,0.00204229888753988,0.533200447000675,627,22,1,36,2003-07-01,GDELT,Trade_Total,6
0,0.00399932511986205,0.00216836862967328,0.065125806278512,498,21,1,36,2003-07-01,GDELT,Trade_Total,12
1,-9.21181571074501e-05,0.00196106003280592,0.962534224732958,498,21,1,36,2003-07-01,GDELT,Trade_Total,12
2,0.00111928471988646,0.00317383606613391,0.724343422906406,498,21,1,36,2003-07-01,GDELT,Trade_Total,12
3,0.00311021094589225,0.00304257060537632,0.306671433564135,498,21,1,36,2003-07-01,GDELT,Trade_Total,12
4,0.00215824387766297,0.00304142766992417,0.47794267422907,498,21,1,36,2003-07-01,GDELT,Trade_Total,12
5,0.000943452586535707,0.00199722666929792,0.636654629506464,498,21,1,36,2003-07-01,GDELT,Trade_Total,12
6,0.000375690224237285,0.00216029625939552,0.861938703085535,498,21,1,36,2003-07-01,GDELT,Trade_Total,12
7,-0.000207623805305614,0.00289148657757829,0.942756925337199,498,21,1,36,2003-07-01,GDELT,Trade_Total,12
8,0.00100096379928778,0.0026368763156997,0.704240798238552,498,21,1,36,2003-07-01,GDELT,Trade_Total,12
9,0.000578801256399802,0.00283307698107137,0.838118068992387,498,21,1,36,2003-07-01,GDELT,Trade_Total,12
10,-0.00236022529306158,0.00317140323367011,0.456742707801466,498,21,1,36,2003-07-01,GDELT,Trade_Total,12
11,0.000621542897786164,0.00386086400706459,0.87210486686723,498,21,1,36,2003-07-01,GDELT,Trade_Total,12
12,0.00369498103763701,0.00289239495074556,0.201432308010138,498,21,1,36,2003-07-01,GDELT,Trade_Total,12
0,0.00144021751506796,0.00251585923052004,0.567013408711505,693,22,1,36,2003-07-01,GDELT,Trade_Exports,3
1,-0.000273544902831931,0.00213975142126544,0.898275934178977,693,22,1,36,2003-07-01,GDELT,Trade_Exports,3
2,0.00356020536741887,0.00271425480510655,0.189631656506162,693,22,1,36,2003-07-01,GDELT,Trade_Exports,3
3,0.00698505404462215,0.00277777128681158,0.0119158940740883,693,22,1,36,2003-07-01,GDELT,Trade_Exports,3
0,0.000380302591004103,0.00258803123066072,0.883174108360006,627,22,1,36,2003-07-01,GDELT,Trade_Exports,6
1,-0.00268238775247501,0.00247498220352243,0.278453119636769,627,22,1,36,2003-07-01,GDELT,Trade_Exports,6
2,0.00378335365013023,0.00308105386462359,0.219468960169655,627,22,1,36,2003-07-01,GDELT,Trade_Exports,6
3,0.0063239982466844,0.00289941725005426,0.0291739988484412,627,22,1,36,2003-07-01,GDELT,Trade_Exports,6
4,0.00207783845345368,0.00242589745898896,0.391708218123899,627,22,1,36,2003-07-01,GDELT,Trade_Exports,6
5,0.000250444714993519,0.00187097468982396,0.893514953344825,627,22,1,36,2003-07-01,GDELT,Trade_Exports,6
6,-0.00375793537169006,0.00261725662795156,0.1510507441049,627,22,1,36,2003-07-01,GDELT,Trade_Exports,6
0,0.00323956591327775,0.00251763478748524,0.198181529411014,498,21,1,36,2003-07-01,GDELT,Trade_Exports,12
1,-0.00389807486928645,0.00320747997644837,0.224248785183497,498,21,1,36,2003-07-01,GDELT,Trade_Exports,12
2,0.0023560989449686,0.00321674568473544,0.463895170201182,498,21,1,36,2003-07-01,GDELT,Trade_Exports,12
3,0.00500440902425302,0.003100712650507,0.10653730367271,498,21,1,36,2003-07-01,GDELT,Trade_Exports,12
