window_length,window_id,window_midpoint,db,trade,lag_order,avg_response_lag,immediate_share,peak_lag,sig_lags_count,sum_abs_coef,n,n_country
36,1,2003-07-01,GDELT,Trade_Total,3,1.95207176710727,0.0693836646120046,3,0,0.00617873449112611,693,22
36,1,2003-07-01,GDELT,Trade_Total,6,2.43556003113148,0.104881903526278,3,0,0.0101210740434,627,22
36,1,2003-07-01,GDELT,Trade_Total,12,5.76015767032524,0.197376053326814,0,0,0.0202624637206621,498,21
36,1,2003-07-01,GDELT,Trade_Exports,3,2.31251058728825,0.117482253889983,3,1,0.0122590218299409,693,22
36,1,2003-07-01,GDELT,Trade_Exports,6,3.18505654400151,0.0197495554999225,3,1,0.019256260780431,627,22
36,1,2003-07-01,GDELT,Trade_Exports,12,5.82120371485674,0.0786194104845284,12,0,0.041205675459946,498,21
36,1,2003-07-01,GDELT,Trade_Imports,3,1.08658808138833,0.289209237003705,1,0,0.0104689959779983,693,22
36,1,2003-07-01,GDELT,Trade_Imports,6,2.36383529333784,0.288290868630712,0,0,0.0128230792235181,627,22
36,1,2003-07-01,GDELT,Trade_Imports,12,6.46844232896576,0.0639831393622688,9,0,0.0365371832772438,498,21
36,1,2003-07-01,ICEWS,Trade_Total,3,0.632705340343753,0.514307343838687,0,0,0.0108051410940487,691,22
36,1,2003-07-01,ICEWS,Trade_Total,6,2.59983998289124,0.226274268222589,0,0,0.0193536265306169,625,22
36,1,2003-07-01,ICEWS,Trade_Total,12,7.35742235602561,0.120758869139147,12,1,0.0458266227830733,496,21
36,1,2003-07-01,ICEWS,Trade_Exports,3,0.867958758867525,0.340448838950051,1,1,0.0163630889331357,691,22
36,1,2003-07-01,ICEWS,Trade_Exports,6,1.69146972570287,0.294274283297341,0,1,0.0203884284663677,625,22
36,1,2003-07-01,ICEWS,Trade_Exports,12,6.28530179335235,0.175417007336951,12,3,0.0558208125845472,496,21
36,1,2003-07-01,ICEWS,Trade_Imports,3,0.584997888724431,0.610803048305974,0,0,0.00496898728662228,691,22
36,1,2003-07-01,ICEWS,Trade_Imports,6,4.21860261398679,0.0384952807303105,5,0,0.0241459019964514,625,22
36,1,2003-07-01,ICEWS,Trade_Imports,12,6.62083614202157,0.0267016716793263,7,0,0.0540984635201514,496,21
36,1,2003-07-01,Phoenix,Trade_Total,3,0.655836759268948,0.478720110729503,0,2,0.0325568501862768,678,22
36,1,2003-07-01,Phoenix,Trade_Total,6,2.05974479211333,0.317522496347029,0,2,0.0467473128963755,612,22
36,1,2003-07-01,Phoenix,Trade_Total,12,5.4713468278766,0.194886214007506,0,5,0.0873418624947579,483,21
36,1,2003-07-01,Phoenix,Trade_Exports,3,0.788450473754401,0.392499153884415,1,2,0.0320660051191464,678,22
36,1,2003-07-01,Phoenix,Trade_Exports,6,2.01286985857582,0.294660815550985,1,2,0.0459763914132386,612,22
36,1,2003-07-01,Phoenix,Trade_Exports,12,5.47975748928799,0.173853028137114,0,4,0.0875186200612202,483,21
36,1,2003-07-01,Phoenix,Trade_Imports,3,0.698017466842598,0.522276928417173,0,0,0.0294334975080814,678,22
36,1,2003-07-01,Phoenix,Trade_Imports,6,2.5419853446708,0.230032782739595,0,0,0.0561487188522547,612,22
36,1,2003-07-01,Phoenix,Trade_Imports,12,4.74891011089577,0.162527126397307,0,2,0.0935969892037351,483,21
36,1,2003-07-01,Tsinghua,Trade_Total,3,1.92097418089871,0.0208333806902819,2,0,0.0128887926429874,322,11
36,1,2003-07-01,Tsinghua,Trade_Total,6,3.84166782498529,0.00787180276402697,6,1,0.0310278385897348,289,11
36,1,2003-07-01,Tsinghua,Trade_Total,12,6.2052497538482,0.00353366857879126,6,3,0.0719372783533914,227,10
36,1,2003-07-01,Tsinghua,Trade_Exports,3,0.984975047596383,0.332303203886669,1,0,0.0204238398066854,322,11
36,1,2003-07-01,Tsinghua,Trade_Exports,6,3.69499520209103,0.0861113748487284,5,1,0.0482605350318659,289,11
36,1,2003-07-01,Tsinghua,Trade_Exports,12,5.45108443812507,0.0613911033741377,5,0,0.0835932271025899,227,10
36,1,2003-07-01,Tsinghua,Trade_Imports,3,1.69268384518258,0.302726470074036,3,0,0.0221108996964221,322,11
36,1,2003-07-01,Tsinghua,Trade_Imports,6,3.74007355111935,0.153492085935585,3,0,0.0326794129707163,289,11
36,1,2003-07-01,Tsinghua,Trade_Imports,12,6.18585276376153,0.0524082455994839,8,0,0.0741334930052104,227,10
36,2,2004-07-01,GDELT,Trade_Total,3,1.09026083672597,0.393753407434871,0,2,0.0184009951294188,783,23
36,2,2004-07-01,GDELT,Trade_Total,6,2.10142356140561,0.294226044955313,0,3,0.0259173990598311,777,23
36,2,2004-07-01,GDELT,Trade_Total,12,3.79054819364368,0.219699209436712,0,5,0.0354630312506749,759,22
36,2,2004-07-01,GDELT,Trade_Exports,3,1.37115537847721,0.308998131695087,0,0,0.0128821749689788,783,23
36,2,2004-07-01,GDELT,Trade_Exports,6,2.81849640108891,0.206403889681496,0,0,0.0218224628928271,777,23
36,2,2004-07-01,GDELT,Trade_Exports,12,5.15436128386101,0.142169881460593,0,0,0.0311341160967136,759,22
36,2,2004-07-01,GDELT,Trade_Imports,3,1.0431124991242,0.396876442172396,0,1,0.0200263204920095,783,23
36,2,2004-07-01,GDELT,Trade_Imports,6,2.09623315934695,0.284312756683348,0,1,0.0281332869286564,777,23
36,2,2004-07-01,GDELT,Trade_Imports,12,4.16234732054008,0.189010911302019,0,1,0.0439717060184225,759,22
36,2,2004-07-01,ICEWS,Trade_Total,3,1.05259901831082,0.322653435390663,1,3,0.0259865213428723,783,23
36,2,2004-07-01,ICEWS,Trade_Total,6,2.33041798330697,0.235894598205078,1,4,0.0355337800030475,777,23
36,2,2004-07-01,ICEWS,Trade_Total,12,5.77718945547574,0.126102478326575,12,6,0.0628593109377661,757,22
36,2,2004-07-01,ICEWS,Trade_Exports,3,0.765787527951573,0.38496480882717,1,2,0.0277653703989405,783,23
36,2,2004-07-01,ICEWS,Trade_Exports,6,1.83188111523146,0.296284551783563,1,2,0.0360881380205058,777,23
36,2,2004-07-01,ICEWS,Trade_Exports,12,5.51035186180024,0.15180407429279,1,3,0.0683264273000876,757,22
36,2,2004-07-01,ICEWS,Trade_Imports,3,1.85271190738616,0.0211664469301598,2,1,0.014293617713037,783,23
36,2,2004-07-01,ICEWS,Trade_Imports,6,3.71568517088416,0.0193712031525652,2,1,0.029967179645029,777,23
36,2,2004-07-01,ICEWS,Trade_Imports,12,5.63082685230363,0.00793785480119371,7,0,0.0465477836860391,757,22
36,2,2004-07-01,Phoenix,Trade_Total,3,0.955661386430674,0.451499116770306,0,2,0.035196986602095,783,23
36,2,2004-07-01,Phoenix,Trade_Total,6,2.6399444923399,0.286562297667508,0,3,0.0529241203965903,777,23
36,2,2004-07-01,Phoenix,Trade_Total,12,5.86552338427157,0.165122194558251,0,7,0.0897377195599238,744,22
36,2,2004-07-01,Phoenix,Trade_Exports,3,0.683732683533043,0.539517975889205,0,1,0.0251703883300774,783,23
36,2,2004-07-01,Phoenix,Trade_Exports,6,2.41481477992903,0.343485609768639,0,1,0.0388241840352701,777,23
36,2,2004-07-01,Phoenix,Trade_Exports,12,6.6884139792706,0.131783859615984,9,4,0.0904216454838031,744,22
