window_length,lag_order,db,trade,r,n
36,3,GDELT,Trade_Exports,0.219311076744055,20
36,6,GDELT,Trade_Exports,0.135492173393011,20
36,12,GDELT,Trade_Exports,0.127872655696548,20
60,3,GDELT,Trade_Exports,0.669059149748702,20
60,6,GDELT,Trade_Exports,1,20
60,12,GDELT,Trade_Exports,0.427241113735125,20
36,3,GDELT,Trade_Imports,-0.0151973272780973,20
36,6,GDELT,Trade_Imports,0.318740558424326,20
36,12,GDELT,Trade_Imports,0.521285572070823,20
60,3,GDELT,Trade_Imports,0.337901113852712,20
60,6,GDELT,Trade_Imports,1,20
60,12,GDELT,Trade_Imports,0.705778121963786,20
36,3,GDELT,Trade_Total,0.142354450708564,20
36,6,GDELT,Trade_Total,0.233203696831497,20
36,12,GDELT,Trade_Total,0.429375902835497,20
60,3,GDELT,Trade_Total,0.566036397192829,20
60,6,GDELT,Trade_Total,1,20
60,12,GDELT,Trade_Total,0.519865289739581,20
36,3,ICEWS,Trade_Exports,0.28303257648819,20
36,6,ICEWS,Trade_Exports,0.46344661926257,20
36,12,ICEWS,Trade_Exports,-0.175971004378788,20
60,3,ICEWS,Trade_Exports,0.153000206378544,20
60,6,ICEWS,Trade_Exports,1,20
60,12,ICEWS,Trade_Exports,0.638961407951206,20
36,3,ICEWS,Trade_Imports,0.292998604067893,20
36,6,ICEWS,Trade_Imports,0.468400077408101,20
36,12,ICEWS,Trade_Imports,0.0646671843725346,20
60,3,ICEWS,Trade_Imports,0.482503080812453,20
60,6,ICEWS,Trade_Imports,1,20
60,12,ICEWS,Trade_Imports,0.312906972618826,20
36,3,ICEWS,Trade_Total,-0.0817435128398206,20
36,6,ICEWS,Trade_Total,0.152573537765434,20
36,12,ICEWS,Trade_Total,0.317252299398201,20
60,3,ICEWS,Trade_Total,-0.220804883553958,20
60,6,ICEWS,Trade_Total,1,20
60,12,ICEWS,Trade_Total,0.567013508349979,20
36,3,Phoenix,Trade_Exports,0.108209476694763,17
36,6,Phoenix,Trade_Exports,-0.349609721469912,17
36,12,Phoenix,Trade_Exports,0.201011912647494,17
60,3,Phoenix,Trade_Exports,0.273170818374254,18
60,6,Phoenix,Trade_Exports,1,18
60,12,Phoenix,Trade_Exports,0.438142929061118,18
36,3,Phoenix,Trade_Imports,0.170640298220661,17
36,6,Phoenix,Trade_Imports,0.295987044994114,17
36,12,Phoenix,Trade_Imports,0.127907873394322,17
60,3,Phoenix,Trade_Imports,0.590516892234907,18
60,6,Phoenix,Trade_Imports,1,18
60,12,Phoenix,Trade_Imports,0.223489555106284,18
36,3,Phoenix,Trade_Total,0.440837214167779,17
36,6,Phoenix,Trade_Total,0.658140419163731,17
36,12,Phoenix,Trade_Total,0.690623165348766,17
60,3,Phoenix,Trade_Total,0.628302103627057,18
60,6,Phoenix,Trade_Total,1,18
60,12,Phoenix,Trade_Total,0.504302906352124,18
36,3,Tsinghua,Trade_Exports,0.652052919087155,20
36,6,Tsinghua,Trade_Exports,0.567972961092582,20
36,12,Tsinghua,Trade_Exports,0.222156298714811,20
60,3,Tsinghua,Trade_Exports,0.438354831032937,20
60,6,Tsinghua,Trade_Exports,1,20
60,12,Tsinghua,Trade_Exports,0.586710951919666,20
36,3,Tsinghua,Trade_Imports,0.100251506202621,20
36,6,Tsinghua,Trade_Imports,0.441546019596553,20
36,12,Tsinghua,Trade_Imports,0.293934688581498,20
60,3,Tsinghua,Trade_Imports,0.472416659942318,20
60,6,Tsinghua,Trade_Imports,1,20
60,12,Tsinghua,Trade_Imports,0.0548296020347117,20
36,3,Tsinghua,Trade_Total,0.427184445547874,20
36,6,Tsinghua,Trade_Total,0.452675125819782,20
36,12,Tsinghua,Trade_Total,0.0758398562061277,20
60,3,Tsinghua,Trade_Total,0.764550079032848,20
60,6,Tsinghua,Trade_Total,1,20
60,12,Tsinghua,Trade_Total,0.383583875669578,20
84,3,GDELT,Trade_Exports,0.316758540032178,18
84,6,GDELT,Trade_Exports,0.368636976500333,18
