h,estimate,se,pvalue,n,n_country,db,trade,pol_var,window_id,window_label
0,0.00985771848412148,0.00417053764413263,0.0180955810959599,6535,25,GDELT,Trade_Total,Pol_Agg,0,Full Sample
1,0.00584555466293059,0.00249330331862942,0.0190525074035484,6535,25,GDELT,Trade_Total,Pol_Agg,0,Full Sample
2,0.00548724661241329,0.0023714289049315,0.0206732713029734,6535,25,GDELT,Trade_Total,Pol_Agg,0,Full Sample
3,0.00452393855772407,0.00266074224956176,0.0890830949539422,6535,25,GDELT,Trade_Total,Pol_Agg,0,Full Sample
4,0.0067429275527008,0.00307085459113339,0.0281075432379456,6535,25,GDELT,Trade_Total,Pol_Agg,0,Full Sample
5,0.00796927657618116,0.00372596805798064,0.0324480404323416,6535,25,GDELT,Trade_Total,Pol_Agg,0,Full Sample
6,0.0104448213504733,0.00461919427330332,0.0237482250381625,6535,25,GDELT,Trade_Total,Pol_Agg,0,Full Sample
0,0.00824663391055132,0.0039249063396116,0.0356318937395374,6535,25,GDELT,Trade_Total,Pol_CHN_Partner,0,Full Sample
1,0.00495855788978804,0.00255777964022261,0.0525478587092201,6535,25,GDELT,Trade_Total,Pol_CHN_Partner,0,Full Sample
2,0.00386484219772106,0.00272288361051898,0.155784444132324,6535,25,GDELT,Trade_Total,Pol_CHN_Partner,0,Full Sample
3,0.00330467960881022,0.00259181982088397,0.202294310902574,6535,25,GDELT,Trade_Total,Pol_CHN_Partner,0,Full Sample
4,0.00555398423134158,0.0027237418690359,0.041439968127866,6535,25,GDELT,Trade_Total,Pol_CHN_Partner,0,Full Sample
5,0.00579148584392662,0.00386845497809355,0.134365767202384,6535,25,GDELT,Trade_Total,Pol_CHN_Partner,0,Full Sample
6,0.00855462232354638,0.00461649762814781,0.0638745282566527,6535,25,GDELT,Trade_Total,Pol_CHN_Partner,0,Full Sample
0,0.0100237005074742,0.00420290285830443,0.0170815826823355,6535,25,GDELT,Trade_Total,Pol_Partner_CHN,0,Full Sample
1,0.00642418158598966,0.00259778367422809,0.0134003979534997,6535,25,GDELT,Trade_Total,Pol_Partner_CHN,0,Full Sample
2,0.00571055755962244,0.00241977459759755,0.0182771845872157,6535,25,GDELT,Trade_Total,Pol_Partner_CHN,0,Full Sample
3,0.00547662256659046,0.00295084839251966,0.0634609029452262,6535,25,GDELT,Trade_Total,Pol_Partner_CHN,0,Full Sample
4,0.00747856700173771,0.00321246446097334,0.0199129345007025,6535,25,GDELT,Trade_Total,Pol_Partner_CHN,0,Full Sample
5,0.00986820006188475,0.00324215502793625,0.00233675400206077,6535,25,GDELT,Trade_Total,Pol_Partner_CHN,0,Full Sample
6,0.0111037595834783,0.00435162881187707,0.0107219399569829,6535,25,GDELT,Trade_Total,Pol_Partner_CHN,0,Full Sample
0,0.00919996640892591,0.00277517209879128,0.000916111274799316,6535,25,GDELT,Trade_Exports,Pol_Agg,0,Full Sample
1,0.00541756897776227,0.00244308505763205,0.0265881645939606,6535,25,GDELT,Trade_Exports,Pol_Agg,0,Full Sample
2,0.00498028362187508,0.00250620520095978,0.0469023309028204,6535,25,GDELT,Trade_Exports,Pol_Agg,0,Full Sample
3,0.00502110363667814,0.00297939416840426,0.0919351947546357,6535,25,GDELT,Trade_Exports,Pol_Agg,0,Full Sample
4,0.00699413237603095,0.00279709420234034,0.012401834293394,6535,25,GDELT,Trade_Exports,Pol_Agg,0,Full Sample
5,0.00730900380229791,0.00376332291683089,0.0521168151583153,6535,25,GDELT,Trade_Exports,Pol_Agg,0,Full Sample
