h,estimate,se,pvalue,n,n_country,window_id,db,trade,pol_var
0,0.00330116635579018,0.00157512087814089,0.0360983577244913,1173,23,1,GDELT,Trade_Total,Pol_Agg
1,0.001156842175275,0.00284272113062177,0.684045535614152,1173,23,1,GDELT,Trade_Total,Pol_Agg
2,0.00297079685570265,0.00150783337889427,0.0488106266689066,1173,23,1,GDELT,Trade_Total,Pol_Agg
3,2.01484947456624e-05,0.00132057414453619,0.987826848460353,1173,23,1,GDELT,Trade_Total,Pol_Agg
4,0.00271021223567227,0.00185847641612964,0.144758451660802,1173,23,1,GDELT,Trade_Total,Pol_Agg
5,0.00225744310493718,0.00168015836475448,0.179081172959644,1173,23,1,GDELT,Trade_Total,Pol_Agg
6,0.000981123407430831,0.00124300456067443,0.429927328190377,1173,23,1,GDELT,Trade_Total,Pol_Agg
0,0.0044383707240321,0.00168334878946355,0.00837336973964286,1173,23,1,GDELT,Trade_Total,Pol_CHN_Partner
1,0.00180221337037254,0.00278386291748233,0.517386921130952,1173,23,1,GDELT,Trade_Total,Pol_CHN_Partner
2,0.00149935022375853,0.00136830065658434,0.273177068684666,1173,23,1,GDELT,Trade_Total,Pol_CHN_Partner
3,-0.00129337318568975,0.00168170691213566,0.441843690525588,1173,23,1,GDELT,Trade_Total,Pol_CHN_Partner
4,0.00163512974304358,0.00164966377303228,0.321592958256906,1173,23,1,GDELT,Trade_Total,Pol_CHN_Partner
5,0.00135506714018529,0.00179904680316179,0.451321360742066,1173,23,1,GDELT,Trade_Total,Pol_CHN_Partner
6,0.00134084477142324,0.00246445049162002,0.586390178673582,1173,23,1,GDELT,Trade_Total,Pol_CHN_Partner
0,0.00322778231817744,0.00123303668415817,0.00885115122763199,1173,23,1,GDELT,Trade_Total,Pol_Partner_CHN
1,0.0010122369021993,0.00203174093251291,0.618334906732438,1173,23,1,GDELT,Trade_Total,Pol_Partner_CHN
2,0.00215736023090862,0.00113020370751247,0.0562847690034175,1173,23,1,GDELT,Trade_Total,Pol_Partner_CHN
3,0.000861281696588833,0.000976550094805777,0.377796458877835,1173,23,1,GDELT,Trade_Total,Pol_Partner_CHN
4,0.00233860476150353,0.00186031563118993,0.208717041516925,1173,23,1,GDELT,Trade_Total,Pol_Partner_CHN
5,0.00266452612656238,0.00146696473950118,0.0693162064334231,1173,23,1,GDELT,Trade_Total,Pol_Partner_CHN
6,0.00105602219114292,0.00142929481791761,0.460003306361223,1173,23,1,GDELT,Trade_Total,Pol_Partner_CHN
0,0.00086074470473517,0.00239965802101767,0.719823465390158,1173,23,1,GDELT,Trade_Exports,Pol_Agg
1,0.00123947641911083,0.00250226229287581,0.620358499912961,1173,23,1,GDELT,Trade_Exports,Pol_Agg
2,0.00226612759131708,0.00218188822689047,0.298986865350653,1173,23,1,GDELT,Trade_Exports,Pol_Agg
3,0.000288012880271474,0.00158970065412031,0.856230777725178,1173,23,1,GDELT,Trade_Exports,Pol_Agg
4,0.00166413096483487,0.0020562101874889,0.418331402659872,1173,23,1,GDELT,Trade_Exports,Pol_Agg
5,0.000184214703411054,0.00202421337386023,0.927488160682322,1173,23,1,GDELT,Trade_Exports,Pol_Agg
6,-0.000507335936567299,0.00268414459924276,0.850083295585004,1173,23,1,GDELT,Trade_Exports,Pol_Agg
0,0.00357071237194207,0.00214616847234103,0.0961601104041127,1173,23,1,GDELT,Trade_Exports,Pol_CHN_Partner
1,0.00330059459011045,0.00276441698870564,0.232494848924011,1173,23,1,GDELT,Trade_Exports,Pol_CHN_Partner
2,0.000509471306449856,0.0015070930841229,0.73532626418658,1173,23,1,GDELT,Trade_Exports,Pol_CHN_Partner
3,0.00015370115807521,0.00143894112919603,0.914935382645248,1173,23,1,GDELT,Trade_Exports,Pol_CHN_Partner
4,0.0013519914369875,0.00190220477138818,0.477239366494516,1173,23,1,GDELT,Trade_Exports,Pol_CHN_Partner
5,-0.000750903870289462,0.00204130504994984,0.712981501552008,1173,23,1,GDELT,Trade_Exports,Pol_CHN_Partner
6,-0.00144847343946488,0.00330304541960885,0.66100455645603,1173,23,1,GDELT,Trade_Exports,Pol_CHN_Partner
0,-0.000171413972311446,0.0019106268325693,0.928512828101471,1173,23,1,GDELT,Trade_Exports,Pol_Partner_CHN
1,-0.000402158752811024,0.00165420406159,0.807917747984501,1173,23,1,GDELT,Trade_Exports,Pol_Partner_CHN
2,0.00070638292760732,0.00161548069111492,0.661923770013798,1173,23,1,GDELT,Trade_Exports,Pol_Partner_CHN
3,-0.00148977925598351,0.00126330328011805,0.238289546756606,1173,23,1,GDELT,Trade_Exports,Pol_Partner_CHN
4,0.000482213311254635,0.00248118096516007,0.845903165874113,1173,23,1,GDELT,Trade_Exports,Pol_Partner_CHN
5,0.000242181687416781,0.00188368790221494,0.897699613931735,1173,23,1,GDELT,Trade_Exports,Pol_Partner_CHN
6,-0.000110588509516147,0.00196925620706334,0.955216336143851,1173,23,1,GDELT,Trade_Exports,Pol_Partner_CHN
0,0.00613766965408272,0.00252519464815793,0.0150749734926324,1173,23,1,GDELT,Trade_Imports,Pol_Agg
