label,n,cum,h0,h0p
GD_-Total,6535,0.0616669359372328,0.0108974419041395,0.0113636091507381
GD_abs-Total,6535,-0.0637018720646689,-0.0101887633977572,0.0730793474357703
GD_C2P-Total,6535,0.0551625155544231,0.00989449182914161,0.0166991256704536
GD_C2P_abs-Total,6535,-0.0576844089779433,-0.00987979393352983,0.129285362649324
GD_P2C-Total,6535,0.070700713533551,0.0114441146551063,0.0108870557387431
GD_P2C_abs-Total,6535,-0.0680410223278391,-0.0116146232612862,0.0283938586012064
GD_-Exports,6535,0.0678045154434463,0.0120229768373395,0.000391439742562281
GD_abs-Exports,6535,-0.0842911205395966,-0.0149496009947798,0.00351146584780031
GD_C2P-Exports,6535,0.0640840313522462,0.0119970600468058,0.00124657176175126
GD_C2P_abs-Exports,6535,-0.0851709993905742,-0.0157258192866093,0.00169555829378027
GD_P2C-Exports,6535,0.0765037044283996,0.0120341068758362,0.000961147965710414
GD_P2C_abs-Exports,6535,-0.0852849941771671,-0.0156028946953731,0.00454255748403747
GD_-Imports,6535,0.0688944041639755,0.0129501271717054,0.0680605695694071
GD_abs-Imports,6535,-0.0552327186511143,-0.00736447752001915,0.367679003260267
GD_C2P-Imports,6535,0.0584686738805035,0.0105584753620695,0.11424869516599
GD_C2P_abs-Imports,6535,-0.044655894576158,-0.0069099124945175,0.477163006003326
GD_P2C-Imports,6535,0.0769453054660101,0.0135043457816504,0.0523306666015122
GD_P2C_abs-Imports,6535,-0.0575627861931726,-0.00827170651777854,0.303919601603849
IW_-Total,5855,0.00610015643646431,0.00355365510404204,0.351679612917969
IW_abs-Total,5855,-0.0153778249838564,-0.00598157674258238,0.251999434488251
IW_C2P-Total,5847,0.000572000686378556,0.00189584940972667,0.64362699966413
IW_C2P_abs-Total,5847,0.0203415875132906,-0.0012375928304488,0.770344381958921
IW_P2C-Total,5853,0.0189570792362158,0.00431565663981292,0.187476410054565
IW_P2C_abs-Total,5853,-0.0428886117668204,-0.0112791258703433,0.00387404301194369
IW_-Exports,5855,0.0195513757884565,0.00740507728018209,0.0723640161142844
IW_abs-Exports,5855,-0.0399410071860038,-0.0097270770321914,0.00673920342494459
IW_C2P-Exports,5847,0.0139556407591536,0.00612230638221538,0.153806427482306
IW_C2P_abs-Exports,5847,-0.00144125510869763,-0.00208965778320632,0.631525102027841
IW_P2C-Exports,5853,0.0289362396764951,0.00833937691871746,0.00246321752456701
IW_P2C_abs-Exports,5853,-0.0531504072276017,-0.015225768192414,3.42552890972567e-06
IW_-Imports,5855,-0.000128534400958368,0.000986378894098185,0.820316632005085
IW_abs-Imports,5855,0.0110927642624572,-0.00243111742026778,0.786341649574501
IW_C2P-Imports,5847,-0.00560532536788098,-0.00144496255816115,0.782002696724814
IW_C2P_abs-Imports,5847,0.0386187715836651,-0.00190157179665464,0.777510788583367
IW_P2C-Imports,5853,0.0173912189184731,0.00203155341686472,0.651460775292394
IW_P2C_abs-Imports,5853,-0.039357809997192,-0.00794824571305957,0.191182382450987
PH_-Total,4617,0.000894961416226527,-0.00219769246385087,0.209797629833635
PH_abs-Total,4617,0.0155018370874812,0.00681513202690532,0.0119181364116266
PH_C2P-Total,4615,0.00680445619406372,0.00196956090579874,0.349039483506081
PH_C2P_abs-Total,4615,0.00140043744988929,0.000338672764863253,0.91013529103858
PH_P2C-Total,4573,-0.00167060141012953,-0.000989498609260735,0.586564476100033
PH_P2C_abs-Total,4573,0.0141701217648168,0.00490499980541472,0.102634239674207
PH_-Exports,4617,-0.0180392737055351,-0.00536058944288582,0.00970971580225061
PH_abs-Exports,4617,0.0156381695179173,0.00634784823027823,0.0294151939961695
PH_C2P-Exports,4615,-0.00887225977562066,-0.00168251757466117,0.505175850560962
PH_C2P_abs-Exports,4615,0.00670337845851004,0.00136869666242696,0.641288426810676
PH_P2C-Exports,4573,-0.0162430434193869,-0.00020524265558484,0.890539773284824
PH_P2C_abs-Exports,4573,0.014235301066703,0.00100323329653758,0.735713350899228
PH_-Imports,4617,0.029068287063841,0.003401140259738,0.254526784443919
PH_abs-Imports,4617,0.0111426388800554,0.00776785766351461,0.110071837411307
PH_C2P-Imports,4615,0.0299217494463986,0.0072275132565965,0.0547122706081267
PH_C2P_abs-Imports,4615,-0.00854575833707764,-7.98215452215662e-05,0.986000203532397
PH_P2C-Imports,4573,0.0225024792914173,-0.000171223011852822,0.954389230999996
PH_P2C_abs-Imports,4573,0.010959997866982,0.00835191485443725,0.144552097355834
TS_-Total,3000,-0.0160052437734481,-0.00270845494912895,0.390662164385699
TS_abs-Total,3000,0.0168612796256599,0.00776801941901676,0.028167440547342
TS_-Exports,3000,-0.039053474897839,-0.00366568123459294,0.178108824694551
TS_abs-Exports,3000,0.0289547685711667,0.00861532851004853,0.0522118834573401
TS_-Imports,3000,0.00936979700696901,-0.00437961097936921,0.433862551798746
TS_abs-Imports,3000,0.00804427190653497,0.00844791966677853,0.105528748414186
