db,label,n,cum,cum_se,h0,h0p
GDELT,GD_AR-Total,6535,0.0721350172255771,0.0325550340222086,0.0103343421580004,0.0263563542396397
GDELT,GD_c-Export,6535,0.0501262390093195,0.0346191137427635,0.00991823368003983,0.027199586253351
GDELT,GD_p-Import,6535,0.108420683923924,0.0471552415039342,0.0138843259564469,0.0449423671365647
ICEWS,IW_AR-Total,5855,-0.00075293724497705,0.0259301994350501,0.00252528408769313,0.515057030794893
ICEWS,IW_c-Export,5847,0.0139258917672811,0.0279087001133924,0.00634600511135018,0.18122597208114
ICEWS,IW_p-Import,5853,0.0169978446413349,0.0361688973517161,0.000757033681990161,0.873656310624256
Phoenix,PH_AR-Total,4617,0.00752723032077452,0.0120655244256502,-0.00078463834328485,0.703262969312252
Phoenix,PH_c-Export,4615,-0.0114272109250197,0.0189805451455108,-0.00107492517705598,0.708654557966773
Phoenix,PH_p-Import,4573,0.0448758231499311,0.0186685512947107,0.00159620030356732,0.571551044721287
Tsinghua,TS_AR-Total,3000,-0.0160052437734481,0.0170656788401304,-0.00270845494912895,0.390662164385699
