db,spec,trade,h,Est,SE,pv,cum,n
ICEWS,IW-Total,Trade_Total,0,0.00212826788940315,0.00764677891967408,0.780765080376295,0.00127478213879355,6683
ICEWS,IW-Total,Trade_Total,1,-0.000948774872675007,0.00716417979861196,0.894641698462577,0.00127478213879355,6658
ICEWS,IW-Total,Trade_Total,2,0.00162921792335727,0.0063422976276994,0.797270374628928,0.00127478213879355,6633
ICEWS,IW-Total,Trade_Total,3,-0.00103693508267367,0.00663623479926247,0.875833187660994,0.00127478213879355,6608
ICEWS,IW-Total,Trade_Total,4,-0.00094701005756272,0.00688348865644482,0.890574695105166,0.00127478213879355,6583
ICEWS,IW-Total,Trade_Total,5,-0.000424611980244554,0.00732813173300023,0.953794244285338,0.00127478213879355,6558
ICEWS,IW-Total,Trade_Total,6,0.000874628319189074,0.00697867624426441,0.90026334359115,0.00127478213879355,6533
ICEWS,IW-Total,Trade_Exports,0,0.0099090575805811,0.00662256692618329,0.134586874511605,0.0418601180847109,6683
ICEWS,IW-Total,Trade_Exports,1,0.00625768735123351,0.00592380524792672,0.290802506010236,0.0418601180847109,6658
ICEWS,IW-Total,Trade_Exports,2,0.00753924321710947,0.00455740387910063,0.0980696931927164,0.0418601180847109,6633
ICEWS,IW-Total,Trade_Exports,3,0.0044108425033917,0.00594701922681506,0.458275402844792,0.0418601180847109,6608
ICEWS,IW-Total,Trade_Exports,4,0.00381407330276137,0.00520576856494953,0.463764079460343,0.0418601180847109,6583
ICEWS,IW-Total,Trade_Exports,5,0.00430320495409113,0.00626178527560407,0.491946027098323,0.0418601180847109,6558
ICEWS,IW-Total,Trade_Exports,6,0.00562600917554267,0.00587210934088296,0.338017382970899,0.0418601180847109,6533
ICEWS,IW-Total,Trade_Imports,0,-0.00410617081731099,0.0101017221210671,0.6843882905248,-0.0262975281493782,6683
ICEWS,IW-Total,Trade_Imports,1,-0.00583810838584248,0.0100647970269105,0.561879367979442,-0.0262975281493782,6658
ICEWS,IW-Total,Trade_Imports,2,-0.00304423193064387,0.00967227357748478,0.752960598296106,-0.0262975281493782,6633
ICEWS,IW-Total,Trade_Imports,3,-0.00384545976016431,0.00943552260478452,0.683603104310671,-0.0262975281493782,6608
ICEWS,IW-Total,Trade_Imports,4,-0.00442679425744135,0.0103799487540052,0.669761367144332,-0.0262975281493782,6583
ICEWS,IW-Total,Trade_Imports,5,-0.00289955166650557,0.0103731041011094,0.779841234409384,-0.0262975281493782,6558
ICEWS,IW-Total,Trade_Imports,6,-0.00213721133146961,0.0097751756986861,0.826933127668193,-0.0262975281493782,6533
ICEWS,IW-Export,Trade_Total,0,0.00346066000917122,0.00800272140064886,0.665424995918471,0.0108775018801224,6675
ICEWS,IW-Export,Trade_Total,1,0.00175082606104489,0.0076485047949381,0.818938174128671,0.0108775018801224,6650
ICEWS,IW-Export,Trade_Total,2,0.00284937110165545,0.00684346223659962,0.677143689532626,0.0108775018801224,6625
ICEWS,IW-Export,Trade_Total,3,0.000674832569254786,0.00748770655403206,0.928187562842865,0.0108775018801224,6600
ICEWS,IW-Export,Trade_Total,4,1.52137112111495e-06,0.00777963495962625,0.999843967162039,0.0108775018801224,6575
ICEWS,IW-Export,Trade_Total,5,0.00051133054055898,0.00745239117043482,0.945297710786686,0.0108775018801224,6550
ICEWS,IW-Export,Trade_Total,6,0.00162896022731601,0.00729373189690823,0.823273229731331,0.0108775018801224,6525
ICEWS,IW-Export,Trade_Exports,0,0.0104299227429505,0.00815960659557991,0.201165368883542,0.0452304947376333,6675
ICEWS,IW-Export,Trade_Exports,1,0.00780925509153176,0.00770319304279344,0.310693189988032,0.0452304947376333,6650
ICEWS,IW-Export,Trade_Exports,2,0.00730778968862075,0.00611953747216538,0.232410093602539,0.0452304947376333,6625
ICEWS,IW-Export,Trade_Exports,3,0.00587476330828172,0.00741452552662115,0.42816731667735,0.0452304947376333,6600
ICEWS,IW-Export,Trade_Exports,4,0.00383285258081168,0.00670462734296307,0.567543716120964,0.0452304947376333,6575
ICEWS,IW-Export,Trade_Exports,5,0.00384861023406255,0.00718025673905214,0.591959260610586,0.0452304947376333,6550
ICEWS,IW-Export,Trade_Exports,6,0.00612730109137437,0.00694151805044989,0.377396583033091,0.0452304947376333,6525
ICEWS,IW-Export,Trade_Imports,0,-0.0014585968619192,0.00980484636676481,0.881740767995749,-0.00528676749281928,6675
ICEWS,IW-Export,Trade_Imports,1,-0.000975982835459426,0.00980947447336522,0.920746133947147,-0.00528676749281928,6650
ICEWS,IW-Export,Trade_Imports,2,0.000446873939145012,0.00933354567754388,0.96181326445857,-0.00528676749281928,6625
ICEWS,IW-Export,Trade_Imports,3,-0.00126478843813785,0.00983467699348302,0.897670225559007,-0.00528676749281928,6600
ICEWS,IW-Export,Trade_Imports,4,-0.00197630886472424,0.0108499860858785,0.855466175224034,-0.00528676749281928,6575
ICEWS,IW-Export,Trade_Imports,5,0.000401410299629918,0.0104703168328344,0.969418247271166,-0.00528676749281928,6550
