db,spec,trade,h,Est,SE,pv,cum,n
Phoenix,PH-Total,Trade_Total,0,-0.00195469730478544,0.00329290489544691,0.552773797657164,-0.00269231305567684,4992
Phoenix,PH-Total,Trade_Total,1,-0.00210051878310434,0.00291469323232081,0.471115359023606,-0.00269231305567684,4967
Phoenix,PH-Total,Trade_Total,2,-0.000344748640592934,0.00276305674938634,0.900705050913613,-0.00269231305567684,4942
Phoenix,PH-Total,Trade_Total,3,0.00047499556745908,0.0024326498325695,0.845190580651968,-0.00269231305567684,4917
Phoenix,PH-Total,Trade_Total,4,0.00160161104461832,0.00259932877380776,0.537786735053364,-0.00269231305567684,4892
Phoenix,PH-Total,Trade_Total,5,0.00145759877793566,0.00253073474109267,0.564643074374999,-0.00269231305567684,4867
Phoenix,PH-Total,Trade_Total,6,-0.00182655371720718,0.00294572356997998,0.535211947314021,-0.00269231305567684,4842
Phoenix,PH-Total,Trade_Exports,0,-0.00432208646484968,0.00298924162444035,0.148210694946948,-0.0219567260508107,4992
Phoenix,PH-Total,Trade_Exports,1,-0.00457458758647715,0.00308627791982647,0.138277911710902,-0.0219567260508107,4967
Phoenix,PH-Total,Trade_Exports,2,-0.00387818277840723,0.00291465242543007,0.183326732511149,-0.0219567260508107,4942
Phoenix,PH-Total,Trade_Exports,3,-0.00195204264965177,0.00244603259127732,0.424844715810962,-0.0219567260508107,4917
Phoenix,PH-Total,Trade_Exports,4,-0.00172438789796106,0.00216190305042064,0.425088144884864,-0.0219567260508107,4892
Phoenix,PH-Total,Trade_Exports,5,-0.00197047812828072,0.00231532498459104,0.394736588342471,-0.0219567260508107,4867
Phoenix,PH-Total,Trade_Exports,6,-0.0035349605451831,0.0030053894548426,0.239512110693858,-0.0219567260508107,4842
Phoenix,PH-Total,Trade_Imports,0,0.00228197244167691,0.00593972598568275,0.700838987634593,0.0243203642384751,4992
Phoenix,PH-Total,Trade_Imports,1,0.00120426425059434,0.00438629244081423,0.783660642694966,0.0243203642384751,4967
Phoenix,PH-Total,Trade_Imports,2,0.00429410962670338,0.00436381723483064,0.325102728340717,0.0243203642384751,4942
Phoenix,PH-Total,Trade_Imports,3,0.00406002516267179,0.00382052057261538,0.287923013779895,0.0243203642384751,4917
Phoenix,PH-Total,Trade_Imports,4,0.00564620348103411,0.00430786881180513,0.189968567108885,0.0243203642384751,4892
Phoenix,PH-Total,Trade_Imports,5,0.00573716498818512,0.00415754242891457,0.167604683242532,0.0243203642384751,4867
Phoenix,PH-Total,Trade_Imports,6,0.00109662428760946,0.00418695097390353,0.793387154727192,0.0243203642384751,4842
Phoenix,PH-Export,Trade_Total,0,0.00109850986645137,0.0040507875333648,0.786249309368825,-0.00100653191746739,4990
Phoenix,PH-Export,Trade_Total,1,-0.0033702188874334,0.0037791059715399,0.372498413610107,-0.00100653191746739,4965
Phoenix,PH-Export,Trade_Total,2,-0.000662456425670105,0.00403793666855583,0.869685365640478,-0.00100653191746739,4940
Phoenix,PH-Export,Trade_Total,3,-0.000452208541530082,0.00286822390495107,0.874723523503477,-0.00100653191746739,4915
Phoenix,PH-Export,Trade_Total,4,0.00138987288805234,0.00310463835965119,0.654386857599328,-0.00100653191746739,4890
Phoenix,PH-Export,Trade_Total,5,-0.000227833275205535,0.00276862795289063,0.934415278843461,-0.00100653191746739,4865
Phoenix,PH-Export,Trade_Total,6,0.00121780245786802,0.00297084983444018,0.681866684627616,-0.00100653191746739,4840
Phoenix,PH-Export,Trade_Exports,0,-0.00317806085079118,0.00378732310227483,0.401395708741791,-0.0276035067666298,4990
Phoenix,PH-Export,Trade_Exports,1,-0.00680025115227297,0.00368583629619446,0.0650421490027898,-0.0276035067666298,4965
Phoenix,PH-Export,Trade_Exports,2,-0.0055698361511321,0.0038030698093518,0.143040123932688,-0.0276035067666298,4940
Phoenix,PH-Export,Trade_Exports,3,-0.00377261094634195,0.00288273752147041,0.19063924181381,-0.0276035067666298,4915
Phoenix,PH-Export,Trade_Exports,4,-0.00299557504765381,0.00280498540931693,0.285544533309433,-0.0276035067666298,4890
Phoenix,PH-Export,Trade_Exports,5,-0.0037071035561577,0.00299827083987935,0.216304775025795,-0.0276035067666298,4865
Phoenix,PH-Export,Trade_Exports,6,-0.00158006906228007,0.00313659628068802,0.614435121378386,-0.0276035067666298,4840
Phoenix,PH-Export,Trade_Imports,0,0.00612594529694936,0.00645604417399884,0.342686839713655,0.0309025778482981,4990
Phoenix,PH-Export,Trade_Imports,1,0.000642979195556489,0.00494041852141344,0.896450358491489,0.0309025778482981,4965
Phoenix,PH-Export,Trade_Imports,2,0.00567520901487074,0.00574068798793325,0.322861881450851,0.0309025778482981,4940
Phoenix,PH-Export,Trade_Imports,3,0.00405601305550235,0.004356678494839,0.351860049756315,0.0309025778482981,4915
Phoenix,PH-Export,Trade_Imports,4,0.00555046643669892,0.00507222505595682,0.273829427855998,0.0309025778482981,4890
