db,label,n,cum,h0,h0p,k
GDELT,k=1,6685,0.0127358176427652,0.0127358176427652,0.0262138947041412,1
GDELT,k=2,6685,0.0141360178190156,0.0141360178190156,0.0191733332230716,2
GDELT,k=3,6685,0.0133090243046309,0.0133090243046309,0.0187766549161883,3
GDELT,k=4,6685,0.0120030134752857,0.0120030134752857,0.0271746533787643,4
GDELT,k=6,6685,0.010808734739471,0.010808734739471,0.0256939045898156,6
GDELT,k=12,6685,0.00863009609609381,0.00863009609609381,0.0243286431256675,12
GDELT,k=24,6685,0.00540406073417686,0.00540406073417686,0.0445796166195363,24
ICEWS,k=1,6683,0.00212826788940315,0.00212826788940315,0.780765080376295,1
ICEWS,k=2,6683,0.00062074846706887,0.00062074846706887,0.936755764271795,2
ICEWS,k=3,6683,0.000953257510342113,0.000953257510342113,0.893972279763845,3
ICEWS,k=4,6683,0.000418011885930598,0.000418011885930598,0.949520903732808,4
ICEWS,k=6,6683,3.88613361926251e-05,3.88613361926251e-05,0.994691455215522,6
ICEWS,k=12,6683,0.000505069566364527,0.000505069566364527,0.909517475726027,12
ICEWS,k=24,6683,0.000450070546648664,0.000450070546648664,0.887230493782469,24
Phoenix,k=1,4992,-0.00195469730478544,-0.00195469730478544,0.552773797657164,1
Phoenix,k=2,4992,-0.00207522670023517,-0.00207522670023517,0.51020374270524,2
Phoenix,k=3,4992,-0.00148304893798516,-0.00148304893798516,0.620681826687492,3
Phoenix,k=4,4992,-0.000943145014800275,-0.000943145014800275,0.720946408836028,4
Phoenix,k=6,4992,-0.000127554407125842,-0.000127554407125842,0.956578282918859,6
Phoenix,k=12,4992,0.000472672882361249,0.000472672882361249,0.806394742538177,12
Phoenix,k=24,4992,0.000885603523728619,0.000885603523728619,0.614232452919109,24
Tsinghua,k=1,3066,-0.00504452857600045,-0.00504452857600045,0.345724066498872,1
Tsinghua,k=2,3066,-0.00457082236200998,-0.00457082236200998,0.3002853814997,2
Tsinghua,k=3,3066,-0.00386445140294867,-0.00386445140294867,0.308691441647864,3
Tsinghua,k=4,3066,-0.00319605099152548,-0.00319605099152548,0.354654811545248,4
Tsinghua,k=6,3066,-0.00248147692116116,-0.00248147692116116,0.359837551365395,6
Tsinghua,k=12,3066,-0.00165856542590242,-0.00165856542590242,0.335807000625779,12
Tsinghua,k=24,3066,-0.0012560512663188,-0.0012560512663188,0.326372543852972,24
