db,country,n_bp,max_vol,avg_vol
GDELT,Belgium,7,3.5376758698547155,3.018987400393923
GDELT,Brazil,11,3.5508624289207438,3.0934464147327496
GDELT,Canada,2,2.741683181838094,2.672375088190229
GDELT,Indonesia,10,3.327213614911911,2.7956884170568803
GDELT,Iran,5,3.585851157982647,3.174661334295825
GDELT,Italy,19,3.6266949345844086,3.116660768420041
GDELT,Mexico,14,3.5272252703902907,3.0248024722383
GDELT,Netherlands,33,4.707346553762514,3.4735018855350743
GDELT,Philippines,10,3.0619983765445387,2.790730227775593
GDELT,Saudi Arabia,21,4.719722238855948,3.431702948262167
GDELT,Spain,12,4.563991018896975,3.564164569048162
GDELT,United Arab Emirates,6,2.9945488264128395,2.8988921538127075
ICEWS,Belgium,52,4.030319820575834,3.068870304504698
ICEWS,Brazil,34,4.334622166202177,3.1553909887444433
ICEWS,Canada,40,3.6491393987496292,2.9123659851284467
ICEWS,France,6,2.914337754609288,2.7874195025491324
ICEWS,Germany,6,3.427887605365491,3.3094122776509045
ICEWS,India,8,2.7398006594708835,2.6645643486444808
ICEWS,Indonesia,26,4.3261813811530185,3.186983988248874
ICEWS,Iran,10,3.6334510174931074,3.0202796034107684
ICEWS,Italy,48,4.57910097559586,3.388869615739117
ICEWS,Malaysia,21,4.982803324767685,3.1958469971789674
ICEWS,Mexico,60,3.779010316416433,3.150211564071865
ICEWS,Netherlands,71,4.551675256510974,3.230850138910687
ICEWS,Philippines,15,3.1127926366626553,2.735600303275098
ICEWS,Saudi Arabia,23,4.9943153133942015,3.9013702621528723
ICEWS,Singapore,37,4.615460052395736,3.216474071092173
ICEWS,Spain,44,4.672922735716068,3.443246623652956
ICEWS,Thailand,34,5.599019248033998,3.382421566247305
ICEWS,United Arab Emirates,43,4.222403316463416,3.149917775568224
ICEWS,United Kingdom,1,2.591234333682677,2.591234333682677
ICEWS,Vietnam,13,3.719590499303338,3.2345379938038983
