country,n_turnovers,db,mean_vol
Australia,2,GDELT,0.6598751088903231
Australia,2,ICEWS,1.1785819819795547
Belgium,4,GDELT,1.267141295506786
Belgium,4,ICEWS,1.92941765865373
Brazil,2,GDELT,1.0246817803026513
Brazil,2,ICEWS,1.6239038052978345
Canada,2,GDELT,0.9869868145947844
Canada,2,ICEWS,1.9177995628717293
France,2,GDELT,0.8127934878325328
France,2,ICEWS,1.1760391248896704
Germany,1,GDELT,0.8088793935992881
Germany,1,ICEWS,1.4540121678307572
India,1,GDELT,0.907451856066889
India,1,ICEWS,1.1566139166871223
Indonesia,2,GDELT,1.0035987105184823
Indonesia,2,ICEWS,1.6418397312968886
Iran,1,GDELT,0.8760983175436533
Iran,1,ICEWS,1.210350060514798
Italy,4,GDELT,1.1048225985242845
Italy,4,ICEWS,1.8815467569871025
Japan,8,GDELT,0.596290647398587
Japan,8,ICEWS,0.8071812417562213
Malaysia,2,GDELT,0.6997092925335859
Malaysia,2,ICEWS,1.6784546035858838
Mexico,2,GDELT,1.1608628437263733
Mexico,2,ICEWS,1.8744905776830443
Netherlands,2,GDELT,1.3734265429499863
Netherlands,2,ICEWS,2.102907673103564
Philippines,2,GDELT,1.0577536213129222
Philippines,2,ICEWS,1.521888191479386
Russia,2,GDELT,0.5912824770345544
Russia,2,ICEWS,0.5653516338775634
Saudi Arabia,1,GDELT,1.2008116120451524
Saudi Arabia,1,ICEWS,1.6100325908454118
Singapore,1,GDELT,0.7813534763178629
Singapore,1,ICEWS,1.57419242795938
South Korea,3,GDELT,0.6561361337136747
South Korea,3,ICEWS,0.7940784630533563
Spain,2,GDELT,1.2478843635233952
Spain,2,ICEWS,2.0056921711093145
Thailand,7,GDELT,0.9286003494648012
Thailand,7,ICEWS,1.6617036579795423
United Arab Emirates,1,GDELT,1.0503190408195848
United Arab Emirates,1,ICEWS,1.837587488378249
United Kingdom,2,GDELT,0.7578999828160277
United Kingdom,2,ICEWS,1.156730924362596
United States,2,GDELT,0.4083742177644027
United States,2,ICEWS,0.6097855291306561
Vietnam,2,GDELT,1.0023672605249339
Vietnam,2,ICEWS,1.460077635852137
