db,country,event_date,event_name,category_4,post_month,baseline,shock
GDELT,Australia,2003-10-01,State visit to Australia,Chinese outbound visit,0,2.317079736352311,-0.2747562900319349
GDELT,Australia,2003-10-01,State visit to Australia,Chinese outbound visit,1,2.317079736352311,-1.51938564459889
GDELT,Australia,2003-10-01,State visit to Australia,Chinese outbound visit,2,2.317079736352311,-0.06618045032277609
GDELT,Australia,2003-10-01,State visit to Australia,Chinese outbound visit,3,2.317079736352311,0.42364806224282736
GDELT,Australia,2003-10-01,State visit to Australia,Chinese outbound visit,6,2.317079736352311,0.20657575763809133
GDELT,Australia,2003-10-01,State visit to Australia,Chinese outbound visit,12,2.317079736352311,-2.985676322316197
GDELT,Australia,2005-04-01,Official visit to China,Partner inbound visit,0,2.132152489119223,0.2760843459718014
GDELT,Australia,2005-04-01,Official visit to China,Partner inbound visit,1,2.132152489119223,-0.502135881388238
GDELT,Australia,2005-04-01,Official visit to China,Partner inbound visit,2,2.132152489119223,-2.238804802870174
GDELT,Australia,2005-04-01,Official visit to China,Partner inbound visit,3,2.132152489119223,-0.5942555219045005
GDELT,Australia,2005-04-01,Official visit to China,Partner inbound visit,6,2.132152489119223,-0.7670387000793379
GDELT,Australia,2005-04-01,Official visit to China,Partner inbound visit,12,2.132152489119223,-1.6869489249912757
GDELT,Australia,2006-04-01,Official visit to Australia,Chinese outbound visit,0,2.1817530385922597,-1.7365494744643124
GDELT,Australia,2006-04-01,Official visit to Australia,Chinese outbound visit,1,2.1817530385922597,0.31692686331904074
GDELT,Australia,2006-04-01,Official visit to Australia,Chinese outbound visit,2,2.1817530385922597,-0.812639850507648
GDELT,Australia,2006-04-01,Official visit to Australia,Chinese outbound visit,3,2.1817530385922597,0.7576888714118075
GDELT,Australia,2006-04-01,Official visit to Australia,Chinese outbound visit,6,2.1817530385922597,1.032351140551218
GDELT,Australia,2006-04-01,Official visit to Australia,Chinese outbound visit,12,2.1817530385922597,-0.7788647734967347
GDELT,Australia,2007-09-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,0,0.24332288883993117,2.1841375780265557
GDELT,Australia,2007-09-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,1,0.24332288883993117,0.756053632121492
GDELT,Australia,2007-09-01,Bilateral meeting on sidelines of APEC summit,Third-party meeting,2,0.24332288883993117,1.3661456040027595
