db,version,country,event_name,category,post_month,shock
GDELT,v3,Australia,China-Australia LNG supply agreement signed,Economic win-win cooperation,0,-1.1522851484721528
GDELT,v3,Australia,China-Australia LNG supply agreement signed,Economic win-win cooperation,1,-0.7658065555333966
GDELT,v3,Australia,China-Australia LNG supply agreement signed,Economic win-win cooperation,3,-1.0299059516124078
GDELT,v3,Australia,China-Australia LNG supply agreement signed,Economic win-win cooperation,6,-2.8630859207619697
GDELT,v3,Australia,China-Australia LNG supply agreement signed,Economic win-win cooperation,12,-0.4073123129016718
GDELT,v3,Australia,Australia-China Trade and Economic Framework signed,Economic win-win cooperation,0,-0.2747562900319349
GDELT,v3,Australia,Australia-China Trade and Economic Framework signed,Economic win-win cooperation,1,-1.51938564459889
GDELT,v3,Australia,Australia-China Trade and Economic Framework signed,Economic win-win cooperation,3,0.42364806224282736
GDELT,v3,Australia,Australia-China Trade and Economic Framework signed,Economic win-win cooperation,6,0.20657575763809133
GDELT,v3,Australia,Australia-China Trade and Economic Framework signed,Economic win-win cooperation,12,-2.985676322316197
GDELT,v3,Australia,Australia-China Air Services Agreement signed,Economic win-win cooperation,0,0.8011926004619159
GDELT,v3,Australia,Australia-China Air Services Agreement signed,Economic win-win cooperation,1,0.5390509149800404
GDELT,v3,Australia,Australia-China Air Services Agreement signed,Economic win-win cooperation,3,1.1929353127826718
GDELT,v3,Australia,Australia-China Air Services Agreement signed,Economic win-win cooperation,6,-1.3753157196926502
GDELT,v3,Australia,Australia-China Air Services Agreement signed,Economic win-win cooperation,12,-0.33964432690823476
GDELT,v3,Australia,FTA Talks Begin,Economic win-win cooperation,0,-0.6611090995737352
GDELT,v3,Australia,FTA Talks Begin,Economic win-win cooperation,1,-2.397778021055671
GDELT,v3,Australia,FTA Talks Begin,Economic win-win cooperation,3,1.221748964857817
GDELT,v3,Australia,FTA Talks Begin,Economic win-win cooperation,6,-0.19374894683538235
GDELT,v3,Australia,FTA Talks Begin,Economic win-win cooperation,12,0.2075541946065802
GDELT,v3,Australia,Australia-China nuclear cooperation agreements signed,Economic win-win cooperation,0,-1.7365494744643124
GDELT,v3,Australia,Australia-China nuclear cooperation agreements signed,Economic win-win cooperation,1,0.31692686331904074
GDELT,v3,Australia,Australia-China nuclear cooperation agreements signed,Economic win-win cooperation,3,0.7576888714118075
GDELT,v3,Australia,Australia-China nuclear cooperation agreements signed,Economic win-win cooperation,6,1.032351140551218
GDELT,v3,Australia,Australia-China nuclear cooperation agreements signed,Economic win-win cooperation,12,-0.7788647734967347
GDELT,v3,Australia,Australia-China Joint Coordination Group on Clean Coal Technology launched,Economic win-win cooperation,0,-3.076935802796633
GDELT,v3,Australia,Australia-China Joint Coordination Group on Clean Coal Technology launched,Economic win-win cooperation,1,-1.0513640523098053
GDELT,v3,Australia,Australia-China Joint Coordination Group on Clean Coal Technology launched,Economic win-win cooperation,3,-1.8240179368859564
GDELT,v3,Australia,Australia-China Joint Coordination Group on Clean Coal Technology launched,Economic win-win cooperation,6,-3.4730302240174065
GDELT,v3,Australia,Australia-China Joint Coordination Group on Clean Coal Technology launched,Economic win-win cooperation,12,-2.6156681918910407
GDELT,v3,Australia,Rio Tinto executive Stern Hu detained in Shanghai,Detention / judicial dispute,0,-1.9667148440281927
GDELT,v3,Australia,Rio Tinto executive Stern Hu detained in Shanghai,Detention / judicial dispute,1,-0.5313751422847623
GDELT,v3,Australia,Rio Tinto executive Stern Hu detained in Shanghai,Detention / judicial dispute,3,-0.30046656010089046
GDELT,v3,Australia,Rio Tinto executive Stern Hu detained in Shanghai,Detention / judicial dispute,6,-0.9989534199626604
GDELT,v3,Australia,Rio Tinto executive Stern Hu detained in Shanghai,Detention / judicial dispute,12,-1.4161485971528958
GDELT,v3,Australia,China-Australia FTA,Economic win-win cooperation,0,0.13310255905225676
GDELT,v3,Australia,China-Australia FTA,Economic win-win cooperation,1,0.2816139387765788
GDELT,v3,Australia,China-Australia FTA,Economic win-win cooperation,3,0.38132182288493577
GDELT,v3,Australia,China-Australia FTA,Economic win-win cooperation,6,-0.21909662396499519
GDELT,v3,Australia,China-Australia FTA,Economic win-win cooperation,12,-0.7674523622803655
GDELT,v3,Australia,ChAFTA enters into force,Economic win-win cooperation,0,-0.5360489628270257
GDELT,v3,Australia,ChAFTA enters into force,Economic win-win cooperation,1,-0.8588459892771596
GDELT,v3,Australia,ChAFTA enters into force,Economic win-win cooperation,3,-1.2794515039301466
GDELT,v3,Australia,ChAFTA enters into force,Economic win-win cooperation,6,-1.084404701142396
GDELT,v3,Australia,ChAFTA enters into force,Economic win-win cooperation,12,-0.48614852031981326
GDELT,v3,Australia,Foreign Interference Laws,Policy shift / domestic politics,0,-0.8062666952012194
GDELT,v3,Australia,Foreign Interference Laws,Policy shift / domestic politics,1,-0.610965912677391
GDELT,v3,Australia,Foreign Interference Laws,Policy shift / domestic politics,3,-0.5992600465996933
GDELT,v3,Australia,Foreign Interference Laws,Policy shift / domestic politics,6,-0.8512985207242505
GDELT,v3,Australia,Foreign Interference Laws,Policy shift / domestic politics,12,-0.7198685139595888
GDELT,v3,Australia,Australia bans Huawei from 5G,Tech control / export restriction,0,0.4272154657116243
