category,post_month,mean_shock,sd_shock,n_countries,se,ci_l,ci_u,significant
Cultural / people-to-people cooperation,0,-0.07176892329605106,1.361104298555517,12,0.3929169665830923,-0.841886177798912,0.6983483312068097,
Cultural / people-to-people cooperation,1,-0.43793687903173034,2.2663063351141135,12,0.6542262863221439,-1.7202204002231323,0.8443466421596715,
Cultural / people-to-people cooperation,3,0.1627762004122865,2.417235376693927,12,0.6977957477144626,-1.2049034651080601,1.5304558659326333,
Cultural / people-to-people cooperation,6,-0.5370822501247672,0.9073355935210824,12,0.2619252245823629,-1.0504556903061983,-0.023708809943335907,*
Cultural / people-to-people cooperation,12,-0.12276105831285661,1.449353116937884,10,0.4583256983388079,-1.0210794270569201,0.7755573104312068,
Detention / judicial dispute,0,-2.018797709874303,2.043334781134529,5,0.9138070942812923,-3.809859614665636,-0.2277358050829703,*
Detention / judicial dispute,1,-1.692066979830892,2.1608163210819407,5,0.9663464361660462,-3.5861059947163425,0.2019720350545584,
Detention / judicial dispute,3,-0.7265443265722072,2.338873897406958,5,1.0459762050803654,-2.776657688529723,1.323569035385309,
Detention / judicial dispute,6,-1.2124429998006652,1.8676465943599563,5,0.8352369485869675,-2.8495074190311214,0.42462141942979104,
Detention / judicial dispute,12,-1.2821583197299629,2.742320076153754,5,1.2264028212684386,-3.6859078494161026,1.121591209956177,
Diplomatic protest / friction,0,-0.9247920522197194,1.3757725677392134,8,0.48640905600941325,-1.8781538019981694,0.028569697558730622,
Diplomatic protest / friction,1,-0.25805340353477874,1.0904862285020658,8,0.3855451034821768,-1.0137218063598452,0.4976149992902878,
Diplomatic protest / friction,3,-0.1439577430692333,1.350808006458616,8,0.47758275072398454,-1.080019934488243,0.7921044483497763,
Diplomatic protest / friction,6,-0.15893011522824943,1.4921062234149283,8,0.5275392144136727,-1.1929069754790478,0.875046745022549,
Diplomatic protest / friction,12,-0.11933198587136887,1.481159399499625,8,0.5236689277021898,-1.1457230841676607,0.907059112424923,
Economic sanction / tariff barrier,0,-0.2827865381594579,1.2041417278448876,9,0.40138057594829585,-1.0694924670181178,0.5039193906992019,
Economic sanction / tariff barrier,1,-0.0891700146776506,1.0396513354139671,9,0.34655044513798905,-0.7684088871481092,0.5900688577928079,
Economic sanction / tariff barrier,3,-0.28194970683998494,1.4585787769249134,9,0.4861929256416378,-1.234887841097595,0.6709884274176252,
Economic sanction / tariff barrier,6,-0.20609033219722123,1.3005112430143875,9,0.4335037476714625,-1.0557576776332878,0.6435770132388452,
Economic sanction / tariff barrier,12,0.4151159815354496,2.239483915668729,9,0.7464946385562431,-1.048013510034787,1.878245473105686,
Economic win-win cooperation,0,0.36139602030146684,1.31594788573221,22,0.2805610319247581,-0.18850360227105906,0.9112956428739927,
Economic win-win cooperation,1,0.1380842223107695,1.644469669042465,22,0.35060211146492715,-0.5490959161604876,0.8252643607820267,
Economic win-win cooperation,3,0.055871152783187085,1.3586208868461795,22,0.28965894633130024,-0.5118603820261614,0.6236026875925356,
Economic win-win cooperation,6,-0.0065746030851349955,1.8351124411622717,22,0.39124728704888934,-0.7734192857009581,0.760270079530688,
Economic win-win cooperation,12,-0.16211437726288003,1.5513884519027477,22,0.33075712929148726,-0.8103983506741951,0.486169596148435,
High-level visit,0,-0.20382151243104615,0.34772812952553667,2,0.2458809183968211,-0.6857481124888155,0.27810508762672326,
High-level visit,1,0.9906964689027323,1.2795663203922516,2,0.9047900221272795,-0.7826919744667354,2.7640849122722,
High-level visit,3,0.8587442023397514,1.5511902505988633,2,1.0968571451089162,-1.2910958020737242,3.008584206753227,
High-level visit,6,1.1949319105540872,2.5218379870045813,2,1.7832087416647717,-2.300157223108865,4.69002104421704,
High-level visit,12,-0.01840544021753099,2.084454670945462,2,1.4739320329015095,-2.9073122247044894,2.8705013442694276,
Military / security cooperation,0,-0.08030931322312629,1.2868539949541749,7,0.48638509204267344,-1.0336240936267662,0.8730054671805136,
Military / security cooperation,1,-0.09466911810392399,1.2796311701072989,7,0.483655120855786,-1.0426331549812646,0.8532949187734166,
Military / security cooperation,3,-0.09145063705610829,1.3476758396077388,7,0.5093735885046068,-1.0898228705251376,0.9069215964129209,
Military / security cooperation,6,-0.13205753618665791,1.148196836615788,7,0.43397761226234804,-0.9826536562208601,0.7185385838475442,
Military / security cooperation,12,-0.3039650955292386,1.3546953807008961,7,0.5120267256546487,-1.3075374778123499,0.6996072867538727,
Multilateral / third-party meeting,0,-0.6238202220411204,1.2681216720405617,3,0.7321503887178167,-2.0588349839280413,0.8111945398458003,
