db,valence,post_month,mean_shock,n
GDELT,negative,0,-0.5000749774925991,110
GDELT,negative,1,-0.2731984552081115,109
GDELT,negative,3,-0.18223342071777743,108
GDELT,negative,6,-0.017488654221331983,108
GDELT,positive,0,0.3097609788089443,168
GDELT,positive,1,0.15003033930510887,167
GDELT,positive,3,0.02514076689525387,166
GDELT,positive,6,-0.12115210410452014,165
ICEWS,negative,0,-0.8327877670479444,96
ICEWS,negative,1,-0.47200217667843514,96
ICEWS,negative,3,-0.20978115932043565,94
ICEWS,negative,6,-0.21086798983050645,92
ICEWS,positive,0,0.3396317093024916,140
ICEWS,positive,1,0.08271867251796881,139
ICEWS,positive,3,0.10048098751666197,136
ICEWS,positive,6,0.06934116445484195,135
