country,avg_shock,db,node,config
Australia,0.8150986733828763,GDELT,Financial Crisis Cooperation,baseline
Belgium,-0.5692880410751677,GDELT,Financial Crisis Cooperation,baseline
Brazil,0.532207901846871,GDELT,Financial Crisis Cooperation,baseline
Canada,0.8188185424551605,GDELT,Financial Crisis Cooperation,baseline
France,-0.9782373068797262,GDELT,Financial Crisis Cooperation,baseline
Germany,0.10954393404778659,GDELT,Financial Crisis Cooperation,baseline
India,0.3257299754018952,GDELT,Financial Crisis Cooperation,baseline
Indonesia,-0.4225248035037754,GDELT,Financial Crisis Cooperation,baseline
Iran,-0.6817568885317594,GDELT,Financial Crisis Cooperation,baseline
Italy,-0.08963794235955168,GDELT,Financial Crisis Cooperation,baseline
Japan,0.20440865513379686,GDELT,Financial Crisis Cooperation,baseline
Malaysia,-0.4753692999405261,GDELT,Financial Crisis Cooperation,baseline
Mexico,0.8572163910361527,GDELT,Financial Crisis Cooperation,baseline
Netherlands,0.0593992800155866,GDELT,Financial Crisis Cooperation,baseline
Philippines,0.17976276960417528,GDELT,Financial Crisis Cooperation,baseline
Russia,0.33214906263859956,GDELT,Financial Crisis Cooperation,baseline
Saudi Arabia,-0.853816827750135,GDELT,Financial Crisis Cooperation,baseline
Singapore,-0.20582529303200028,GDELT,Financial Crisis Cooperation,baseline
South Korea,-0.4264811634374864,GDELT,Financial Crisis Cooperation,baseline
Spain,0.5605085363876342,GDELT,Financial Crisis Cooperation,baseline
Thailand,-0.19733323498516916,GDELT,Financial Crisis Cooperation,baseline
United Arab Emirates,-0.38832139686848127,GDELT,Financial Crisis Cooperation,baseline
United Kingdom,1.306158218900266,GDELT,Financial Crisis Cooperation,baseline
Vietnam,-0.06375465069734743,GDELT,Financial Crisis Cooperation,baseline
Australia,-0.674920937803436,GDELT,Pivot to Asia announced,baseline
Belgium,0.4146359604955906,GDELT,Pivot to Asia announced,baseline
Brazil,0.37347632121110136,GDELT,Pivot to Asia announced,baseline
Canada,0.6318299544750561,GDELT,Pivot to Asia announced,baseline
France,0.06720753413736939,GDELT,Pivot to Asia announced,baseline
Germany,0.016374852860918887,GDELT,Pivot to Asia announced,baseline
India,-0.06308011661563734,GDELT,Pivot to Asia announced,baseline
Indonesia,0.22667362208576922,GDELT,Pivot to Asia announced,baseline
Iran,-0.09721011509417218,GDELT,Pivot to Asia announced,baseline
Italy,-0.3636587120801306,GDELT,Pivot to Asia announced,baseline
Japan,0.4120600464300589,GDELT,Pivot to Asia announced,baseline
Malaysia,-0.607566686709778,GDELT,Pivot to Asia announced,baseline
Mexico,0.1757019616683964,GDELT,Pivot to Asia announced,baseline
Netherlands,0.28219160367236756,GDELT,Pivot to Asia announced,baseline
Philippines,-0.20246226205122325,GDELT,Pivot to Asia announced,baseline
Russia,-0.306261100983081,GDELT,Pivot to Asia announced,baseline
Saudi Arabia,-0.024190319337699797,GDELT,Pivot to Asia announced,baseline
Singapore,-0.7882388049195186,GDELT,Pivot to Asia announced,baseline
South Korea,-0.16759063340916813,GDELT,Pivot to Asia announced,baseline
Spain,-0.8675983995524672,GDELT,Pivot to Asia announced,baseline
Thailand,-0.18931244465517075,GDELT,Pivot to Asia announced,baseline
United Arab Emirates,-0.16183272894339537,GDELT,Pivot to Asia announced,baseline
United Kingdom,-0.11961615000410745,GDELT,Pivot to Asia announced,baseline
Vietnam,0.9681191912385226,GDELT,Pivot to Asia announced,baseline
Australia,-0.35874503699080185,GDELT,South China Sea Arbitration Ruling,baseline
Belgium,0.8061654808079315,GDELT,South China Sea Arbitration Ruling,baseline
Brazil,0.40688349287190534,GDELT,South China Sea Arbitration Ruling,baseline
Canada,0.4563434587052505,GDELT,South China Sea Arbitration Ruling,baseline
France,0.5137755517464919,GDELT,South China Sea Arbitration Ruling,baseline
Germany,-0.6220513254994089,GDELT,South China Sea Arbitration Ruling,baseline
India,-0.2914730986121877,GDELT,South China Sea Arbitration Ruling,baseline
Indonesia,0.2300397449319173,GDELT,South China Sea Arbitration Ruling,baseline
Iran,-0.3280770219285572,GDELT,South China Sea Arbitration Ruling,baseline
Italy,-0.29669182058412485,GDELT,South China Sea Arbitration Ruling,baseline
Japan,-0.5008587370873105,GDELT,South China Sea Arbitration Ruling,baseline
Malaysia,0.3980499219872914,GDELT,South China Sea Arbitration Ruling,baseline
Mexico,-0.6397782744259506,GDELT,South China Sea Arbitration Ruling,baseline
Netherlands,-0.30485880389026887,GDELT,South China Sea Arbitration Ruling,baseline
Philippines,0.7754666940220613,GDELT,South China Sea Arbitration Ruling,baseline
Russia,-0.4046205530223986,GDELT,South China Sea Arbitration Ruling,baseline
Saudi Arabia,-0.257097612517155,GDELT,South China Sea Arbitration Ruling,baseline
Singapore,-0.48873133497254795,GDELT,South China Sea Arbitration Ruling,baseline
South Korea,-0.8923618541375962,GDELT,South China Sea Arbitration Ruling,baseline
Spain,0.3624474327407982,GDELT,South China Sea Arbitration Ruling,baseline
Thailand,0.21940201738241366,GDELT,South China Sea Arbitration Ruling,baseline
United Arab Emirates,0.4106676622494223,GDELT,South China Sea Arbitration Ruling,baseline
United Kingdom,0.5003319082612449,GDELT,South China Sea Arbitration Ruling,baseline
Vietnam,0.6512582542651985,GDELT,South China Sea Arbitration Ruling,baseline
Australia,-0.5219133808799643,GDELT,Steel/aluminum tariffs imposed,baseline
Belgium,-0.4602193776857542,GDELT,Steel/aluminum tariffs imposed,baseline
Brazil,0.1541682460989751,GDELT,Steel/aluminum tariffs imposed,baseline
Canada,-0.2972637689638679,GDELT,Steel/aluminum tariffs imposed,baseline
France,0.27160686097556136,GDELT,Steel/aluminum tariffs imposed,baseline
Germany,0.7451016657456311,GDELT,Steel/aluminum tariffs imposed,baseline
India,0.36060400081816424,GDELT,Steel/aluminum tariffs imposed,baseline
Indonesia,-0.2190759522542931,GDELT,Steel/aluminum tariffs imposed,baseline
Iran,-0.021401660441914983,GDELT,Steel/aluminum tariffs imposed,baseline
Italy,0.03767279485554103,GDELT,Steel/aluminum tariffs imposed,baseline
Japan,0.5587147937641882,GDELT,Steel/aluminum tariffs imposed,baseline
Malaysia,0.3685664428527475,GDELT,Steel/aluminum tariffs imposed,baseline
Mexico,-0.25417600920660044,GDELT,Steel/aluminum tariffs imposed,baseline
Netherlands,-0.4804072413069832,GDELT,Steel/aluminum tariffs imposed,baseline
Philippines,-0.11781165609147651,GDELT,Steel/aluminum tariffs imposed,baseline
Russia,0.6587324840405984,GDELT,Steel/aluminum tariffs imposed,baseline
Saudi Arabia,0.126024327628808,GDELT,Steel/aluminum tariffs imposed,baseline
Singapore,-0.11687344317365086,GDELT,Steel/aluminum tariffs imposed,baseline
South Korea,0.8280683599082048,GDELT,Steel/aluminum tariffs imposed,baseline
Spain,-0.28798885419678655,GDELT,Steel/aluminum tariffs imposed,baseline
Thailand,-0.2427049232283543,GDELT,Steel/aluminum tariffs imposed,baseline
