db,country,n_bp,max_vol,avg_vol
GDELT,Belgium,7,3.5376758698547155,3.018987400393923
GDELT,Brazil,15,3.5508624289207438,2.9478133743658783
GDELT,Canada,3,2.741683181838094,2.6303538102727884
GDELT,Indonesia,10,3.327213614911911,2.7956884170568803
GDELT,Iran,5,3.585851157982647,3.174661334295825
GDELT,Italy,19,3.6266949345844086,3.116660768420041
GDELT,Mexico,15,3.5272252703902907,2.9929164898028437
GDELT,Netherlands,33,4.707346553762514,3.4735018855350743
GDELT,Philippines,10,3.0619983765445387,2.790730227775593
GDELT,Saudi Arabia,21,4.719722238855948,3.431702948262167
GDELT,Spain,14,4.563991018896975,3.4184752608484508
GDELT,United Arab Emirates,6,2.9945488264128395,2.8988921538127075
ICEWS,Belgium,53,4.030319820575834,3.059173336701457
ICEWS,Brazil,36,4.334622166202177,3.12188449259124
ICEWS,Canada,40,3.6491393987496292,2.9123659851284467
ICEWS,France,6,2.914337754609288,2.7874195025491324
ICEWS,Germany,6,3.427887605365491,3.3094122776509045
ICEWS,India,9,2.7398006594708835,2.652296791044321
ICEWS,Indonesia,27,4.3261813811530185,3.1631791495467847
ICEWS,Iran,10,3.6334510174931074,3.0202796034107684
ICEWS,Italy,48,4.57910097559586,3.388869615739117
ICEWS,Malaysia,23,4.982803324767685,3.139809124090077
ICEWS,Mexico,61,3.779010316416433,3.1403028902514944
ICEWS,Netherlands,71,4.551675256510974,3.230850138910687
ICEWS,Philippines,16,3.1127926366626553,2.7233331122204425
ICEWS,Saudi Arabia,23,4.9943153133942015,3.9013702621528723
ICEWS,Singapore,37,4.615460052395736,3.216474071092173
ICEWS,Spain,44,4.672922735716068,3.443246623652956
ICEWS,Thailand,35,5.599019248033998,3.35833044034232
ICEWS,United Arab Emirates,43,4.222403316463416,3.149917775568224
ICEWS,United Kingdom,2,2.591234333682677,2.572793097840661
ICEWS,Vietnam,13,3.719590499303338,3.2345379938038983
