country,n_turnovers,db,mean_vol
Australia,2,GDELT,0.6598751088903231
Australia,2,ICEWS,1.0649925218769232
Belgium,4,GDELT,1.267141295506786
Belgium,4,ICEWS,1.7554831802600959
Brazil,2,GDELT,1.0246817803026513
Brazil,2,ICEWS,1.4619931412046354
Canada,2,GDELT,0.9869868145947844
Canada,2,ICEWS,1.7222001544414058
France,2,GDELT,0.8127934878325328
France,2,ICEWS,1.0608287385239425
Germany,1,GDELT,0.8088793935992881
Germany,1,ICEWS,1.3298964541951543
India,1,GDELT,0.907451856066889
India,1,ICEWS,1.0779881758361591
Indonesia,2,GDELT,1.0035987105184823
Indonesia,2,ICEWS,1.494339948807314
Iran,1,GDELT,0.8760983175436533
Iran,1,ICEWS,1.1096423347906572
Italy,4,GDELT,1.1048225985242845
Italy,4,ICEWS,1.6920073767548534
Japan,8,GDELT,0.596290647398587
Japan,8,ICEWS,0.7288326037981516
Malaysia,2,GDELT,0.6997092925335859
Malaysia,2,ICEWS,1.5331730763867109
Mexico,2,GDELT,1.1608628437263733
Mexico,2,ICEWS,1.6884038495761013
Netherlands,2,GDELT,1.3734265429499863
Netherlands,2,ICEWS,1.8948769873206395
Philippines,2,GDELT,1.0577536213129222
Philippines,2,ICEWS,1.3769049494619414
Russia,2,GDELT,0.5912824770345544
Russia,2,ICEWS,0.5192573607419901
Saudi Arabia,1,GDELT,1.2008116120451524
Saudi Arabia,1,ICEWS,1.4479488376742757
Singapore,1,GDELT,0.7813534763178629
Singapore,1,ICEWS,1.4439661582629983
South Korea,3,GDELT,0.6561361337136747
South Korea,3,ICEWS,0.7574950770205469
Spain,2,GDELT,1.2478843635233952
Spain,2,ICEWS,1.8054059854132003
Thailand,7,GDELT,0.9286003494648012
Thailand,7,ICEWS,1.4916368030674205
United Arab Emirates,1,GDELT,1.0503190408195848
United Arab Emirates,1,ICEWS,1.6518687105311207
United Kingdom,2,GDELT,0.7578999828160277
United Kingdom,2,ICEWS,1.0702780120846167
United States,2,GDELT,0.4083742177644027
United States,2,ICEWS,0.5563785415236958
Vietnam,2,GDELT,1.0023672605249339
Vietnam,2,ICEWS,1.3177171124644529
