country,n_turnovers,db,vol_sd12m,vol_range12m,vol_cv
Australia,2,GDELT,0.6391860636009431,2.1518643028499387,49476264162382896
Australia,2,ICEWS,0.7388253246032472,2.4745547793800715,109713613225705780
Belgium,4,GDELT,0.9009817013039824,3.0459807136787385,21547487358767788
Belgium,4,ICEWS,0.8821295108031836,2.899669965905467,51890085815966360
Brazil,2,GDELT,0.8066273306572642,2.7329946296753516,7132698773989773
Brazil,2,ICEWS,0.861274191228698,3.07885528314123,40861053919394470
Canada,2,GDELT,0.7311670113128307,2.464294135875579,64791725123522496
Canada,2,ICEWS,0.7612597259384714,2.592999982742248,123183599824437730
France,2,GDELT,0.8807330045281282,2.893843549909641,37543724599863970
France,2,ICEWS,0.8623206554492533,3.006026321071203,10244851298917502
Germany,1,GDELT,0.8800092544460397,2.8779104744516815,9528584509422206
Germany,1,ICEWS,0.9002215565753423,3.206113041492156,6824992833306298
India,1,GDELT,0.67182999833415,2.246665687010851,53135124552211856
India,1,ICEWS,0.6495405967368504,2.26583868285384,31402425187541972
Indonesia,2,GDELT,0.8079301807501711,2.6650761655228883,270833110380727500
Indonesia,2,ICEWS,0.7812181714086395,2.6731275090950546,34169425606048052
Iran,1,GDELT,0.7705323437198169,2.569607449867203,14263827215566766
Iran,1,ICEWS,0.803454299377747,2.6763922991772295,10698908022550134
Italy,4,GDELT,0.8103922266631214,2.8431548963037407,27232349662828912
Italy,4,ICEWS,0.8557397049390577,2.934356935829753,15289468772241650
Japan,8,GDELT,0.6530980145653511,2.2318872730292583,16654322603507100
Japan,8,ICEWS,0.7871445600244298,2.649455712633735,11444129138024046
Malaysia,2,GDELT,0.8638249522077136,2.876493096986408,11846338546815524
Malaysia,2,ICEWS,0.899941121347612,3.018503808146504,50055233787106650
Mexico,2,GDELT,0.8477233773513134,2.938523111526063,19335627685216196
Mexico,2,ICEWS,0.8125177197875517,2.758621005993496,23305929146561192
Netherlands,2,GDELT,0.8040119696393467,2.91393145713649,301222560142220900
Netherlands,2,ICEWS,0.73249987500151,2.4313800315755896,24290897961814052
Philippines,2,GDELT,0.6744887970170959,2.1667125844668957,36200154630264450
Philippines,2,ICEWS,0.7795316252308796,2.717271101089897,20174922315073672
Russia,2,GDELT,0.7371404875113877,2.473694969346448,7568671278576080
Russia,2,ICEWS,0.7893552237467034,2.7351644002468962,21483356894797852
Saudi Arabia,1,GDELT,0.826922066195341,2.7952438198307967,9221470908954710
Saudi Arabia,1,ICEWS,0.8400706229676991,2.9980248785297383,12063546649821778
Singapore,1,GDELT,0.8167131118487744,2.78266930147227,12971813825616476
Singapore,1,ICEWS,0.8582311959071369,3.0058950391571515,127757365650931860
South Korea,3,GDELT,0.6750562664110809,2.3188771144041507,105548183995477220
South Korea,3,ICEWS,0.6434512031846095,2.183820264228697,9371559826613096
Spain,2,GDELT,0.8645344834098959,2.940667854110917,46980618429355256
Spain,2,ICEWS,0.8477778437222265,2.8425559744295654,136138332647302960
Thailand,7,GDELT,0.8207512492648752,2.713967807191136,854400497463549400
Thailand,7,ICEWS,0.8211780866255697,2.823066545638273,35009508576924912
United Arab Emirates,1,GDELT,0.8444699536113789,2.8287208290089993,104459673274444800
United Arab Emirates,1,ICEWS,0.7787912391122448,2.566691667493169,22765170431371696
United Kingdom,2,GDELT,0.8015454175233646,2.6586449836224055,73195314171948290
United Kingdom,2,ICEWS,0.7793214844194715,2.5318018767668176,50566443878704690
United States,2,GDELT,0.5681826984448628,1.9034081880370262,29758479399237932
United States,2,ICEWS,0.6546682610140586,2.1015935002029504,24406956830194104
Vietnam,2,GDELT,0.7455139077089811,2.4230431575443108,75171382590887040
Vietnam,2,ICEWS,0.7971489922286387,2.7379174108582522,18466633375237612
