category,post_month,mean_shock,sd_shock,n_countries,se,ci_l,ci_u,significant
Cultural / people-to-people cooperation,0,-0.05382669247203829,1.1728214895336728,12,0.338564401346822,-0.7174129191118094,0.6097595341677328,
Cultural / people-to-people cooperation,1,-0.3357516072576599,1.9828962010308102,12,0.5724128277201123,-1.4576807495890798,0.7861775350737601,
Cultural / people-to-people cooperation,3,0.18272653802209182,2.0835773619323033,12,0.6014769753945128,-0.9961683337511532,1.3616214097953367,
Cultural / people-to-people cooperation,6,-0.3305029923717475,0.9091535600826867,12,0.2624500263242229,-0.8449050439672243,0.1838990592237293,
Cultural / people-to-people cooperation,12,-0.021326978256333864,1.323845608834507,10,0.4186367394329368,-0.84185498754489,0.7992010310322222,
Detention / judicial dispute,0,-2.018797709874303,2.043334781134529,5,0.9138070942812923,-3.809859614665636,-0.2277358050829703,*
Detention / judicial dispute,1,-1.692066979830892,2.1608163210819407,5,0.9663464361660462,-3.5861059947163425,0.2019720350545584,
Detention / judicial dispute,3,-0.7265443265722072,2.338873897406958,5,1.0459762050803654,-2.776657688529723,1.323569035385309,
Detention / judicial dispute,6,-1.2124429998006652,1.8676465943599563,5,0.8352369485869675,-2.8495074190311214,0.42462141942979104,
Detention / judicial dispute,12,-1.2821583197299629,2.742320076153754,5,1.2264028212684386,-3.6859078494161026,1.121591209956177,
Diplomatic protest / friction,0,-0.9247920522197194,1.3757725677392134,8,0.48640905600941325,-1.8781538019981694,0.028569697558730622,
Diplomatic protest / friction,1,-0.25805340353477874,1.0904862285020658,8,0.3855451034821768,-1.0137218063598452,0.4976149992902878,
Diplomatic protest / friction,3,-0.1439577430692333,1.350808006458616,8,0.47758275072398454,-1.080019934488243,0.7921044483497763,
Diplomatic protest / friction,6,-0.15893011522824943,1.4921062234149283,8,0.5275392144136727,-1.1929069754790478,0.875046745022549,
Diplomatic protest / friction,12,-0.11933198587136887,1.481159399499625,8,0.5236689277021898,-1.1457230841676607,0.907059112424923,
Economic sanction / tariff barrier,0,-0.2289224356528945,1.0861262603355781,9,0.36204208677852606,-0.9385249257388055,0.48068005443301653,
Economic sanction / tariff barrier,1,-0.07356526210906174,0.9423635789702028,9,0.31412119299006763,-0.6892428003695943,0.5421122761514707,
Economic sanction / tariff barrier,3,-0.23260850814298756,1.3256595151733948,9,0.44188650505779825,-1.0987060580562722,0.633489041770297,
Economic sanction / tariff barrier,6,-0.11525693202661906,1.2110355943552116,9,0.4036785314517372,-0.906466853672024,0.6759529896187859,
Economic sanction / tariff barrier,12,0.3908739151801383,2.0396976733879226,9,0.6798992244626408,-0.9417285647666376,1.7234763951269143,
Economic win-win cooperation,0,0.3365680641154147,1.2806102662412204,22,0.2730270261349772,-0.1985649071091406,0.8717010353399699,
Economic win-win cooperation,1,0.1264786752162718,1.595885984146472,22,0.3402440350419062,-0.5403996334658644,0.7933569838984079,
Economic win-win cooperation,3,0.04513308112840692,1.318860385497803,22,0.2811819789611681,-0.5059835976354825,0.5962497598922964,
Economic win-win cooperation,6,-0.012559880534599171,1.7792435325502374,22,0.37933599571079746,-0.7560584321277622,0.7309386710585638,
Economic win-win cooperation,12,-0.15864115493126513,1.5044377572844394,22,0.3207472075654704,-0.7873056817595872,0.47002337189705695,
High-level visit,0,-0.1528661343232846,0.30165494129546766,2,0.21330225456845509,-0.5709385532774566,0.26520628463088736,
High-level visit,1,0.7430223516770492,1.156242413551557,2,0.8175868513178064,-0.8594478769058512,2.3454925802599496,
High-level visit,3,0.6440581517548135,1.3373435847349315,2,0.9456447175423962,-1.209405494628283,2.49752179813791,
High-level visit,6,0.8961989329155655,2.144001738847551,2,1.5160381684148525,-2.075235877177545,3.8676337430086765,
High-level visit,12,0.72877076263785745,1.9091777704531498,2,1.349992547978036,-1.9172146313990928,3.374756156674808,
Military / security cooperation,0,-0.07300846656647844,1.2242703833377993,7,0.46273071025907586,-0.9799606586742671,0.8339437255413102,
Military / security cooperation,1,-0.0860628346399309,1.2174907388717309,7,0.4601682455112684,-0.9879925958420169,0.8158669265621551,
Military / security cooperation,3,-0.08313694277828027,1.2821778172748561,7,0.4846176630104122,-1.0329875622786882,0.8667136767221277,
Military / security cooperation,6,-0.12005230562423447,1.092844065033636,7,0.41305623112169987,-0.9296425186227661,0.6895379073742973,
Military / security cooperation,12,-0.27633190502658056,1.2916726406591117,7,0.4882063689271581,-1.2332163881238105,0.6805525780706493,
Multilateral / third-party meeting,0,-0.41588014802741363,1.0337568977150053,3,0.5968398231723908,-1.5856862014452997,0.7539259053904723,
