event_category,orig_mean,orig_se,ci_l,ci_u,boot_mean,within_boot
Cultural / people-to-people cooperation,0.04790062552024501,0.23150691526549358,-0.48585676021462754,0.4241614621318908,0.04714338374744009,TRUE
Detention / judicial dispute,-1.407494733976039,0.44314971260537506,-2.217030578577342,-0.5977352222120113,-1.4207512753515914,TRUE
Diplomatic protest / friction,-1.0015341294379063,0.23537705579039014,-1.4759980269461577,-0.602691575341456,-1.0090622434496705,TRUE
Economic sanction / tariff barrier,-0.1568697234585226,0.19613342599042538,-0.5341571806834591,0.1993938393385868,-0.17079019300406093,TRUE
Economic win-win cooperation,0.22489833426371333,0.10611045710195345,0.022706403704841192,0.4300330132521964,0.22607005426095841,TRUE
High-level visit,-0.25129262311608674,0.33844505047460466,-0.5897376735906914,0.08715242735851794,-0.24452372210659465,TRUE
Military / security cooperation,-0.1971513011458229,0.20535114827120027,-0.5830637058569227,0.20181253323382947,-0.19112269904521445,TRUE
Multilateral / third-party meeting,-0.30357919765200075,0.6848168021698183,-1.6700601384205043,0.46009470166330935,-0.3067411378211701,TRUE
Negative strategic positioning,0.020813567498409995,0.1165125548981347,-0.1700975918428266,0.24716835216913308,0.019925392307986955,TRUE
Pandemic / crisis aid,0.19990869622694166,0.14325052620586926,-0.0654164812073312,0.4738202960893303,0.20978309443481694,TRUE
Pandemic / disaster shock,-0.12894380047505094,0.3554386636655846,-0.7341051432824528,0.5780743921389255,-0.10188309006926631,TRUE
Policy shift / domestic politics,-0.04542468932065807,0.22814640287385518,-0.43956103955865594,0.3477112636709548,-0.03453446828329383,TRUE
Security threat,-0.22322056704009435,0.15428528498414165,-0.4304579437385299,0.09434457618771758,-0.2178885489138435,TRUE
Sovereignty dispute,-0.469162335275324,0.16390483274438097,-0.7789289519902711,-0.17439113296437808,-0.4726194158652803,TRUE
Strategic partnership upgrade,0.41956836235151085,0.10722509374852375,0.19730784226649467,0.616233396730596,0.41545489653837675,TRUE
Tech control / export restriction,-0.6652540136467155,0.18559478584581593,-1.0082751029697472,-0.3152534490026663,-0.6791880503882348,TRUE
