db,valence,post_month,mean_shock,n
GDELT,negative,0,-0.5000749774925991,110
GDELT,negative,1,-0.2731984552081115,109
GDELT,negative,3,-0.18223342071777743,108
GDELT,negative,6,-0.017488654221331983,108
GDELT,positive,0,0.3097609788089443,168
GDELT,positive,1,0.15003033930510887,167
GDELT,positive,3,0.02514076689525387,166
GDELT,positive,6,-0.12115210410452014,165
ICEWS,negative,0,-0.7267391203655044,110
ICEWS,negative,1,-0.41565033545626234,109
ICEWS,negative,3,-0.15790706650873487,108
ICEWS,negative,6,-0.14159050718022725,108
ICEWS,positive,0,0.27992353657608393,168
ICEWS,positive,1,0.06875516967154834,167
ICEWS,positive,3,0.08243743039959922,166
ICEWS,positive,6,0.05783717714153052,165
