country,avg_shock,db,node,valence,node_date
Australia,0.6103464238405671,GDELT,Financial Crisis Cooperation,positive,2008-09-01
Belgium,-1.138039613456703,GDELT,Financial Crisis Cooperation,positive,2008-09-01
Brazil,0.2505440314272294,GDELT,Financial Crisis Cooperation,positive,2008-09-01
Canada,2.2399354785055996,GDELT,Financial Crisis Cooperation,positive,2008-09-01
France,-0.8281900021747477,GDELT,Financial Crisis Cooperation,positive,2008-09-01
Germany,-0.8119049247364283,GDELT,Financial Crisis Cooperation,positive,2008-09-01
India,-0.01803280479151224,GDELT,Financial Crisis Cooperation,positive,2008-09-01
Indonesia,-0.4334016811263935,GDELT,Financial Crisis Cooperation,positive,2008-09-01
Iran,-0.7318702504727804,GDELT,Financial Crisis Cooperation,positive,2008-09-01
Italy,-0.2136705602586523,GDELT,Financial Crisis Cooperation,positive,2008-09-01
Japan,0.020736431257935197,GDELT,Financial Crisis Cooperation,positive,2008-09-01
Malaysia,-0.5089258506439048,GDELT,Financial Crisis Cooperation,positive,2008-09-01
Mexico,1.6127027695184835,GDELT,Financial Crisis Cooperation,positive,2008-09-01
Netherlands,-0.46130397167443954,GDELT,Financial Crisis Cooperation,positive,2008-09-01
Philippines,-0.1384695580688626,GDELT,Financial Crisis Cooperation,positive,2008-09-01
Russia,0.17102691038990284,GDELT,Financial Crisis Cooperation,positive,2008-09-01
Saudi Arabia,-1.3673279920608534,GDELT,Financial Crisis Cooperation,positive,2008-09-01
Singapore,0.5447488981963345,GDELT,Financial Crisis Cooperation,positive,2008-09-01
South Korea,-0.7934887590867016,GDELT,Financial Crisis Cooperation,positive,2008-09-01
Spain,0.7476870233228753,GDELT,Financial Crisis Cooperation,positive,2008-09-01
Thailand,0.05990651823650423,GDELT,Financial Crisis Cooperation,positive,2008-09-01
United Arab Emirates,-0.7502003599758411,GDELT,Financial Crisis Cooperation,positive,2008-09-01
United Kingdom,1.358402151915612,GDELT,Financial Crisis Cooperation,positive,2008-09-01
Vietnam,-0.4169961424154169,GDELT,Financial Crisis Cooperation,positive,2008-09-01
Australia,-0.6704961418747657,GDELT,Pivot to Asia announced,negative,2011-10-01
Belgium,-0.006586976770236579,GDELT,Pivot to Asia announced,negative,2011-10-01
Brazil,0.39496279699551073,GDELT,Pivot to Asia announced,negative,2011-10-01
Canada,0.26595955447798725,GDELT,Pivot to Asia announced,negative,2011-10-01
France,-0.038720430915094375,GDELT,Pivot to Asia announced,negative,2011-10-01
Germany,0.32111567945751524,GDELT,Pivot to Asia announced,negative,2011-10-01
India,0.4243270721212068,GDELT,Pivot to Asia announced,negative,2011-10-01
Indonesia,0.6891558539030113,GDELT,Pivot to Asia announced,negative,2011-10-01
Iran,-0.4021335838893933,GDELT,Pivot to Asia announced,negative,2011-10-01
Italy,0.21521620366679875,GDELT,Pivot to Asia announced,negative,2011-10-01
Japan,0.7044189532494722,GDELT,Pivot to Asia announced,negative,2011-10-01
Malaysia,-0.5710063678391897,GDELT,Pivot to Asia announced,negative,2011-10-01
Mexico,-0.03344961222524415,GDELT,Pivot to Asia announced,negative,2011-10-01
Netherlands,1.2140670949664691,GDELT,Pivot to Asia announced,negative,2011-10-01
Philippines,-1.0974639876614896,GDELT,Pivot to Asia announced,negative,2011-10-01
Russia,0.15583081842546978,GDELT,Pivot to Asia announced,negative,2011-10-01
Saudi Arabia,0.12780382597207787,GDELT,Pivot to Asia announced,negative,2011-10-01
Singapore,-0.6406156302430204,GDELT,Pivot to Asia announced,negative,2011-10-01
South Korea,-0.10903540333715436,GDELT,Pivot to Asia announced,negative,2011-10-01
Spain,-0.6795118131231913,GDELT,Pivot to Asia announced,negative,2011-10-01
Thailand,0.359599780219568,GDELT,Pivot to Asia announced,negative,2011-10-01
United Arab Emirates,-0.6269537400148509,GDELT,Pivot to Asia announced,negative,2011-10-01
United Kingdom,0.039423568471631754,GDELT,Pivot to Asia announced,negative,2011-10-01
Vietnam,1.363393984712261,GDELT,Pivot to Asia announced,negative,2011-10-01
Australia,-0.4529984331586588,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01
Belgium,1.1801417473395983,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01
Brazil,0.6516330137660241,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01
Canada,0.41279314055066985,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01
France,0.9641705019284771,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01
Germany,-0.11649138915335602,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01
India,-0.04353071709601301,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01
Indonesia,1.6778124459931334,GDELT,South China Sea Arbitration Ruling,negative,2016-07-01
