version,db,country,event_date,event_name,category,impact,col,archive,full_repl
v1,GDELT,Australia,2002-10-01,China-Australia LNG supply agreement signed,Economic win-win cooperation,positive,baseline,1.549534940364429,2.4496357592220477
v1,GDELT,Australia,2002-10-01,China-Australia LNG supply agreement signed,Economic win-win cooperation,positive,shock,-0.39454186168293126,-0.4073123129016718
v1,GDELT,Australia,2003-10-01,Australia-China Trade and Economic Framework signed,Economic win-win cooperation,positive,baseline,1.4211349426630668,2.317079736352311
v1,GDELT,Australia,2003-10-01,Australia-China Trade and Economic Framework signed,Economic win-win cooperation,positive,shock,-2.892066498548627,-2.985676322316197
v1,GDELT,Australia,2004-03-01,Australia-China Air Services Agreement signed,Economic win-win cooperation,positive,baseline,1.099083869356366,1.9846045790103617
v1,GDELT,Australia,2004-03-01,Australia-China Air Services Agreement signed,Economic win-win cooperation,positive,shock,-0.32899546810599556,-0.33964432690823476
v1,GDELT,Australia,2005-05-01,FTA Talks Begin,Economic win-win cooperation,positive,baseline,1.3959946495409157,2.29112570730472
v1,GDELT,Australia,2005-05-01,FTA Talks Begin,Economic win-win cooperation,positive,shock,0.20104675391914872,0.2075541946065802
v1,GDELT,Australia,2006-04-01,Australia-China nuclear cooperation agreements signed,Economic win-win cooperation,positive,baseline,1.2900511389614508,2.1817530385922597
v1,GDELT,Australia,2006-04-01,Australia-China nuclear cooperation agreements signed,Economic win-win cooperation,positive,shock,-0.7544450486789969,-0.7788647734967347
v1,GDELT,Australia,2007-01-01,Australia-China Joint Coordination Group on Clean Coal Technology launched,Economic win-win cooperation,positive,baseline,2.3024356453118258,3.2269062019814814
v1,GDELT,Australia,2007-01-01,Australia-China Joint Coordination Group on Clean Coal Technology launched,Economic win-win cooperation,positive,shock,-2.533659222383117,-2.6156681918910407
v1,GDELT,Australia,2009-07-01,Rio Tinto executive Stern Hu detained in Shanghai,Detention / judicial dispute,negative,baseline,0.5118370751125279,1.3783498992477003
v1,GDELT,Australia,2009-07-01,Rio Tinto executive Stern Hu detained in Shanghai,Detention / judicial dispute,negative,shock,-1.371748130961258,-1.4161485971528958
v1,GDELT,Australia,2015-06-01,China-Australia FTA,Economic win-win cooperation,positive,baseline,0.5521900984213808,1.420009061057285
v1,GDELT,Australia,2015-06-01,China-Australia FTA,Economic win-win cooperation,positive,shock,-0.7433904504628989,-0.7674523622803655
v1,GDELT,Australia,2015-12-01,ChAFTA enters into force,Economic win-win cooperation,positive,baseline,0.8592050397290185,1.7369613999193156
v1,GDELT,Australia,2015-12-01,ChAFTA enters into force,Economic win-win cooperation,positive,shock,-0.470906319759808,-0.48614852031981326
v1,GDELT,Australia,2017-12-01,Foreign Interference Laws,Policy shift / domestic politics,negative,baseline,0.2818818999517999,1.1409515814648927
v1,GDELT,Australia,2017-12-01,Foreign Interference Laws,Policy shift / domestic politics,negative,shock,-0.6972984971684508,-0.7198685139595888
v1,GDELT,Australia,2018-08-01,Australia bans Huawei from 5G,Tech control / export restriction,negative,baseline,-0.6163386338115613,0.2136576270481001
v1,GDELT,Australia,2018-08-01,Australia bans Huawei from 5G,Tech control / export restriction,negative,shock,-1.2115719833350378,-1.25078790036137
v1,GDELT,France,2004-01-01,China-France comprehensive strategic partnership established,Strategic partnership upgrade,positive,baseline,0.11965024579858577,1.5875069731012577
v1,GDELT,France,2004-01-01,China-France comprehensive strategic partnership established,Strategic partnership upgrade,positive,shock,-0.6399614793802455,-0.5905950160033147
v1,GDELT,France,2005-12-01,Airbus A320 final assembly line MoU signed,Economic win-win cooperation,positive,baseline,-0.5868466217599273,0.9355090915942483
v1,GDELT,France,2005-12-01,Airbus A320 final assembly line MoU signed,Economic win-win cooperation,positive,shock,0.5611673205792529,0.5178790182793485
v1,GDELT,France,2006-10-01,Mega deals on aviation railways and nuclear power signed,Economic win-win cooperation,positive,baseline,0.3924882897597967,1.8392983607573292
v1,GDELT,France,2006-10-01,Mega deals on aviation railways and nuclear power signed,Economic win-win cooperation,positive,shock,-0.32811151400143446,-0.30280107648074583
v1,GDELT,France,2008-04-01,Olympic torch relay disrupted in Paris,Diplomatic protest / friction,negative,baseline,0.027028727618126507,1.5020302549321982
v1,GDELT,France,2008-04-01,Olympic torch relay disrupted in Paris,Diplomatic protest / friction,negative,shock,-0.1007395144888085,-0.0929684943370368
v1,GDELT,France,2008-12-01,Sarkozy meets Dalai Lama in Poland,Diplomatic protest / friction,negative,baseline,-0.7953808330764343,0.7430611555263127
v1,GDELT,France,2008-12-01,Sarkozy meets Dalai Lama in Poland,Diplomatic protest / friction,negative,shock,1.0048373900203502,0.9273244930530993
v1,GDELT,France,2009-04-01,China-France joint communique restores ties,Strategic partnership upgrade,positive,baseline,-1.6044569961456983,-0.003603081106399846
v1,GDELT,France,2009-04-01,China-France joint communique restores ties,Strategic partnership upgrade,positive,shock,2.0928432606527716,1.9314018715855334
v1,GDELT,France,2014-03-01,Airbus cooperation agreements and aircraft orders,Economic win-win cooperation,positive,baseline,1.2736118991751184,2.6524523223168535
v1,GDELT,France,2014-03-01,Airbus cooperation agreements and aircraft orders,Economic win-win cooperation,positive,shock,-0.15278482503824997,-0.1409990430610195
v1,GDELT,France,2015-03-01,France applies to join AIIB as founding member,Economic win-win cooperation,positive,baseline,0.37746397263065035,1.8254330155744907
v1,GDELT,France,2015-03-01,France applies to join AIIB as founding member,Economic win-win cooperation,positive,shock,-0.4851332862846767,-0.4477102297696256
v1,GDELT,France,2015-06-01,China-France joint statement on third-party market cooperation,Economic win-win cooperation,positive,baseline,1.2103123842743202,2.594035715661023
v1,GDELT,France,2015-06-01,China-France joint statement on third-party market cooperation,Economic win-win cooperation,positive,shock,-2.4299311765540295,-2.2424869126399165
v1,GDELT,France,2019-11-01,China issues 4 billion euro sovereign bonds in Paris,Economic win-win cooperation,positive,baseline,0.7973945739961635,2.2129702787140233
v1,GDELT,France,2019-11-01,China issues 4 billion euro sovereign bonds in Paris,Economic win-win cooperation,positive,shock,-0.7306330683175024,-0.6742722219678119
v1,GDELT,Germany,2004-05-01,Partnership with Global Responsibility established,Strategic partnership upgrade,positive,baseline,0.3065073943244514,1.9113977998802316
v1,GDELT,Germany,2004-05-01,Partnership with Global Responsibility established,Strategic partnership upgrade,positive,shock,-2.3869408127586365,-2.19400787824327
v1,GDELT,Germany,2010-07-01,Joint communiqué on advancing strategic partnership,Strategic partnership upgrade,positive,baseline,0.27615233233042724,1.883496293146815
v1,GDELT,Germany,2010-07-01,Joint communiqué on advancing strategic partnership,Strategic partnership upgrade,positive,shock,-0.47235331768367,-0.43417368992681094
v1,GDELT,Germany,2014-03-01,Comprehensive strategic partnership established,Strategic partnership upgrade,positive,baseline,0.7403710735278708,2.3101929125063307
v1,GDELT,Germany,2014-03-01,Comprehensive strategic partnership established,Strategic partnership upgrade,positive,shock,1.0359230544514817,0.952190909205509
v1,GDELT,Germany,2015-03-01,Germany applies to join AIIB as founding member,Economic win-win cooperation,positive,baseline,0.9638894407782449,2.5156446170723217
v1,GDELT,Germany,2015-03-01,Germany applies to join AIIB as founding member,Economic win-win cooperation,positive,shock,-0.9724049949909263,-0.8938069215832427
v1,GDELT,Germany,2016-08-01,Midea acquires Kuka amid technology concerns,Economic sanction / tariff barrier,negative,baseline,-0.6240710635972625,1.0560366375546006
v1,GDELT,Germany,2016-08-01,Midea acquires Kuka amid technology concerns,Economic sanction / tariff barrier,negative,shock,-0.7635917944230396,-0.7018717865860509
v1,GDELT,Germany,2018-10-01,BMW to raise stake in BMW Brilliance Automotive JV to 75%,Economic win-win cooperation,positive,baseline,0.845422707803134,2.40675337684222
v1,GDELT,Germany,2018-10-01,BMW to raise stake in BMW Brilliance Automotive JV to 75%,Economic win-win cooperation,positive,shock,-0.8701138145584381,-0.7997837876437348
v1,GDELT,India,2003-06-01,India-China Declaration on Principles for Relations and Comprehensive Cooperation,Strategic partnership upgrade,positive,baseline,-0.4700337998530115,-0.17262321868888483
v1,GDELT,India,2003-06-01,India-China Declaration on Principles for Relations and Comprehensive Cooperation,Strategic partnership upgrade,positive,shock,0.26498786936798874,0.35792348434788346
v1,GDELT,India,2005-04-01,India-China Strategic Partnership and Boundary Political Parameters Agreement,Strategic partnership upgrade,positive,baseline,0.9824334713240773,1.7892482731680468
v1,GDELT,India,2005-04-01,India-China Strategic Partnership and Boundary Political Parameters Agreement,Strategic partnership upgrade,positive,shock,0.6090347731000371,0.8226333099583061
v1,GDELT,India,2006-05-01,India-China defence ministers MOU,Military / security cooperation,positive,baseline,1.1178455145887771,1.9721515527165203
v1,GDELT,India,2006-05-01,India-China defence ministers MOU,Military / security cooperation,positive,shock,-1.2539930571383564,-1.6937890984576343
v1,GDELT,India,2007-12-01,China-India Hand-in-Hand 2007 joint anti-terror military training,Military / security cooperation,positive,baseline,0.6833738991831155,1.385303578101145
v1,GDELT,India,2007-12-01,China-India Hand-in-Hand 2007 joint anti-terror military training,Military / security cooperation,positive,shock,-1.1182215901574324,-1.5104003393693801
v1,GDELT,India,2013-04-01,Depsang Standoff (Daulat Beg Oldi incursion),Sovereignty dispute,negative,baseline,0.32461431409764757,0.9007210911999397
v1,GDELT,India,2013-04-01,Depsang Standoff (Daulat Beg Oldi incursion),Sovereignty dispute,negative,shock,-0.8844164253110023,-1.1945958481677355
v1,GDELT,India,2014-09-01,Chumar-Demchok Standoff during Xi visit,Sovereignty dispute,negative,baseline,-0.014462904373159627,0.4427239014134064
v1,GDELT,India,2014-09-01,Chumar-Demchok Standoff during Xi visit,Sovereignty dispute,negative,shock,-0.09943238308321685,-0.13430495929885683
v1,GDELT,India,2017-06-01,Doklam Standoff,Sovereignty dispute,negative,baseline,-0.4286835404650274,-0.11677074153913658
